index,parfamName,environWeighted,parfam,per503,pervote,avgVote
1944-01-01,AGR,0.0,1,0.0,13.6,13.6
1944-01-01,CON,83.74,1,5.3,15.8,15.8
1944-01-01,LEF,0.0,1,0.0,10.3,10.3
1944-01-01,LIB,20.64,1,1.6,12.9,12.9
1944-01-01,SOC,260.4000000000001,1,5.600000000000001,46.5,46.5
1945-01-01,AGR,93.867788,2,4.396,34.953,17.4765
1945-01-01,CHR,76.3923,1,1.709,44.7,44.7
1945-01-01,CON,120.449698,3,7.571,49.074,16.358
1945-01-01,ETH,39.896035999999995,1,4.762,8.378,8.378
1945-01-01,LEF,197.974896,4,15.698,57.32600000000001,14.331500000000002
1945-01-01,LIB,327.02435799999995,5,25.486000000000004,67.61000000000001,13.522000000000002
1945-01-01,SIP,13.244665999999999,2,5.606,4.9879999999999995,2.4939999999999998
1945-01-01,SOC,841.8848,4,26.28,127.762,31.9405
1946-01-01,AGR,93.867788,2,4.396,34.953,17.4765
1946-01-01,CHR,1068.341277,7,34.787,200.33,28.618571428571432
1946-01-01,CON,142.96035,5,10.077,63.541,12.7082
1946-01-01,ETH,39.896035999999995,1,4.762,8.378,8.378
1946-01-01,LEF,402.34517600000004,7,25.766,115.44599999999998,16.49228571428571
1946-01-01,LIB,460.707268,9,46.237,83.842,9.315777777777777
1946-01-01,SIP,14.933799999999998,2,7.4,4.015,2.0075
1946-01-01,SOC,1159.0301630000001,8,38.774,227.503,28.437875
1947-01-01,AGR,93.867788,2,4.396,34.953,17.4765
1947-01-01,CHR,985.1987770000002,5,27.086999999999996,179.589,35.9178
1947-01-01,CON,154.547634,4,11.433,44.909000000000006,11.227250000000002
1947-01-01,ETH,39.896035999999995,1,4.762,8.378,8.378
1947-01-01,LEF,378.503176,7,29.466,109.76099999999998,15.680142857142854
1947-01-01,LIB,473.34331799999995,9,44.612,103.414,11.490444444444444
1947-01-01,SIP,12.1824,2,4.8,6.676,3.338
1947-01-01,SOC,1078.2338630000002,8,34.874,234.74200000000002,29.342750000000002
1948-01-01,AGR,279.63824,3,12.565,42.198,14.066
1948-01-01,CHR,910.3967880000001,8,29.35,226.945,28.368125
1948-01-01,CON,320.523298,5,14.644,85.309,17.061799999999998
1948-01-01,ETH,32.920935,1,4.255,7.737,7.737
1948-01-01,LEF,711.066866,7,54.267,105.87799999999999,15.12542857142857
1948-01-01,LIB,540.1324060000001,9,57.096999999999994,81.07,9.007777777777777
1948-01-01,NAT,55.26624,2,5.646,15.215,7.6075
1948-01-01,SIP,11.950239,2,4.309,6.909000000000001,3.4545000000000003
1948-01-01,SOC,1787.404718,10,68.94800000000001,251.16299999999998,25.1163
1949-01-01,AGR,279.63824,3,12.565,42.198,14.066
1949-01-01,CHR,1100.8058569999998,9,28.391,283.66499999999996,31.51833333333333
1949-01-01,CON,365.793567,6,26.072999999999997,89.27,14.878333333333332
1949-01-01,ETH,54.390203,3,14.28,12.212,4.070666666666667
1949-01-01,LEF,795.83434,8,69.04,111.61599999999999,13.951999999999998
1949-01-01,LIB,543.4363460000001,9,55.232,95.178,10.575333333333333
1949-01-01,NAT,176.45047,5,23.356,31.563000000000002,6.312600000000001
1949-01-01,SIP,11.950239,2,4.309,6.909000000000001,3.4545000000000003
1949-01-01,SOC,2658.25122,11,97.589,308.921,28.083727272727273
1950-01-01,AGR,279.63824,3,12.565,42.198,14.066
1950-01-01,CHR,1112.141157,8,28.291,284.729,35.591125
