index,parfam,countryname,per503,pervote,electionDate,partyname,environWeighted,parfamName
1989-01-01,10,Netherlands,6.100000000000001,4.074,1989-09-01,Green Left,24.851400000000005,ECO
1990-01-01,10,Netherlands,6.100000000000001,4.074,1989-09-01,Green Left,24.851400000000005,ECO
1991-01-01,10,Netherlands,6.100000000000001,4.074,1989-09-01,Green Left,24.851400000000005,ECO
1992-01-01,10,Netherlands,6.100000000000001,4.074,1989-09-01,Green Left,24.851400000000005,ECO
1993-01-01,10,Netherlands,6.100000000000001,4.074,1989-09-01,Green Left,24.851400000000005,ECO
1994-01-01,10,Netherlands,2.883,3.467,1994-05-01,Green Left,9.995361,ECO
1995-01-01,10,Netherlands,2.883,3.467,1994-05-01,Green Left,9.995361,ECO
1996-01-01,10,Netherlands,2.883,3.467,1994-05-01,Green Left,9.995361,ECO
1997-01-01,10,Netherlands,2.883,3.467,1994-05-01,Green Left,9.995361,ECO
1998-01-01,10,Netherlands,13.265999999999998,7.27,1998-05-01,Green Left,96.44382,ECO
1999-01-01,10,Netherlands,13.265999999999998,7.27,1998-05-01,Green Left,96.44382,ECO
2000-01-01,10,Netherlands,13.265999999999998,7.27,1998-05-01,Green Left,96.44382,ECO
2001-01-01,10,Netherlands,13.265999999999998,7.27,1998-05-01,Green Left,96.44382,ECO
2002-01-01,10,Netherlands,2.012,6.95,2002-05-01,Green Left,13.9834,ECO
2003-01-01,10,Netherlands,6.184,5.13,2003-01-01,Green Left,31.72392,ECO
2004-01-01,10,Netherlands,6.184,5.13,2003-01-01,Green Left,31.72392,ECO
2005-01-01,10,Netherlands,6.184,5.13,2003-01-01,Green Left,31.72392,ECO
2006-01-01,10,Netherlands,6.649,4.605,2006-11-01,Green Left,30.618645000000004,ECO
2007-01-01,10,Netherlands,6.649,4.605,2006-11-01,Green Left,30.618645000000004,ECO
2008-01-01,10,Netherlands,6.649,4.605,2006-11-01,Green Left,30.618645000000004,ECO
2009-01-01,10,Netherlands,6.649,4.605,2006-11-01,Green Left,30.618645000000004,ECO
2010-01-01,10,Netherlands,14.835999999999999,6.67,2010-06-01,Green Left,98.95611999999998,ECO
2011-01-01,10,Netherlands,14.835999999999999,6.67,2010-06-01,Green Left,98.95611999999998,ECO
2012-01-01,10,Netherlands,7.204,2.333,2012-09-01,Green Left,16.806932,ECO
2013-01-01,10,Netherlands,7.204,2.333,2012-09-01,Green Left,16.806932,ECO
2014-01-01,10,Netherlands,7.204,2.333,2012-09-01,Green Left,16.806932,ECO
2015-01-01,10,Netherlands,7.204,2.333,2012-09-01,Green Left,16.806932,ECO
2016-01-01,10,Netherlands,7.204,2.333,2012-09-01,Green Left,16.806932,ECO
2017-01-01,10,Netherlands,9.877,9.125,2017-03-01,Green Left,90.127625,ECO
2018-01-01,10,Netherlands,9.877,9.125,2017-03-01,Green Left,90.127625,ECO
2019-01-01,10,Netherlands,9.877,9.125,2017-03-01,Green Left,90.127625,ECO
2020-01-01,10,Netherlands,9.877,9.125,2017-03-01,Green Left,90.127625,ECO
1946-01-01,20,Netherlands,4.0,10.6,1946-05-01,Communist Party of the Netherlands,42.4,LEF
1947-01-01,20,Netherlands,4.0,10.6,1946-05-01,Communist Party of the Netherlands,42.4,LEF
1948-01-01,20,Netherlands,13.158,7.744,1948-07-01,Communist Party of the Netherlands,101.895552,LEF
1949-01-01,20,Netherlands,13.158,7.744,1948-07-01,Communist Party of the Netherlands,101.895552,LEF
1950-01-01,20,Netherlands,13.158,7.744,1948-07-01,Communist Party of the Netherlands,101.895552,LEF
1951-01-01,20,Netherlands,13.158,7.744,1948-07-01,Communist Party of the Netherlands,101.895552,LEF
1952-01-01,20,Netherlands,13.158,7.744,1948-07-01,Communist Party of the Netherlands,101.895552,LEF
1953-01-01,20,Netherlands,13.158,7.744,1948-07-01,Communist Party of the Netherlands,101.895552,LEF
1954-01-01,20,Netherlands,13.158,7.744,1948-07-01,Communist Party of the Netherlands,101.895552,LEF
1955-01-01,20,Netherlands,13.158,7.744,1948-07-01,Communist Party of the Netherlands,101.895552,LEF
1956-01-01,20,Netherlands,13.158,7.744,1948-07-01,Communist Party of the Netherlands,101.895552,LEF
1957-01-01,20,Netherlands,13.158,7.744,1948-07-01,Communist Party of the Netherlands,101.895552,LEF
1958-01-01,20,Netherlands,13.158,7.744,1948-07-01,Communist Party of the Netherlands,101.895552,LEF
1959-01-01,20,Netherlands,13.158,7.744,1948-07-01,Communist Party of the Netherlands,101.895552,LEF
1960-01-01,20,Netherlands,13.158,7.744,1948-07-01,Communist Party of the Netherlands,101.895552,LEF
1961-01-01,20,Netherlands,13.158,7.744,1948-07-01,Communist Party of the Netherlands,101.895552,LEF
1962-01-01,20,Netherlands,13.158,7.744,1948-07-01,Communist Party of the Netherlands,101.895552,LEF
1963-01-01,20,Netherlands,13.158,7.744,1948-07-01,Communist Party of the Netherlands,101.895552,LEF
1964-01-01,20,Netherlands,13.158,7.744,1948-07-01,Communist Party of the Netherlands,101.895552,LEF
1965-01-01,20,Netherlands,13.158,7.744,1948-07-01,Communist Party of the Netherlands,101.895552,LEF
1966-01-01,20,Netherlands,13.158,7.744,1948-07-01,Communist Party of the Netherlands,101.895552,LEF
1967-01-01,20,Netherlands,13.158,7.744,1948-07-01,Communist Party of the Netherlands,101.895552,LEF
1968-01-01,20,Netherlands,13.158,7.744,1948-07-01,Communist Party of the Netherlands,101.895552,LEF
1969-01-01,20,Netherlands,13.158,7.744,1948-07-01,Communist Party of the Netherlands,101.895552,LEF
1970-01-01,20,Netherlands,13.158,7.744,1948-07-01,Communist Party of the Netherlands,101.895552,LEF
1971-01-01,20,Netherlands,13.158,7.744,1948-07-01,Communist Party of the Netherlands,101.895552,LEF
1972-01-01,20,Netherlands,13.158,7.744,1948-07-01,Communist Party of the Netherlands,101.895552,LEF
1973-01-01,20,Netherlands,13.158,7.744,1948-07-01,Communist Party of the Netherlands,101.895552,LEF
1974-01-01,20,Netherlands,13.158,7.744,1948-07-01,Communist Party of the Netherlands,101.895552,LEF
1975-01-01,20,Netherlands,13.158,7.744,1948-07-01,Communist Party of the Netherlands,101.895552,LEF
1976-01-01,20,Netherlands,13.158,7.744,1948-07-01,Communist Party of the Netherlands,101.895552,LEF
1977-01-01,20,Netherlands,13.158,7.744,1948-07-01,Communist Party of the Netherlands,101.895552,LEF
1978-01-01,20,Netherlands,13.158,7.744,1948-07-01,Communist Party of the Netherlands,101.895552,LEF
1979-01-01,20,Netherlands,13.158,7.744,1948-07-01,Communist Party of the Netherlands,101.895552,LEF
1980-01-01,20,Netherlands,13.158,7.744,1948-07-01,Communist Party of the Netherlands,101.895552,LEF
1981-01-01,20,Netherlands,13.158,7.744,1948-07-01,Communist Party of the Netherlands,101.895552,LEF
1982-01-01,20,Netherlands,21.522,1.794,1982-09-01,Communist Party of the Netherlands,38.610468,LEF
1983-01-01,20,Netherlands,21.522,1.794,1982-09-01,Communist Party of the Netherlands,38.610468,LEF
1984-01-01,20,Netherlands,21.522,1.794,1982-09-01,Communist Party of the Netherlands,38.610468,LEF
1985-01-01,20,Netherlands,21.522,1.794,1982-09-01,Communist Party of the Netherlands,38.610468,LEF
1986-01-01,20,Netherlands,11.770999999999999,1.2,1986-05-01,Pacifist Socialist Party,14.125199999999998,LEF
1987-01-01,20,Netherlands,11.770999999999999,1.2,1986-05-01,Pacifist Socialist Party,14.125199999999998,LEF
1988-01-01,20,Netherlands,11.770999999999999,1.2,1986-05-01,Pacifist Socialist Party,14.125199999999998,LEF
1989-01-01,20,Netherlands,11.770999999999999,1.2,1986-05-01,Pacifist Socialist Party,14.125199999999998,LEF
1990-01-01,20,Netherlands,11.770999999999999,1.2,1986-05-01,Pacifist Socialist Party,14.125199999999998,LEF
1991-01-01,20,Netherlands,11.770999999999999,1.2,1986-05-01,Pacifist Socialist Party,14.125199999999998,LEF
1992-01-01,20,Netherlands,11.770999999999999,1.2,1986-05-01,Pacifist Socialist Party,14.125199999999998,LEF
1993-01-01,20,Netherlands,11.770999999999999,1.2,1986-05-01,Pacifist Socialist Party,14.125199999999998,LEF
1994-01-01,20,Netherlands,17.544,1.3219999999999998,1994-05-01,Socialist Party,23.193168,LEF
1995-01-01,20,Netherlands,17.544,1.3219999999999998,1994-05-01,Socialist Party,23.193168,LEF
1996-01-01,20,Netherlands,17.544,1.3219999999999998,1994-05-01,Socialist Party,23.193168,LEF
1997-01-01,20,Netherlands,17.544,1.3219999999999998,1994-05-01,Socialist Party,23.193168,LEF
1998-01-01,20,Netherlands,3.2039999999999997,3.528,1998-05-01,Socialist Party,11.303711999999999,LEF
1999-01-01,20,Netherlands,3.2039999999999997,3.528,1998-05-01,Socialist Party,11.303711999999999,LEF
2000-01-01,20,Netherlands,3.2039999999999997,3.528,1998-05-01,Socialist Party,11.303711999999999,LEF
2001-01-01,20,Netherlands,3.2039999999999997,3.528,1998-05-01,Socialist Party,11.303711999999999,LEF
2002-01-01,20,Netherlands,3.2039999999999997,5.9,2002-05-01,Socialist Party,18.9036,LEF
2003-01-01,20,Netherlands,3.576,6.33,2003-01-01,Socialist Party,22.63608,LEF
2004-01-01,20,Netherlands,3.576,6.33,2003-01-01,Socialist Party,22.63608,LEF
2005-01-01,20,Netherlands,3.576,6.33,2003-01-01,Socialist Party,22.63608,LEF
2006-01-01,20,Netherlands,6.442,16.575,2006-11-01,Socialist Party,106.77615,LEF
2007-01-01,20,Netherlands,6.442,16.575,2006-11-01,Socialist Party,106.77615,LEF
2008-01-01,20,Netherlands,6.442,16.575,2006-11-01,Socialist Party,106.77615,LEF
2009-01-01,20,Netherlands,6.442,16.575,2006-11-01,Socialist Party,106.77615,LEF
2010-01-01,20,Netherlands,10.206,9.83,2010-06-01,Socialist Party,100.32498,LEF
2011-01-01,20,Netherlands,10.206,9.83,2010-06-01,Socialist Party,100.32498,LEF
2012-01-01,20,Netherlands,6.519,9.654,2012-09-01,Socialist Party,62.934426,LEF
2013-01-01,20,Netherlands,6.519,9.654,2012-09-01,Socialist Party,62.934426,LEF
2014-01-01,20,Netherlands,6.519,9.654,2012-09-01,Socialist Party,62.934426,LEF
2015-01-01,20,Netherlands,6.519,9.654,2012-09-01,Socialist Party,62.934426,LEF
2016-01-01,20,Netherlands,6.519,9.654,2012-09-01,Socialist Party,62.934426,LEF
2017-01-01,20,Netherlands,6.0820000000000025,9.087,2017-03-01,Socialist Party,55.26713400000001,LEF
2018-01-01,20,Netherlands,6.0820000000000025,9.087,2017-03-01,Socialist Party,55.26713400000001,LEF
2019-01-01,20,Netherlands,6.0820000000000025,9.087,2017-03-01,Socialist Party,55.26713400000001,LEF
2020-01-01,20,Netherlands,6.0820000000000025,9.087,2017-03-01,Socialist Party,55.26713400000001,LEF
1946-01-01,30,Netherlands,3.7,28.314,1946-05-01,Labour Party,104.7618,SOC
1947-01-01,30,Netherlands,3.7,28.314,1946-05-01,Labour Party,104.7618,SOC
1948-01-01,30,Netherlands,5.5,25.604,1948-07-01,Labour Party,140.822,SOC
1949-01-01,30,Netherlands,5.5,25.604,1948-07-01,Labour Party,140.822,SOC
1950-01-01,30,Netherlands,5.5,25.604,1948-07-01,Labour Party,140.822,SOC
1951-01-01,30,Netherlands,5.5,25.604,1948-07-01,Labour Party,140.822,SOC
1952-01-01,30,Netherlands,10.2,28.971999999999998,1952-06-01,Labour Party,295.5144,SOC
1953-01-01,30,Netherlands,10.2,28.971999999999998,1952-06-01,Labour Party,295.5144,SOC
1954-01-01,30,Netherlands,10.2,28.971999999999998,1952-06-01,Labour Party,295.5144,SOC
1955-01-01,30,Netherlands,10.2,28.971999999999998,1952-06-01,Labour Party,295.5144,SOC
1956-01-01,30,Netherlands,7.0,32.687,1956-06-01,Labour Party,228.80900000000003,SOC
1957-01-01,30,Netherlands,7.0,32.687,1956-06-01,Labour Party,228.80900000000003,SOC
1958-01-01,30,Netherlands,7.0,32.687,1956-06-01,Labour Party,228.80900000000003,SOC
1959-01-01,30,Netherlands,2.7,30.357,1959-03-01,Labour Party,81.96390000000002,SOC
1960-01-01,30,Netherlands,2.7,30.357,1959-03-01,Labour Party,81.96390000000002,SOC
1961-01-01,30,Netherlands,2.7,30.357,1959-03-01,Labour Party,81.96390000000002,SOC
1962-01-01,30,Netherlands,2.7,30.357,1959-03-01,Labour Party,81.96390000000002,SOC
1963-01-01,30,Netherlands,8.4,28.011,1963-05-01,Labour Party,235.2924,SOC
1964-01-01,30,Netherlands,8.4,28.011,1963-05-01,Labour Party,235.2924,SOC
1965-01-01,30,Netherlands,8.4,28.011,1963-05-01,Labour Party,235.2924,SOC
1966-01-01,30,Netherlands,8.4,28.011,1963-05-01,Labour Party,235.2924,SOC
1967-01-01,30,Netherlands,12.3,23.555,1967-02-01,Labour Party,289.7265,SOC
1968-01-01,30,Netherlands,12.3,23.555,1967-02-01,Labour Party,289.7265,SOC
1969-01-01,30,Netherlands,12.3,23.555,1967-02-01,Labour Party,289.7265,SOC
1970-01-01,30,Netherlands,12.3,23.555,1967-02-01,Labour Party,289.7265,SOC
1971-01-01,30,Netherlands,15.7,1.837,1971-04-01,Radical Political Party,28.8409,SOC
1972-01-01,30,Netherlands,9.3,4.7989999999999995,1972-11-01,Radical Political Party,44.6307,SOC
1973-01-01,30,Netherlands,9.3,4.7989999999999995,1972-11-01,Radical Political Party,44.6307,SOC
1974-01-01,30,Netherlands,9.3,4.7989999999999995,1972-11-01,Radical Political Party,44.6307,SOC
1975-01-01,30,Netherlands,9.3,4.7989999999999995,1972-11-01,Radical Political Party,44.6307,SOC
1976-01-01,30,Netherlands,9.3,4.7989999999999995,1972-11-01,Radical Political Party,44.6307,SOC
1977-01-01,30,Netherlands,6.5,1.694,1977-05-01,Radical Political Party,11.011,SOC
1978-01-01,30,Netherlands,6.5,1.694,1977-05-01,Radical Political Party,11.011,SOC
1979-01-01,30,Netherlands,6.5,1.694,1977-05-01,Radical Political Party,11.011,SOC
1980-01-01,30,Netherlands,6.5,1.694,1977-05-01,Radical Political Party,11.011,SOC
1981-01-01,30,Netherlands,9.6,1.9680000000000002,1981-05-01,Radical Political Party,18.8928,SOC
1982-01-01,30,Netherlands,12.7,1.6569999999999998,1982-09-01,Radical Political Party,21.0439,SOC
1983-01-01,30,Netherlands,12.7,1.6569999999999998,1982-09-01,Radical Political Party,21.0439,SOC
1984-01-01,30,Netherlands,12.7,1.6569999999999998,1982-09-01,Radical Political Party,21.0439,SOC
1985-01-01,30,Netherlands,12.7,1.6569999999999998,1982-09-01,Radical Political Party,21.0439,SOC
1986-01-01,30,Netherlands,8.0,1.256,1986-05-01,Radical Political Party,10.048,SOC
