,parfam,countryname,per503,pervote,electionDate,partyname,environWeighted
1981-01-01,10,Belgium,1.029,2.54,1981-11-01,Ecologists,2.6136600000000003
1982-01-01,10,Belgium,1.029,2.54,1981-11-01,Ecologists,2.6136600000000003
1983-01-01,10,Belgium,1.029,2.54,1981-11-01,Ecologists,2.6136600000000003
1984-01-01,10,Belgium,1.029,2.54,1981-11-01,Ecologists,2.6136600000000003
1985-01-01,10,Belgium,1.029,2.514,1985-10-01,Ecologists,2.5869060000000004
1986-01-01,10,Belgium,1.029,2.514,1985-10-01,Ecologists,2.5869060000000004
1987-01-01,10,Belgium,1.029,2.573,1987-12-01,Ecologists,2.6476170000000003
1988-01-01,10,Belgium,1.029,2.573,1987-12-01,Ecologists,2.6476170000000003
1989-01-01,10,Belgium,1.029,2.573,1987-12-01,Ecologists,2.6476170000000003
1990-01-01,10,Belgium,1.029,2.573,1987-12-01,Ecologists,2.6476170000000003
1991-01-01,10,Belgium,1.029,5.073,1991-11-01,Ecologists,5.220117000000001
1992-01-01,10,Belgium,1.029,5.073,1991-11-01,Ecologists,5.220117000000001
1993-01-01,10,Belgium,1.029,5.073,1991-11-01,Ecologists,5.220117000000001
1994-01-01,10,Belgium,1.029,5.073,1991-11-01,Ecologists,5.220117000000001
1995-01-01,10,Belgium,6.785,4.008,1995-05-01,Ecologists,27.19428
1996-01-01,10,Belgium,6.785,4.008,1995-05-01,Ecologists,27.19428
1997-01-01,10,Belgium,6.785,4.008,1995-05-01,Ecologists,27.19428
1998-01-01,10,Belgium,6.785,4.008,1995-05-01,Ecologists,27.19428
1999-01-01,10,Belgium,4.178,7.359,1999-06-01,Ecologists,30.745902
2000-01-01,10,Belgium,4.178,7.359,1999-06-01,Ecologists,30.745902
2001-01-01,10,Belgium,4.178,7.359,1999-06-01,Ecologists,30.745902
2002-01-01,10,Belgium,4.178,7.359,1999-06-01,Ecologists,30.745902
2003-01-01,10,Belgium,13.953,3.06,2003-05-01,Ecologists,42.69618
2004-01-01,10,Belgium,13.953,3.06,2003-05-01,Ecologists,42.69618
2005-01-01,10,Belgium,13.953,3.06,2003-05-01,Ecologists,42.69618
2006-01-01,10,Belgium,13.953,3.06,2003-05-01,Ecologists,42.69618
2007-01-01,10,Belgium,7.7360000000000015,5.102,2007-06-01,Ecologists,39.469072
2008-01-01,10,Belgium,7.7360000000000015,5.102,2007-06-01,Ecologists,39.469072
2009-01-01,10,Belgium,7.7360000000000015,5.102,2007-06-01,Ecologists,39.469072
2010-01-01,10,Belgium,5.102,4.796,2010-06-01,Ecologists,24.469192000000003
2011-01-01,10,Belgium,5.102,4.796,2010-06-01,Ecologists,24.469192000000003
2012-01-01,10,Belgium,5.102,4.796,2010-06-01,Ecologists,24.469192000000003
2013-01-01,10,Belgium,5.102,4.796,2010-06-01,Ecologists,24.469192000000003
2014-01-01,10,Belgium,15.494000000000002,5.322,2014-05-01,Green!,82.45906800000002
2015-01-01,10,Belgium,15.494000000000002,5.322,2014-05-01,Green!,82.45906800000002
2016-01-01,10,Belgium,15.494000000000002,5.322,2014-05-01,Green!,82.45906800000002
2017-01-01,10,Belgium,15.494000000000002,5.322,2014-05-01,Green!,82.45906800000002
2018-01-01,10,Belgium,15.494000000000002,5.322,2014-05-01,Green!,82.45906800000002
2019-01-01,10,Belgium,15.697,6.103,2019-05-01,Green!,95.798791
2020-01-01,10,Belgium,15.697,6.103,2019-05-01,Green!,95.798791
1981-01-01,10,Belgium,0.56,2.299,1981-11-01,Live Differently,1.28744
1985-01-01,10,Belgium,0.56,3.739,1985-10-01,Live Differently,2.09384
1987-01-01,10,Belgium,0.56,4.4830000000000005,1987-12-01,Live Differently,2.5104800000000007
1991-01-01,10,Belgium,0.56,4.8610000000000015,1991-11-01,Live Differently,2.7221600000000006
1995-01-01,10,Belgium,0.787,4.431,1995-05-01,Live Differently,3.487197
1999-01-01,10,Belgium,3.72,6.991000000000001,1999-06-01,Live Differently,26.006520000000005
2003-01-01,10,Belgium,5.521,2.47,2003-05-01,Live Differently,13.636870000000002
2007-01-01,10,Belgium,7.715,3.985,2007-06-01,Green!,30.744275
2010-01-01,10,Belgium,12.167,4.381,2010-06-01,Green!,53.303627
2014-01-01,20,Belgium,22.512,1.971,2014-05-01,Workers' Party of Belgium,44.37115199999999
2015-01-01,20,Belgium,22.512,1.971,2014-05-01,Workers' Party of Belgium,44.37115199999999
2016-01-01,20,Belgium,22.512,1.971,2014-05-01,Workers' Party of Belgium,44.37115199999999
2017-01-01,20,Belgium,22.512,1.971,2014-05-01,Workers' Party of Belgium,44.37115199999999
2018-01-01,20,Belgium,22.512,1.971,2014-05-01,Workers' Party of Belgium,44.37115199999999
2019-01-01,20,Belgium,21.081,8.622,2019-05-01,Workers' Party of Belgium,181.760382
2020-01-01,20,Belgium,21.081,8.622,2019-05-01,Workers' Party of Belgium,181.760382
1946-01-01,30,Belgium,3.4,32.85,1946-02-01,Belgian Socialist Party,111.69
1947-01-01,30,Belgium,3.4,32.85,1946-02-01,Belgian Socialist Party,111.69
1948-01-01,30,Belgium,3.4,32.85,1946-02-01,Belgian Socialist Party,111.69
1949-01-01,30,Belgium,26.6,29.747,1949-06-01,Belgian Socialist Party,791.2702
1950-01-01,30,Belgium,6.8,35.91,1950-06-01,Belgian Socialist Party,244.188
1951-01-01,30,Belgium,6.8,35.91,1950-06-01,Belgian Socialist Party,244.188
1952-01-01,30,Belgium,6.8,35.91,1950-06-01,Belgian Socialist Party,244.188
1953-01-01,30,Belgium,6.8,35.91,1950-06-01,Belgian Socialist Party,244.188
1954-01-01,30,Belgium,5.0,38.99,1954-04-01,Belgian Socialist Party,194.95
1955-01-01,30,Belgium,5.0,38.99,1954-04-01,Belgian Socialist Party,194.95
1956-01-01,30,Belgium,5.0,38.99,1954-04-01,Belgian Socialist Party,194.95
1957-01-01,30,Belgium,5.0,38.99,1954-04-01,Belgian Socialist Party,194.95
1958-01-01,30,Belgium,7.987,37.47,1958-06-01,Belgian Socialist Party,299.27289
1959-01-01,30,Belgium,7.987,37.47,1958-06-01,Belgian Socialist Party,299.27289
1960-01-01,30,Belgium,7.987,37.47,1958-06-01,Belgian Socialist Party,299.27289
1961-01-01,30,Belgium,1.5630000000000002,36.722,1961-03-01,Belgian Socialist Party,57.39648600000001
1962-01-01,30,Belgium,1.5630000000000002,36.722,1961-03-01,Belgian Socialist Party,57.39648600000001
1963-01-01,30,Belgium,1.5630000000000002,36.722,1961-03-01,Belgian Socialist Party,57.39648600000001
1964-01-01,30,Belgium,1.5630000000000002,36.722,1961-03-01,Belgian Socialist Party,57.39648600000001
1965-01-01,30,Belgium,3.373,28.281,1965-05-01,Belgian Socialist Party,95.391813
1966-01-01,30,Belgium,3.373,28.281,1965-05-01,Belgian Socialist Party,95.391813
1967-01-01,30,Belgium,3.373,28.281,1965-05-01,Belgian Socialist Party,95.391813
1968-01-01,30,Belgium,1.508,27.987,1968-03-01,Belgian Socialist Party,42.204396
1969-01-01,30,Belgium,1.508,27.987,1968-03-01,Belgian Socialist Party,42.204396
1970-01-01,30,Belgium,1.508,27.987,1968-03-01,Belgian Socialist Party,42.204396
1971-01-01,30,Belgium,2.632,27.238000000000003,1971-11-01,Belgian Socialist Party,71.690416
1972-01-01,30,Belgium,2.632,27.238000000000003,1971-11-01,Belgian Socialist Party,71.690416
1973-01-01,30,Belgium,2.632,27.238000000000003,1971-11-01,Belgian Socialist Party,71.690416
1974-01-01,30,Belgium,6.19,26.656,1974-03-01,Belgian Socialist Party,165.00064
1975-01-01,30,Belgium,6.19,26.656,1974-03-01,Belgian Socialist Party,165.00064
1976-01-01,30,Belgium,6.19,26.656,1974-03-01,Belgian Socialist Party,165.00064
1977-01-01,30,Belgium,7.511,27.035,1977-04-01,Belgian Socialist Party,203.059885
1978-01-01,30,Belgium,7.0539999999999985,12.37,1978-12-01,Flemish Socialist Party,87.25797999999998
1979-01-01,30,Belgium,7.0539999999999985,12.37,1978-12-01,Flemish Socialist Party,87.25797999999998
1980-01-01,30,Belgium,7.0539999999999985,12.37,1978-12-01,Flemish Socialist Party,87.25797999999998
1981-01-01,30,Belgium,3.846,12.359000000000002,1981-11-01,Flemish Socialist Party,47.53271400000001
1982-01-01,30,Belgium,3.846,12.359000000000002,1981-11-01,Flemish Socialist Party,47.53271400000001
1983-01-01,30,Belgium,3.846,12.359000000000002,1981-11-01,Flemish Socialist Party,47.53271400000001
1984-01-01,30,Belgium,3.846,12.359000000000002,1981-11-01,Flemish Socialist Party,47.53271400000001
1985-01-01,30,Belgium,4.726,14.548,1985-10-01,Flemish Socialist Party,68.753848
1986-01-01,30,Belgium,4.726,14.548,1985-10-01,Flemish Socialist Party,68.753848
1987-01-01,30,Belgium,6.857,14.883,1987-12-01,Flemish Socialist Party,102.05273100000001
1988-01-01,30,Belgium,6.857,14.883,1987-12-01,Flemish Socialist Party,102.05273100000001
1989-01-01,30,Belgium,6.857,14.883,1987-12-01,Flemish Socialist Party,102.05273100000001
1990-01-01,30,Belgium,6.857,14.883,1987-12-01,Flemish Socialist Party,102.05273100000001
1991-01-01,30,Belgium,4.182,11.976,1991-11-01,Flemish Socialist Party,50.08363199999999
1992-01-01,30,Belgium,4.182,11.976,1991-11-01,Flemish Socialist Party,50.08363199999999
1993-01-01,30,Belgium,4.182,11.976,1991-11-01,Flemish Socialist Party,50.08363199999999
1994-01-01,30,Belgium,4.182,11.976,1991-11-01,Flemish Socialist Party,50.08363199999999
1995-01-01,30,Belgium,5.405,12.557,1995-05-01,Flemish Socialist Party,67.87058499999999
1996-01-01,30,Belgium,5.405,12.557,1995-05-01,Flemish Socialist Party,67.87058499999999
1997-01-01,30,Belgium,5.405,12.557,1995-05-01,Flemish Socialist Party,67.87058499999999
1998-01-01,30,Belgium,5.405,12.557,1995-05-01,Flemish Socialist Party,67.87058499999999
1999-01-01,30,Belgium,4.127,9.549,1999-06-01,Flemish Socialist Party,39.408723
2000-01-01,30,Belgium,4.127,9.549,1999-06-01,Flemish Socialist Party,39.408723
2001-01-01,30,Belgium,4.127,9.549,1999-06-01,Flemish Socialist Party,39.408723
2002-01-01,30,Belgium,4.127,9.549,1999-06-01,Flemish Socialist Party,39.408723
2003-01-01,30,Belgium,11.905,14.908,2003-05-01,Socialist Party Different - Spirit,177.47974
2004-01-01,30,Belgium,11.905,14.908,2003-05-01,Socialist Party Different - Spirit,177.47974
2005-01-01,30,Belgium,11.905,14.908,2003-05-01,Socialist Party Different - Spirit,177.47974
2006-01-01,30,Belgium,11.905,14.908,2003-05-01,Socialist Party Different - Spirit,177.47974
2007-01-01,30,Belgium,14.583,10.259,2007-06-01,Socialist Party Different - Spirit,149.606997
2008-01-01,30,Belgium,14.583,10.259,2007-06-01,Socialist Party Different - Spirit,149.606997
2009-01-01,30,Belgium,14.583,10.259,2007-06-01,Socialist Party Different - Spirit,149.606997
2010-01-01,30,Belgium,10.109,9.236,2010-06-01,Socialist Party Different,93.366724
2011-01-01,30,Belgium,10.109,9.236,2010-06-01,Socialist Party Different,93.366724
2012-01-01,30,Belgium,10.109,9.236,2010-06-01,Socialist Party Different,93.366724
2013-01-01,30,Belgium,10.109,9.236,2010-06-01,Socialist Party Different,93.366724
2014-01-01,30,Belgium,17.826,8.829000000000002,2014-05-01,Socialist Party Different,157.38575400000005
2015-01-01,30,Belgium,17.826,8.829000000000002,2014-05-01,Socialist Party Different,157.38575400000005
2016-01-01,30,Belgium,17.826,8.829000000000002,2014-05-01,Socialist Party Different,157.38575400000005
2017-01-01,30,Belgium,17.826,8.829000000000002,2014-05-01,Socialist Party Different,157.38575400000005
2018-01-01,30,Belgium,17.826,8.829000000000002,2014-05-01,Socialist Party Different,157.38575400000005
2019-01-01,30,Belgium,28.039,6.711,2019-05-01,Socialist Party Different,188.169729
2020-01-01,30,Belgium,28.039,6.711,2019-05-01,Socialist Party Different,188.169729
1978-01-01,30,Belgium,7.297999999999999,13.011,1978-12-01,Francophone Socialist Party,94.954278
1981-01-01,30,Belgium,8.147,12.698,1981-11-01,Francophone Socialist Party,103.450606
1985-01-01,30,Belgium,1.274,13.761,1985-10-01,Francophone Socialist Party,17.531513999999998
1987-01-01,30,Belgium,1.954,15.655,1987-12-01,Francophone Socialist Party,30.58987
1991-01-01,30,Belgium,3.415,13.489,1991-11-01,Francophone Socialist Party,46.06493500000001
1995-01-01,30,Belgium,4.507,11.871,1995-05-01,Francophone Socialist Party,53.50259699999999
1999-01-01,30,Belgium,6.437,10.165,1999-06-01,Francophone Socialist Party,65.43210499999999
2003-01-01,30,Belgium,14.815,13.024,2003-05-01,Francophone Socialist Party,192.95056
2007-01-01,30,Belgium,19.108,,2007-06-01,Socialist Party Different,
2007-01-01,30,Belgium,12.349,10.864,2007-06-01,Francophone Socialist Party,134.159536
2007-01-01,30,Belgium,11.298,,2007-06-01,"Social, Progressive, International, Regionalist, Integrally Democartic  and Forward-Looking",
2010-01-01,30,Belgium,10.684,13.704,2010-06-01,Francophone Socialist Party,146.41353600000005
1946-01-01,40,Belgium,5.8,9.24,1946-02-01,Liberal Party,53.592
1947-01-01,40,Belgium,5.8,9.24,1946-02-01,Liberal Party,53.592
1948-01-01,40,Belgium,5.8,9.24,1946-02-01,Liberal Party,53.592
1949-01-01,40,Belgium,3.0,15.249,1949-06-01,Liberal Party,45.747
1950-01-01,40,Belgium,1.2,11.61,1950-06-01,Liberal Party,13.932
1951-01-01,40,Belgium,1.2,11.61,1950-06-01,Liberal Party,13.932
1952-01-01,40,Belgium,1.2,11.61,1950-06-01,Liberal Party,13.932
1953-01-01,40,Belgium,1.2,11.61,1950-06-01,Liberal Party,13.932
1954-01-01,40,Belgium,0.0,12.63,1954-04-01,Liberal Party,0.0
1955-01-01,40,Belgium,0.0,12.63,1954-04-01,Liberal Party,0.0
1956-01-01,40,Belgium,0.0,12.63,1954-04-01,Liberal Party,0.0
1957-01-01,40,Belgium,0.0,12.63,1954-04-01,Liberal Party,0.0
1958-01-01,40,Belgium,5.759,11.47,1958-06-01,Liberal Party,66.05573000000001
1959-01-01,40,Belgium,5.759,11.47,1958-06-01,Liberal Party,66.05573000000001
1960-01-01,40,Belgium,5.759,11.47,1958-06-01,Liberal Party,66.05573000000001
1961-01-01,40,Belgium,3.797,12.334,1961-03-01,Party of Liberty and Progress,46.832198
1962-01-01,40,Belgium,3.797,12.334,1961-03-01,Party of Liberty and Progress,46.832198
1963-01-01,40,Belgium,3.797,12.334,1961-03-01,Party of Liberty and Progress,46.832198
1964-01-01,40,Belgium,3.797,12.334,1961-03-01,Party of Liberty and Progress,46.832198
1965-01-01,40,Belgium,0.906,21.615,1965-05-01,Party of Liberty and Progress,19.58319
1966-01-01,40,Belgium,0.906,21.615,1965-05-01,Party of Liberty and Progress,19.58319
1967-01-01,40,Belgium,0.906,21.615,1965-05-01,Party of Liberty and Progress,19.58319
1968-01-01,40,Belgium,1.268,20.879,1968-03-01,Party of Liberty and Progress,26.474572
1969-01-01,40,Belgium,1.268,20.879,1968-03-01,Party of Liberty and Progress,26.474572
1970-01-01,40,Belgium,1.268,20.879,1968-03-01,Party of Liberty and Progress,26.474572
1971-01-01,40,Belgium,4.959000000000001,9.478,1971-11-01,Party of Liberty and Progress,47.00140200000001
1972-01-01,40,Belgium,4.959000000000001,9.478,1971-11-01,Party of Liberty and Progress,47.00140200000001
