year,parfam,countryname,per503,pervote,electionDate,partyname,environWeighted
1944-01-01,20,Sweden,0.0,10.3,September 1944,Communist Party of Sweden,0.0
1944-01-01,30,Sweden,5.600000000000001,46.5,September 1944,Social Democratic Labour Party,260.4000000000001
1944-01-01,40,Sweden,1.6,12.9,September 1944,People’s Party,20.64
1944-01-01,60,Sweden,5.3,15.8,September 1944,Right Party,83.74
1944-01-01,80,Sweden,0.0,13.6,September 1944,Agrarian Party,0.0
1948-01-01,20,Sweden,6.0,6.312,September 1948,Communist Party of Sweden,37.872
1948-01-01,30,Sweden,2.5,46.132,September 1948,Social Democratic Labour Party,115.33
1948-01-01,40,Sweden,5.8,22.749000000000002,September 1948,People’s Party,131.94420000000002
1948-01-01,60,Sweden,0.0,12.343,September 1948,Right Party,0.0
1948-01-01,80,Sweden,2.1,12.385,September 1948,Agrarian Party,26.0085
1952-01-01,20,Sweden,1.1,4.34,September 1952,Communist Party of Sweden,4.774
1952-01-01,30,Sweden,3.3,46.047,September 1952,Social Democratic Labour Party,151.9551
1952-01-01,40,Sweden,4.7,24.441999999999997,September 1952,People’s Party,114.8774
1952-01-01,60,Sweden,0.0,14.373,September 1952,Right Party,0.0
1952-01-01,80,Sweden,4.1,10.735,September 1952,Agrarian Party,44.01349999999999
1956-01-01,20,Sweden,10.9,5.001,September 1956,Communist Party of Sweden,54.51090000000001
1956-01-01,30,Sweden,2.9,44.581,September 1956,Social Democratic Labour Party,129.2849
1956-01-01,40,Sweden,3.4,23.807,September 1956,People’s Party,80.9438
1956-01-01,60,Sweden,0.0,17.108,September 1956,Right Party,0.0
1956-01-01,80,Sweden,1.8,9.45,September 1956,Agrarian Party,17.009999999999998
1958-01-01,20,Sweden,4.0,3.364,June 1958,Communist Party of Sweden,13.456
1958-01-01,30,Sweden,3.2,46.216,June 1958,Social Democratic Labour Party,147.8912
1958-01-01,40,Sweden,0.0,18.209,June 1958,People’s Party,0.0
1958-01-01,60,Sweden,0.0,19.518,June 1958,Right Party,0.0
1958-01-01,80,Sweden,1.6,12.662,June 1958,Centre Party,20.259200000000003
1960-01-01,20,Sweden,2.4,4.479,September 1960,Communist Party of Sweden,10.7496
1960-01-01,30,Sweden,2.3,47.788999999999994,September 1960,Social Democratic Labour Party,109.91469999999998
1960-01-01,40,Sweden,6.5,17.492,September 1960,People’s Party,113.69800000000001
1960-01-01,60,Sweden,1.1,16.557000000000002,September 1960,Right Party,18.212700000000005
1960-01-01,80,Sweden,1.2,13.610999999999999,September 1960,Centre Party,16.333199999999998
1964-01-01,20,Sweden,0.0,5.223,September 1964,Communist Party of Sweden,0.0
1964-01-01,30,Sweden,7.2,47.269,September 1964,Social Democratic Labour Party,340.3368
1964-01-01,40,Sweden,10.6,16.975,September 1964,People’s Party,179.935
1964-01-01,60,Sweden,0.0,13.722000000000001,September 1964,Right Party,0.0
1964-01-01,80,Sweden,0.851,13.181,September 1964,Centre Party,11.217030999999999
1968-01-01,20,Sweden,12.1,3.0060000000000002,September 1968,Left Communists Party,36.3726
1968-01-01,30,Sweden,12.5,50.11600000000001,September 1968,Social Democratic Labour Party,626.45
1968-01-01,40,Sweden,1.0,14.255999999999998,September 1968,People’s Party,14.255999999999998
1968-01-01,60,Sweden,2.9,12.859000000000002,September 1968,Right Party,37.29110000000001
1968-01-01,80,Sweden,5.600000000000001,15.679,September 1968,Centre Party,87.80240000000002
1970-01-01,20,Sweden,12.8,4.756,September 1970,Left Communists Party,60.8768
1970-01-01,30,Sweden,16.8,45.343,September 1970,Social Democratic Labour Party,761.7624000000001
1970-01-01,40,Sweden,8.9,16.211,September 1970,People’s Party,144.2779
1970-01-01,60,Sweden,6.4,11.530999999999999,September 1970,Moderate Coalition Party,73.7984
1970-01-01,80,Sweden,6.3,19.919,September 1970,Centre Party,125.4897
1973-01-01,20,Sweden,2.5,5.327999999999999,September 1973,Left Communists Party,13.319999999999999
1973-01-01,30,Sweden,10.3,43.559,September 1973,Social Democratic Labour Party,448.6577
1973-01-01,40,Sweden,6.0,9.419,September 1973,People’s Party,56.514
1973-01-01,60,Sweden,10.5,14.294,September 1973,Moderate Coalition Party,150.08700000000002
1973-01-01,80,Sweden,5.2,25.101,September 1973,Centre Party,130.5252
1976-01-01,20,Sweden,10.8,4.753,September 1976,Left Communists Party,51.33240000000001
1976-01-01,30,Sweden,5.7,42.748999999999995,September 1976,Social Democratic Labour Party,243.6693
1976-01-01,40,Sweden,3.5,11.062999999999999,September 1976,People’s Party,38.720499999999994
1976-01-01,60,Sweden,2.9,15.589,September 1976,Moderate Coalition Party,45.2081
1976-01-01,80,Sweden,5.100000000000001,24.085,September 1976,Centre Party,122.83350000000004
1979-01-01,20,Sweden,14.4,5.605,September 1979,Left Communists Party,80.712
1979-01-01,30,Sweden,7.3,43.244,September 1979,Social Democratic Labour Party,315.6812
1979-01-01,40,Sweden,7.600000000000001,10.591,September 1979,People’s Party,80.4916
1979-01-01,60,Sweden,4.8,20.343,September 1979,Moderate Coalition Party,97.6464
1979-01-01,80,Sweden,4.600000000000001,18.07,September 1979,Centre Party,83.12200000000003
1982-01-01,20,Sweden,13.5,5.561,September 1982,Left Communists Party,75.0735
1982-01-01,30,Sweden,7.3,45.606,September 1982,Social Democratic Labour Party,332.9238
1982-01-01,40,Sweden,13.0,5.901,September 1982,People’s Party,76.713
1982-01-01,60,Sweden,0.7000000000000001,23.644000000000002,September 1982,Moderate Coalition Party,16.550800000000002
1982-01-01,80,Sweden,2.3,15.475999999999999,September 1982,Centre Party,35.59479999999999
1985-01-01,20,Sweden,13.6,5.36,September 1985,Left Communists Party,72.896
1985-01-01,30,Sweden,0.0,44.684,September 1985,Social Democratic Labour Party,0.0
1985-01-01,40,Sweden,3.5,14.231,September 1985,People’s Party,49.8085
1985-01-01,50,Sweden,6.818000000000001,0.28,September 1985,Christian Democratic Coalition,1.9090400000000005
1985-01-01,60,Sweden,0.0,21.328000000000003,September 1985,Moderate Coalition Party,0.0
1985-01-01,80,Sweden,3.0,12.13,September 1985,Centre Party,36.39
1988-01-01,10,Sweden,1.4,5.526,September 1988,Green Ecology Party,7.736399999999999
1988-01-01,20,Sweden,6.100000000000001,5.843999999999999,September 1988,Left Communists Party,35.6484
1988-01-01,30,Sweden,15.9,43.207,September 1988,Social Democratic Labour Party,686.9913
1988-01-01,40,Sweden,1.0,12.202,September 1988,People’s Party,12.202
1988-01-01,60,Sweden,0.0,18.297,September 1988,Moderate Coalition Party,0.0
1988-01-01,80,Sweden,9.4,11.3,September 1988,Centre Party,106.22000000000001
1991-01-01,10,Sweden,4.598,3.383,September 1991,Green Ecology Party,15.555034
1991-01-01,20,Sweden,7.971,4.513,September 1991,Left Party,35.973123
1991-01-01,30,Sweden,15.385,37.705,September 1991,Social Democratic Labour Party,580.091425
1991-01-01,40,Sweden,7.857,9.128,September 1991,Liberal People’s Party,71.71869600000001
1991-01-01,50,Sweden,6.818000000000001,7.135,September 1991,Christian Democratic Community Party,48.64643000000001
1991-01-01,60,Sweden,2.6039999999999996,21.924,September 1991,Moderate Coalition Party,57.09009599999999
1991-01-01,80,Sweden,11.628,8.503,September 1991,Centre Party,98.872884
1991-01-01,95,Sweden,2.5180000000000002,6.732,September 1991,New Democracy,16.951176000000004
1994-01-01,10,Sweden,16.25,5.023,September 1994,Green Ecology Party,81.62375
1994-01-01,20,Sweden,21.023000000000003,6.1739999999999995,September 1994,Left Party,129.79600200000002
1994-01-01,30,Sweden,11.165,45.25,September 1994,Social Democratic Labour Party,505.21624999999995
1994-01-01,40,Sweden,26.563000000000002,7.192,September 1994,Liberal People’s Party,191.041096
1994-01-01,50,Sweden,23.256,4.068000000000001,September 1994,Christian Democratic Community Party,94.60540800000004
1994-01-01,60,Sweden,1.508,22.38,September 1994,Moderate Coalition Party,33.74904
1994-01-01,80,Sweden,18.182000000000002,7.653,September 1994,Centre Party,139.146846
1998-01-01,10,Sweden,8.333,4.5,September 1998,Green Ecology Party,37.4985
1998-01-01,20,Sweden,14.199000000000002,11.99,September 1998,Left Party,170.24601
1998-01-01,30,Sweden,10.937999999999999,36.39,September 1998,Social Democratic Labour Party,398.03382
1998-01-01,40,Sweden,7.143,4.72,September 1998,Liberal People’s Party,33.71496
1998-01-01,50,Sweden,7.784,11.77,September 1998,Christian Democrats,91.61768
1998-01-01,60,Sweden,4.79,22.9,September 1998,Moderate Coalition Party,109.69099999999999
1998-01-01,80,Sweden,8.264,5.13,September 1998,Centre Party,42.39431999999999
2002-01-01,10,Sweden,11.18,4.646,September 2002,Green Ecology Party,51.94228
2002-01-01,20,Sweden,15.232999999999999,8.388,September 2002,Left Party,127.77440399999999
2002-01-01,30,Sweden,5.861000000000001,39.854,September 2002,Social Democratic Labour Party,233.58429400000003
2002-01-01,40,Sweden,5.593999999999999,13.394,September 2002,Liberal People’s Party,74.926036
2002-01-01,50,Sweden,4.819,9.15,September 2002,Christian Democrats,44.09385
