yearIndex,parfamName,partyname,culture,environ,equality,parfamCount,pervote,rile,staticRile,avgVote,countryname
1949,CHR,Austrian People’s Party,0.0,0.0,8.9,1,44.032,32.2,6.13,44.032,Austria
1949,NAT,League of Independents,2.9,0.0,8.6,1,11.667,4.7,10.25,11.667,Austria
1949,SOC,Austrian Social Democratic Party,1.7,1.7,3.4,1,38.713,-13.6,-14.0,38.713,Austria
1953,CHR,Austrian People’s Party,2.4,0.0,6.5,1,41.257,29.5,6.13,41.257,Austria
1953,NAT,League of Independents,3.8,0.0,7.7,1,10.949000000000002,-3.6,10.25,10.949000000000002,Austria
1953,SOC,Austrian Social Democratic Party,2.6,0.0,11.5,1,42.108,-16.5,-14.0,42.108,Austria
1956,CHR,Austrian People’s Party,0.0,0.0,6.3,1,45.957,45.9,6.13,45.957,Austria
1956,NAT,Austrian Freedom Party,8.3,0.0,4.2,1,6.52,-4.2,10.25,6.52,Austria
1956,SOC,Austrian Social Democratic Party,2.9,1.0,6.9,1,43.045,-16.9,-14.0,43.045,Austria
1959,CHR,Austrian People’s Party,6.7,0.0,1.3,1,44.192,24.0,6.13,44.192,Austria
1959,NAT,Austrian Freedom Party,2.0,0.0,2.0,1,7.704,21.2,10.25,7.704,Austria
1959,SOC,Austrian Social Democratic Party,0.0,0.0,12.0,1,44.786,-16.0,-14.0,44.786,Austria
1962,CHR,Austrian People’s Party,9.8,0.0,7.7,1,45.432,11.2,6.13,45.432,Austria
1962,NAT,Austrian Freedom Party,1.8,0.0,1.8,1,7.044,-24.6,10.25,7.044,Austria
1962,SOC,Austrian Social Democratic Party,0.7000000000000001,0.0,13.6,1,44.0,-13.5,-14.0,44.0,Austria
1966,CHR,Austrian People’s Party,3.5,0.0,8.800000000000002,1,48.349,5.8,6.13,48.349,Austria
1966,NAT,Austrian Freedom Party,1.8,0.0,6.9,1,5.353,-28.95,10.25,5.353,Austria
1966,SOC,Austrian Social Democratic Party,6.5,0.6,4.9,1,42.565,-15.8,-14.0,42.565,Austria
1970,CHR,Austrian People’s Party,6.100000000000001,1.9,6.600000000000001,1,44.694,-6.8,6.13,44.694,Austria
1970,NAT,Austrian Freedom Party,1.8,0.0,12.0,1,5.522,-33.3,10.25,5.522,Austria
1970,SOC,Austrian Social Democratic Party,0.0,0.0,0.0,1,48.42,-54.3,-14.0,48.42,Austria
1971,CHR,Austrian People’s Party,9.9,0.0,3.8,1,43.114,25.3,6.13,43.114,Austria
1971,NAT,Austrian Freedom Party,0.4,1.9,5.600000000000001,1,5.4529999999999985,-6.600000000000001,10.25,5.4529999999999985,Austria
1971,SOC,Austrian Social Democratic Party,2.6,5.600000000000001,6.100000000000001,1,50.037,-13.8,-14.0,50.037,Austria
1975,CHR,Austrian People’s Party,4.1,1.0,3.5,1,42.94600000000001,3.1,6.13,42.94600000000001,Austria
1975,NAT,Austrian Freedom Party,2.8,8.3,4.600000000000001,1,5.407,-11.9,10.25,5.407,Austria
1975,SOC,Austrian Social Democratic Party,3.4,6.100000000000001,12.0,1,50.422,-18.9,-14.0,50.422,Austria
1979,CHR,Austrian People’s Party,1.4,2.9,5.7,1,41.904,-17.1,6.13,41.904,Austria
1979,NAT,Austrian Freedom Party,1.1,9.1,6.9,1,6.063,-3.5,10.25,6.063,Austria
1979,SOC,Austrian Social Democratic Party,0.7000000000000001,4.8,5.4,1,51.028,-5.7,-14.0,51.028,Austria
1983,CHR,Austrian People’s Party,1.1,6.600000000000001,4.9,1,43.223,1.0,6.13,43.223,Austria
1983,NAT,Austrian Freedom Party,3.7,7.0,3.7,1,4.982,15.1,10.25,4.982,Austria
1983,SOC,Austrian Social Democratic Party,3.3,9.3,7.7,1,47.647,-21.2,-14.0,47.647,Austria
1986,CHR,Austrian People’s Party,0.0,6.7,5.0,1,41.294,29.1,6.13,41.294,Austria
1986,ECO,Green Alternative,1.8,18.4,9.2,1,4.823,-15.2,-13.65,4.823,Austria
1986,NAT,Austrian Freedom Party,0.0,10.9,3.5,1,9.732000000000001,-5.9,10.25,9.732000000000001,Austria
1986,SOC,Austrian Social Democratic Party,4.8,9.9,6.2,1,43.115,-7.100000000000001,-14.0,43.115,Austria
1990,CHR,Austrian People’s Party,0.9,14.2,3.1,1,32.064,4.8,6.13,32.064,Austria
1990,ECO,Green Alternative,3.0,20.9,6.9,1,4.784,-12.4,-13.65,4.784,Austria
1990,NAT,Austrian Freedom Party,0.0,6.2,1.3,1,16.635,14.9,10.25,16.635,Austria
1990,SOC,Austrian Social Democratic Party,5.2,17.8,6.9,1,42.78100000000001,-7.600000000000001,-14.0,42.78100000000001,Austria
1994,CHR,Austrian People’s Party,0.638,7.468,1.1840000000000002,1,27.667,24.59,6.13,27.667,Austria
1994,ECO,The Greens,0.0,30.799,0.387,1,7.307,6.572,-13.65,7.307,Austria
1994,LIB,Liberal Forum,2.667,4.0,10.667,1,5.97,34.0,4.61,5.97,Austria
1994,NAT,Austrian Freedom Party,0.379,2.655,3.287,1,22.497,47.788,10.25,22.497,Austria
1994,SOC,Austrian Social Democratic Party,4.455,7.756,6.601,1,34.918,-11.056,-14.0,34.918,Austria
1995,CHR,Austrian People’s Party,0.0,0.833,0.833,1,28.291,40.417,6.13,28.291,Austria
1995,ECO,The Greens,0.0,7.692,11.966,1,4.815,19.658,-13.65,4.815,Austria
1995,LIB,Liberal Forum,0.0,5.8820000000000014,14.706,1,5.513,64.706,4.61,5.513,Austria
1995,NAT,Freedom Movement,0.0,2.685,6.04,1,21.885,55.705,10.25,21.885,Austria
1995,SOC,Austrian Social Democratic Party,0.0,1.931,17.761,1,38.059,20.849,-14.0,38.059,Austria
1999,CHR,Austrian People’s Party,0.8390000000000001,1.605,4.05,1,26.91,-3.612,6.13,26.91,Austria
1999,ECO,The Greens,0.7140000000000001,8.776,20.204,1,7.4,-15.102,-13.65,7.4,Austria
1999,NAT,Austrian Freedom Party,5.167999999999998,6.01,1.803,1,26.91,24.639,10.25,26.91,Austria
1999,SOC,Austrian Social Democratic Party,3.56,3.56,11.123,1,33.2,-13.348,-14.0,33.2,Austria
2002,CHR,Austrian People’s Party,5.266,3.51,4.711,1,42.3,-15.704,6.13,42.3,Austria
