yearIndex,parfamName,partyname,culture,environ,equality,parfamCount,pervote,rile,staticRile,avgVote,countryname
1946,CHR,Francophone Christian Social Party and Flemish Christian People’s Party,1.0,0.0,8.1,1,42.538,30.1,6.13,42.538,Belgium
1946,LIB,Liberal Party,0.0,0.0,5.8,1,9.24,15.3,4.61,9.24,Belgium
1946,SOC,Belgian Socialist Party,0.0,0.8,3.4,1,32.85,-13.5,-14.0,32.85,Belgium
1949,CHR,Francophone Christian Social Party and Flemish Christian People’s Party,0.8,0.3,3.9,1,43.549,2.4,6.13,43.549,Belgium
1949,LIB,Liberal Party,0.0,0.0,3.0,1,15.249,31.8,4.61,15.249,Belgium
1949,SOC,Belgian Socialist Party,0.6,0.2,26.6,1,29.747,-50.0,-14.0,29.747,Belgium
1950,CHR,Francophone Christian Social Party and Flemish Christian People’s Party,0.8,0.0,3.8,1,47.678,1.6,6.13,47.678,Belgium
1950,LIB,Liberal Party,2.3,0.0,1.2,1,11.61,21.7,4.61,11.61,Belgium
1950,SOC,Belgian Socialist Party,0.0,0.0,6.8,1,35.91,-13.5,-14.0,35.91,Belgium
1954,CHR,Francophone Christian Social Party and Flemish Christian People’s Party,0.5,0.6,3.2,1,41.147,4.2,6.13,41.147,Belgium
1954,ETH,Flemish Christian Peoples’ Union,2.092,0.0,0.0,1,2.202,1.255,-9.04,2.202,Belgium
1954,LIB,Liberal Party,0.4,0.4,0.0,1,12.63,38.8,4.61,12.63,Belgium
1954,SOC,Belgian Socialist Party,2.0,0.0,5.0,1,38.99,-31.0,-14.0,38.99,Belgium
1958,CHR,Francophone Christian Social Party and Flemish Christian People’s Party,0.9520000000000001,0.0,14.286,1,46.499,-3.81,6.13,46.499,Belgium
1958,ETH,Peoples’ Union,2.092,0.0,0.0,1,1.977,1.255,-9.04,1.977,Belgium
1958,LIB,Liberal Party,0.262,0.524,5.759,1,11.47,4.712,4.61,11.47,Belgium
1958,SOC,Belgian Socialist Party,0.958,0.319,7.987,1,37.47,-19.489,-14.0,37.47,Belgium
1961,CHR,Francophone Christian Social Party and Flemish Christian People’s Party,0.0,0.0,1.587,1,41.456,-9.524,6.13,41.456,Belgium
1961,ETH,Peoples’ Union,2.092,0.0,0.0,1,3.465,1.255,-9.04,3.465,Belgium
1961,LIB,Party of Liberty and Progress,0.0,0.0,3.797,1,12.334,17.722,4.61,12.334,Belgium
1961,SOC,Belgian Socialist Party,1.5630000000000002,0.0,1.5630000000000002,1,36.722,-19.531,-14.0,36.722,Belgium
1965,CHR,Francophone Christian Social Party and Flemish Christian People’s Party,2.3080000000000003,0.769,5.385,1,34.451,-3.846,6.13,34.451,Belgium
1965,ETH,Francophone Democratic Front of Francophones of Brussels,0.0,1.376,1.376,1,1.331,0.459,-9.04,1.331,Belgium
1965,ETH,Peoples’ Union,3.774,0.0,0.27,1,6.434,-1.617,-9.04,6.434,Belgium
1965,LIB,Party of Liberty and Progress,0.302,0.604,0.906,1,21.615,8.308,4.61,21.615,Belgium
1965,SOC,Belgian Socialist Party,9.722,0.397,3.373,1,28.281,-30.952,-14.0,28.281,Belgium
1968,CHR,Christian People’s Party,2.677,4.015,0.956,1,20.033,-12.811,6.13,20.033,Belgium
1968,CHR,Christian Social Party,3.559,0.35600000000000004,2.135,1,11.709,-13.167,6.13,11.709,Belgium
1968,ETH,Francophone Democratic Front of Francophones of Brussels,0.0,1.376,1.376,1,2.516,0.459,-9.04,2.516,Belgium
1968,ETH,Peoples’ Union,0.762,0.381,1.524,1,9.786,-17.143,-9.04,9.786,Belgium
1968,ETH,Walloon Rally,0.0,0.4270000000000001,1.2819999999999998,1,3.383,-16.667,-9.04,3.383,Belgium
1968,LIB,Party of Liberty and Progress,1.6909999999999998,0.0,1.268,1,20.879,27.696,4.61,20.879,Belgium
1968,SOC,Belgian Socialist Party,9.045,0.0,1.508,1,27.987,0.503,-14.0,27.987,Belgium
1971,CHR,Christian People’s Party,7.798999999999999,6.407,2.507,1,19.672,-17.27,6.13,19.672,Belgium
