parfamName,yearIndex,culture,environ,equality,parfamCount,pervote,rile,staticRile,avgVote,countryname
AGR,1990,0.0,5.806,0.645,1,6.024,12.258,1.01,6.024,Bulgaria
AGR,1994,2.7030000000000003,1.351,0.0,1,0.0,8.783999999999999,1.01,0.0,Bulgaria
AGR,2005,4.739,1.896,1.896,1,5.191,-1.422,1.01,5.191,Bulgaria
CHR,2009,6.66,5.172,2.249,2,46.479,7.67,6.13,23.2395,Bulgaria
CHR,2013,5.9,4.3439999999999985,1.361,1,30.539,-0.972,6.13,30.539,Bulgaria
CHR,2014,2.374,2.374,0.838,1,32.666,-1.257,6.13,32.666,Bulgaria
CHR,2017,5.96,3.863,0.773,1,32.655,7.726,6.13,32.655,Bulgaria
CON,1994,0.0,0.5379999999999999,0.8059999999999999,1,4.726,20.699,11.64,4.726,Bulgaria
CON,1997,1.007,0.0,0.0,1,4.928,5.705,11.64,4.928,Bulgaria
CON,2009,0.0,0.0,4.12,1,4.131,47.42,11.64,4.131,Bulgaria
CON,2014,16.119000000000003,9.136,7.156000000000001,3,21.865,2.729333333333333,11.64,7.288333333333333,Bulgaria
CON,2017,10.507,2.536,1.449,1,4.145,8.333,11.64,4.145,Bulgaria
DIV,1997,1.802,1.802,0.0,1,7.566,13.514,-10.52,7.566,Bulgaria
ECO,1994,6.369,20.382,0.0,1,0.0,35.66900000000001,-13.65,0.0,Bulgaria
ECO,1997,0.741,12.593,0.741,1,0.0,19.259,-13.65,0.0,Bulgaria
ETH,1990,0.0,0.0,0.0,1,8.027000000000001,19.643,-9.04,8.027000000000001,Bulgaria
ETH,1991,0.0,3.15,2.362,1,7.5470000000000015,-4.724,-9.04,7.5470000000000015,Bulgaria
ETH,1994,1.655,0.236,1.655,1,5.442,8.038,-9.04,5.442,Bulgaria
ETH,1997,1.055,0.345,2.418,1,0.0,7.996,-9.04,0.0,Bulgaria
ETH,2001,0.455,0.455,3.182,1,7.451000000000001,7.955,-9.04,7.451000000000001,Bulgaria
ETH,2005,5.239,4.788,2.8,1,12.812,-1.716,-9.04,12.812,Bulgaria
ETH,2009,0.0,0.0,2.38,1,14.446,17.46,-9.04,14.446,Bulgaria
ETH,2013,1.887,6.917999999999998,1.887,1,11.307,-23.899,-9.04,11.307,Bulgaria
ETH,2017,0.0,0.0,0.0,1,8.993,0.943,-9.04,8.993,Bulgaria
LIB,1990,4.941,3.261,0.988,1,36.212,22.036,4.61,36.212,Bulgaria
LIB,1991,2.439,1.829,0.61,1,34.355,14.634,4.61,34.355,Bulgaria
LIB,1994,2.673,3.786,1.5590000000000002,1,24.228,23.608,4.61,24.228,Bulgaria
LIB,1997,1.2819999999999998,4.359,0.513,1,52.238,21.795,4.61,52.238,Bulgaria
LIB,2001,6.2379999999999995,5.064,1.2429999999999999,2,60.92100000000001,1.38,4.61,30.460500000000003,Bulgaria
LIB,2005,12.617,8.858,6.646999999999999,3,34.002,5.400999999999999,4.61,11.334000000000001,Bulgaria
NAT,1994,2.273,1.515,0.0,1,6.5070000000000014,1.515,10.25,6.5070000000000014,Bulgaria
NAT,2005,0.0,0.0,0.0,1,8.137,10.526,10.25,8.137,Bulgaria
NAT,2009,0.0,0.0,2.985,1,9.363999999999999,-8.209,10.25,9.363999999999999,Bulgaria
NAT,2013,3.023,3.745,1.3090000000000002,1,7.297999999999999,-7.581,10.25,7.297999999999999,Bulgaria
NAT,2014,0.0,0.0,3.488,1,4.516,-11.628,10.25,4.516,Bulgaria
NAT,2017,2.041,2.041,0.0,1,9.066,24.49,10.25,9.066,Bulgaria
SOC,1990,2.062,3.093,4.381,1,47.151,18.299,-14.0,47.151,Bulgaria
SOC,1991,16.628,3.696,5.08,2,33.14,1.848,-14.0,16.57,Bulgaria
SOC,1994,8.948,0.0,10.526,2,43.50100000000001,-2.632,-14.0,21.750500000000006,Bulgaria
SOC,1997,4.116,2.06,3.1990000000000003,3,27.563,23.32766666666667,-14.0,9.187666666666667,Bulgaria
SOC,2001,5.573,4.025,0.929,1,17.148,2.786,-14.0,17.148,Bulgaria
SOC,2005,0.76,0.76,20.531999999999996,2,30.952,-22.814,-14.0,15.476,Bulgaria
SOC,2009,2.54,2.54,5.58,1,17.7,5.07,-14.0,17.7,Bulgaria
SOC,2013,2.427,2.427,5.097,1,26.612,-38.107,-14.0,26.612,Bulgaria
SOC,2014,5.595000000000001,1.267,2.222,2,19.546,-13.197000000000001,-14.0,9.773,Bulgaria
SOC,2017,3.4930000000000003,0.0,2.62,1,27.195,6.987,-14.0,27.195,Bulgaria
