yearIndex,parfamName,partyname,culture,environ,equality,parfamCount,pervote,rile,staticRile,avgVote,countryname
1977,CON,Popular Alliance,0.0,0.0,2.5860000000000003,1,8.417,12.069,11.64,8.417,Spain
1977,ETH,Andalusian Party,0.879,3.516,1.758,1,0.01,-22.418000000000006,-9.04,0.01,Spain
1977,ETH,Aragonese Regionalist Party,3.287,1.817,1.557,1,0.21,-14.879,-9.04,0.21,Spain
1977,ETH,Basque Left,0.0,4.961,2.872,1,0.34,-23.499,-9.04,0.34,Spain
1977,ETH,Basque Nationalist Party,1.19,2.381,2.381,1,1.703,-20.238,-9.04,1.703,Spain
1977,ETH,Catalan Republican Left,2.83,2.83,6.604,1,0.7559999999999999,-28.302,-9.04,0.7559999999999999,Spain
1977,LEF,Communist Party of Spain,1.938,0.775,4.651,1,9.27,-13.953,-23.66,9.27,Spain
1977,LIB,Union of the Democratic Centre/Centrist Bloc,1.408,1.878,6.103,1,34.829,-0.469,4.61,34.829,Spain
1977,SOC,Spanish Socialist Workers’ Party,3.559,1.068,4.982,1,30.348000000000006,-9.253,-14.0,30.348000000000006,Spain
1979,CON,Popular Alliance,0.0,0.0,2.5860000000000003,1,6.459000000000001,12.069,11.64,6.459000000000001,Spain
1979,ETH,Andalusian Party,0.879,3.516,1.758,1,1.81,-22.418000000000006,-9.04,1.81,Spain
1979,ETH,Aragonese Regionalist Party,3.287,1.817,1.557,1,0.33,-14.879,-9.04,0.33,Spain
1979,ETH,Basque Left,0.0,4.961,2.872,1,0.48,-23.499,-9.04,0.48,Spain
1979,ETH,Basque Nationalist Party,0.547,4.745,2.555,1,1.652,-25.547,-9.04,1.652,Spain
1979,ETH,Catalan Republican Left,0.0,3.1910000000000003,0.0,1,0.6859999999999999,-22.34,-9.04,0.6859999999999999,Spain
1979,ETH,Convergence and Union,3.108,0.914,0.914,1,2.687,8.227,-9.04,2.687,Spain
1979,LEF,Communist Party of Spain,5.099,2.7960000000000003,1.809,1,10.797,-21.053,-23.66,10.797,Spain
1979,LIB,Union of the Democratic Centre/Centrist Bloc,3.744,0.78,2.652,1,35.047,0.468,4.61,35.047,Spain
1979,SOC,Spanish Socialist Workers’ Party,2.999,1.4340000000000002,3.259,1,30.489,-10.691,-14.0,30.489,Spain
1982,CHR,Centre Democrats,4.589,2.611,1.503,1,2.887,-14.953,6.13,2.887,Spain
1982,CON,Popular Alliance,3.871,1.971,1.541,1,20.5,13.262,11.64,20.5,Spain
1982,ETH,Basque Left,0.0,4.961,2.872,1,0.48,-23.499,-9.04,0.48,Spain
1982,ETH,Basque Nationalist Party,0.095,3.996,3.33,1,1.89,-6.565,-9.04,1.89,Spain
1982,ETH,Catalan Republican Left,0.0,1.815,1.096,1,0.66,-17.090999999999998,-9.04,0.66,Spain
1982,ETH,Convergence and Union,3.108,0.914,0.914,1,3.691,8.227,-9.04,3.691,Spain
1982,LEF,Communist Party of Spain,2.574,3.089,1.931,1,4.134,-31.403,-23.66,4.134,Spain
1982,LIB,Popular Democratic Party,0.0,0.0,2.5860000000000003,1,6.0,12.069,4.61,6.0,Spain
1982,LIB,Union of the Democratic Centre/Centrist Bloc,4.049,1.784,3.157,1,6.809,-7.207000000000002,4.61,6.809,Spain
1982,SOC,Spanish Socialist Workers’ Party,4.063,2.18,3.32,1,48.38,-10.951,-14.0,48.38,Spain
1986,CHR,Centre Democrats,4.637,3.092,3.032,1,9.16,-13.08,6.13,9.16,Spain
1986,CON,Popular Alliance,3.843,1.636,2.093,1,18.17,13.166,11.64,18.17,Spain
1986,ETH,Aragonese Regionalist Party,3.287,1.817,1.557,1,0.36,-14.879,-9.04,0.36,Spain
1986,ETH,Basque Left,0.0,4.961,2.872,1,0.5329999999999999,-23.499,-9.04,0.5329999999999999,Spain
1986,ETH,Basque Nationalist Party,1.826,3.13,1.391,1,1.5419999999999998,3.478,-9.04,1.5419999999999998,Spain
1986,ETH,Catalan Republican Left,0.0,0.439,2.193,1,0.617,-11.842,-9.04,0.617,Spain
1986,ETH,Convergence and Union,1.42,0.418,1.086,1,5.052,11.111,-9.04,5.052,Spain
1986,LEF,United Left,3.342,7.519,2.59,1,3.827,-25.313,-23.66,3.827,Spain
1986,LIB,Liberal Party,3.752,2.567,0.922,1,2.74,1.58,4.61,2.74,Spain
1986,LIB,Popular Democratic Party,3.752,2.567,0.922,1,5.23,1.58,4.61,5.23,Spain
1986,SOC,Spanish Socialist Workers’ Party,2.624,2.21,4.604,1,44.344,-11.648,-14.0,44.344,Spain
1989,CHR,Centre Democrats,1.293,4.25,1.922,1,7.949,-4.472,6.13,7.949,Spain
1989,CON,People's Party,4.682,3.848,0.603,1,25.974,-3.1060000000000003,11.64,25.974,Spain
1989,ETH,Andalusian Party,0.879,3.516,1.758,1,1.05,-22.418000000000006,-9.04,1.05,Spain
1989,ETH,Aragonese Regionalist Party,3.287,1.817,1.557,1,0.35200000000000004,-14.879,-9.04,0.35200000000000004,Spain
1989,ETH,Basque Left,0.0,4.961,2.872,1,0.52,-23.499,-9.04,0.52,Spain
1989,ETH,Basque Nationalist Party,2.109,2.83,1.554,1,1.251,-11.987,-9.04,1.251,Spain
1989,ETH,Basque Solidarity,0.204,8.172,4.29,1,0.6729999999999999,-19.203,-9.04,0.6729999999999999,Spain
1989,ETH,Catalan Republican Left,0.193,2.7,2.314,1,0.416,-20.251,-9.04,0.416,Spain
1989,ETH,Convergence and Union,2.273,2.418,1.112,1,5.072,-3.1910000000000003,-9.04,5.072,Spain
1989,LEF,United Left,2.657,5.372999999999998,4.159,1,9.133,-40.035,-23.66,9.133,Spain
1989,SOC,Spanish Socialist Workers’ Party,4.598,4.057,3.313,1,39.877,-22.312,-14.0,39.877,Spain
1993,CHR,Centre Democrats,0.0,3.731,1.493,1,1.7719999999999998,-26.119,6.13,1.7719999999999998,Spain
1993,CON,People's Party,2.684,3.221,0.913,1,35.04,-8.427,11.64,35.04,Spain
1993,ETH,Andalusian Party,0.879,3.516,1.758,1,0.412,-22.418000000000006,-9.04,0.412,Spain
1993,ETH,Aragonese Party,3.287,1.817,1.557,1,0.62,-14.879,-9.04,0.62,Spain
1993,ETH,Basque Nationalist Party,2.794,4.6560000000000015,1.508,1,1.245,-0.31,-9.04,1.245,Spain
1993,ETH,Basque Solidarity,0.0,3.529,2.824,1,0.552,-20.941,-9.04,0.552,Spain
1993,ETH,Canarian Coalition,0.93,5.088,7.44,1,0.88,-4.759,-9.04,0.88,Spain
1993,ETH,Catalan Republican Left,1.645,5.272,3.1210000000000004,1,0.81,-15.774,-9.04,0.81,Spain
1993,ETH,Convergence and Union,1.935,3.502,2.302,1,4.981,-11.474,-9.04,4.981,Spain
1993,LEF,United Left,2.41,6.076000000000001,4.06,1,9.63,-35.359,-23.66,9.63,Spain
1993,SOC,Spanish Socialist Workers’ Party,3.148,4.393,2.164,1,39.1,-23.213,-14.0,39.1,Spain
1996,CON,People's Party,2.394,2.8360000000000003,2.615,1,38.792,9.871,11.64,38.792,Spain
1996,ETH,Basque Nationalist Party,3.277,5.182,0.487,1,1.273,-8.547,-9.04,1.273,Spain
1996,ETH,Basque Solidarity,0.24,8.63,5.9,1,0.463,-15.27,-9.04,0.463,Spain
1996,ETH,Canarian Coalition,0.935,5.006,7.536,1,0.88,-5.116000000000001,-9.04,0.88,Spain
1996,ETH,Catalan Republican Left,1.39,5.3,3.36,1,0.669,-14.3,-9.04,0.669,Spain
1996,ETH,Convergence and Union,0.643,5.324,1.469,1,4.598,1.04,-9.04,4.598,Spain
1996,ETH,Galician Nationalist Bloc,1.672,4.13,0.983,1,0.88,-9.833,-9.04,0.88,Spain
