index,parfam,countryname,environ,culture,equality,pervote,rile,electionDate,partyname
1986-01-01,10,Austria,18.4,1.8,9.2,4.823,-15.2,1986-11-01,Green Alternative
1987-01-01,10,Austria,18.4,1.8,9.2,4.823,-15.2,1986-11-01,Green Alternative
1988-01-01,10,Austria,18.4,1.8,9.2,4.823,-15.2,1986-11-01,Green Alternative
1989-01-01,10,Austria,18.4,1.8,9.2,4.823,-15.2,1986-11-01,Green Alternative
1990-01-01,10,Austria,20.9,3.0,6.9,4.784,-12.4,1990-10-01,Green Alternative
1991-01-01,10,Austria,20.9,3.0,6.9,4.784,-12.4,1990-10-01,Green Alternative
1992-01-01,10,Austria,20.9,3.0,6.9,4.784,-12.4,1990-10-01,Green Alternative
1993-01-01,10,Austria,20.9,3.0,6.9,4.784,-12.4,1990-10-01,Green Alternative
1994-01-01,10,Austria,30.799,0.0,0.387,7.307,6.572,1994-10-01,The Greens
1995-01-01,10,Austria,7.692,0.0,11.966,4.815,19.658,1995-12-01,The Greens
1996-01-01,10,Austria,7.692,0.0,11.966,4.815,19.658,1995-12-01,The Greens
1997-01-01,10,Austria,7.692,0.0,11.966,4.815,19.658,1995-12-01,The Greens
1998-01-01,10,Austria,7.692,0.0,11.966,4.815,19.658,1995-12-01,The Greens
1999-01-01,10,Austria,8.776,0.7140000000000001,20.204,7.4,-15.102,1999-10-01,The Greens
2000-01-01,10,Austria,8.776,0.7140000000000001,20.204,7.4,-15.102,1999-10-01,The Greens
2001-01-01,10,Austria,8.776,0.7140000000000001,20.204,7.4,-15.102,1999-10-01,The Greens
2002-01-01,10,Austria,8.029,3.358,14.599,9.47,-20.876,2002-11-01,The Greens
2003-01-01,10,Austria,8.029,3.358,14.599,9.47,-20.876,2002-11-01,The Greens
2004-01-01,10,Austria,8.029,3.358,14.599,9.47,-20.876,2002-11-01,The Greens
2005-01-01,10,Austria,8.029,3.358,14.599,9.47,-20.876,2002-11-01,The Greens
2006-01-01,10,Austria,8.947000000000003,6.926,11.977,11.05,-20.058,2006-10-01,The Greens
2007-01-01,10,Austria,8.947000000000003,6.926,11.977,11.05,-20.058,2006-10-01,The Greens
2008-01-01,10,Austria,12.195,2.439,18.364,10.43,-9.469,2008-09-01,The Greens
2009-01-01,10,Austria,12.195,2.439,18.364,10.43,-9.469,2008-09-01,The Greens
2010-01-01,10,Austria,12.195,2.439,18.364,10.43,-9.469,2008-09-01,The Greens
2011-01-01,10,Austria,12.195,2.439,18.364,10.43,-9.469,2008-09-01,The Greens
2012-01-01,10,Austria,12.195,2.439,18.364,10.43,-9.469,2008-09-01,The Greens
2013-01-01,10,Austria,9.265,2.462,11.311,12.416,-13.94,2013-09-01,The Greens
2014-01-01,10,Austria,9.265,2.462,11.311,12.416,-13.94,2013-09-01,The Greens
2015-01-01,10,Austria,9.265,2.462,11.311,12.416,-13.94,2013-09-01,The Greens
2016-01-01,10,Austria,9.265,2.462,11.311,12.416,-13.94,2013-09-01,The Greens
2017-01-01,10,Austria,12.627,3.687,12.903,3.8,-22.212,2017-10-01,The Greens
2018-01-01,10,Austria,12.627,3.687,12.903,3.8,-22.212,2017-10-01,The Greens
2019-01-01,10,Austria,11.814,3.513,9.135,13.9,-21.695,2019-09-01,The Greens
2020-01-01,10,Austria,11.814,3.513,9.135,13.9,-21.695,2019-09-01,The Greens
2017-01-01,10,Austria,1.408,0.0,5.634,4.409,-7.042000000000002,2017-10-01,Peter Pilz List
2002-01-01,20,Austria,0.461,0.0,4.608000000000001,0.562,-26.267,2002-11-01,Austrian Communist Party
2003-01-01,20,Austria,0.461,0.0,4.608000000000001,0.562,-26.267,2002-11-01,Austrian Communist Party
2004-01-01,20,Austria,0.461,0.0,4.608000000000001,0.562,-26.267,2002-11-01,Austrian Communist Party
2005-01-01,20,Austria,0.461,0.0,4.608000000000001,0.562,-26.267,2002-11-01,Austrian Communist Party
2006-01-01,20,Austria,0.461,0.0,4.608000000000001,0.562,-26.267,2002-11-01,Austrian Communist Party
2007-01-01,20,Austria,0.461,0.0,4.608000000000001,0.562,-26.267,2002-11-01,Austrian Communist Party
2008-01-01,20,Austria,0.0,0.0,27.826,0.76,-17.391,2008-09-01,Austrian Communist Party
2009-01-01,20,Austria,0.0,0.0,27.826,0.76,-17.391,2008-09-01,Austrian Communist Party
2010-01-01,20,Austria,0.0,0.0,27.826,0.76,-17.391,2008-09-01,Austrian Communist Party
2011-01-01,20,Austria,0.0,0.0,27.826,0.76,-17.391,2008-09-01,Austrian Communist Party
2012-01-01,20,Austria,0.0,0.0,27.826,0.76,-17.391,2008-09-01,Austrian Communist Party
2013-01-01,20,Austria,0.0,0.0,27.826,0.76,-17.391,2008-09-01,Austrian Communist Party
2014-01-01,20,Austria,0.0,0.0,27.826,0.76,-17.391,2008-09-01,Austrian Communist Party
2015-01-01,20,Austria,0.0,0.0,27.826,0.76,-17.391,2008-09-01,Austrian Communist Party
2016-01-01,20,Austria,0.0,0.0,27.826,0.76,-17.391,2008-09-01,Austrian Communist Party
2017-01-01,20,Austria,0.0,0.0,27.826,0.76,-17.391,2008-09-01,Austrian Communist Party
2018-01-01,20,Austria,0.0,0.0,27.826,0.76,-17.391,2008-09-01,Austrian Communist Party
2019-01-01,20,Austria,0.0,0.0,27.826,0.76,-17.391,2008-09-01,Austrian Communist Party
2020-01-01,20,Austria,0.0,0.0,27.826,0.76,-17.391,2008-09-01,Austrian Communist Party
1949-01-01,30,Austria,1.7,1.7,3.4,38.713,-13.6,1949-10-01,Austrian Social Democratic Party
1950-01-01,30,Austria,1.7,1.7,3.4,38.713,-13.6,1949-10-01,Austrian Social Democratic Party
1951-01-01,30,Austria,1.7,1.7,3.4,38.713,-13.6,1949-10-01,Austrian Social Democratic Party
1952-01-01,30,Austria,1.7,1.7,3.4,38.713,-13.6,1949-10-01,Austrian Social Democratic Party
1953-01-01,30,Austria,0.0,2.6,11.5,42.108,-16.5,1953-02-01,Austrian Social Democratic Party
1954-01-01,30,Austria,0.0,2.6,11.5,42.108,-16.5,1953-02-01,Austrian Social Democratic Party
1955-01-01,30,Austria,0.0,2.6,11.5,42.108,-16.5,1953-02-01,Austrian Social Democratic Party
1956-01-01,30,Austria,1.0,2.9,6.9,43.045,-16.9,1956-05-01,Austrian Social Democratic Party
1957-01-01,30,Austria,1.0,2.9,6.9,43.045,-16.9,1956-05-01,Austrian Social Democratic Party
1958-01-01,30,Austria,1.0,2.9,6.9,43.045,-16.9,1956-05-01,Austrian Social Democratic Party
1959-01-01,30,Austria,0.0,0.0,12.0,44.786,-16.0,1959-05-01,Austrian Social Democratic Party
1960-01-01,30,Austria,0.0,0.0,12.0,44.786,-16.0,1959-05-01,Austrian Social Democratic Party
1961-01-01,30,Austria,0.0,0.0,12.0,44.786,-16.0,1959-05-01,Austrian Social Democratic Party
1962-01-01,30,Austria,0.0,0.7000000000000001,13.6,44.0,-13.5,1962-11-01,Austrian Social Democratic Party
1963-01-01,30,Austria,0.0,0.7000000000000001,13.6,44.0,-13.5,1962-11-01,Austrian Social Democratic Party
1964-01-01,30,Austria,0.0,0.7000000000000001,13.6,44.0,-13.5,1962-11-01,Austrian Social Democratic Party
1965-01-01,30,Austria,0.0,0.7000000000000001,13.6,44.0,-13.5,1962-11-01,Austrian Social Democratic Party
1966-01-01,30,Austria,0.6,6.5,4.9,42.565,-15.8,1966-03-01,Austrian Social Democratic Party
1967-01-01,30,Austria,0.6,6.5,4.9,42.565,-15.8,1966-03-01,Austrian Social Democratic Party
1968-01-01,30,Austria,0.6,6.5,4.9,42.565,-15.8,1966-03-01,Austrian Social Democratic Party
1969-01-01,30,Austria,0.6,6.5,4.9,42.565,-15.8,1966-03-01,Austrian Social Democratic Party
1970-01-01,30,Austria,0.0,0.0,0.0,48.42,-54.3,1970-03-01,Austrian Social Democratic Party
1971-01-01,30,Austria,5.600000000000001,2.6,6.100000000000001,50.037,-13.8,1971-10-01,Austrian Social Democratic Party
1972-01-01,30,Austria,5.600000000000001,2.6,6.100000000000001,50.037,-13.8,1971-10-01,Austrian Social Democratic Party
1973-01-01,30,Austria,5.600000000000001,2.6,6.100000000000001,50.037,-13.8,1971-10-01,Austrian Social Democratic Party
1974-01-01,30,Austria,5.600000000000001,2.6,6.100000000000001,50.037,-13.8,1971-10-01,Austrian Social Democratic Party
1975-01-01,30,Austria,6.100000000000001,3.4,12.0,50.422,-18.9,1975-10-01,Austrian Social Democratic Party
1976-01-01,30,Austria,6.100000000000001,3.4,12.0,50.422,-18.9,1975-10-01,Austrian Social Democratic Party
1977-01-01,30,Austria,6.100000000000001,3.4,12.0,50.422,-18.9,1975-10-01,Austrian Social Democratic Party
1978-01-01,30,Austria,6.100000000000001,3.4,12.0,50.422,-18.9,1975-10-01,Austrian Social Democratic Party
