index,parfam,countryname,environ,culture,equality,pervote,rile,electionDate,partyname
1981-01-01,10,Belgium,8.072000000000001,2.546,1.029,2.54,-1.517,1981-11-01,Ecologists
1982-01-01,10,Belgium,8.072000000000001,2.546,1.029,2.54,-1.517,1981-11-01,Ecologists
1983-01-01,10,Belgium,8.072000000000001,2.546,1.029,2.54,-1.517,1981-11-01,Ecologists
1984-01-01,10,Belgium,8.072000000000001,2.546,1.029,2.54,-1.517,1981-11-01,Ecologists
1985-01-01,10,Belgium,8.072000000000001,2.546,1.029,2.514,-1.517,1985-10-01,Ecologists
1986-01-01,10,Belgium,8.072000000000001,2.546,1.029,2.514,-1.517,1985-10-01,Ecologists
1987-01-01,10,Belgium,8.072000000000001,2.546,1.029,2.573,-1.517,1987-12-01,Ecologists
1988-01-01,10,Belgium,8.072000000000001,2.546,1.029,2.573,-1.517,1987-12-01,Ecologists
1989-01-01,10,Belgium,8.072000000000001,2.546,1.029,2.573,-1.517,1987-12-01,Ecologists
1990-01-01,10,Belgium,8.072000000000001,2.546,1.029,2.573,-1.517,1987-12-01,Ecologists
1991-01-01,10,Belgium,8.072000000000001,2.546,1.029,5.073,-1.517,1991-11-01,Ecologists
1992-01-01,10,Belgium,8.072000000000001,2.546,1.029,5.073,-1.517,1991-11-01,Ecologists
1993-01-01,10,Belgium,8.072000000000001,2.546,1.029,5.073,-1.517,1991-11-01,Ecologists
1994-01-01,10,Belgium,8.072000000000001,2.546,1.029,5.073,-1.517,1991-11-01,Ecologists
1995-01-01,10,Belgium,14.159,2.065,6.785,4.008,-20.944000000000006,1995-05-01,Ecologists
1996-01-01,10,Belgium,14.159,2.065,6.785,4.008,-20.944000000000006,1995-05-01,Ecologists
1997-01-01,10,Belgium,14.159,2.065,6.785,4.008,-20.944000000000006,1995-05-01,Ecologists
1998-01-01,10,Belgium,14.159,2.065,6.785,4.008,-20.944000000000006,1995-05-01,Ecologists
1999-01-01,10,Belgium,7.397,3.219,4.178,7.359,-19.763,1999-06-01,Ecologists
2000-01-01,10,Belgium,7.397,3.219,4.178,7.359,-19.763,1999-06-01,Ecologists
2001-01-01,10,Belgium,7.397,3.219,4.178,7.359,-19.763,1999-06-01,Ecologists
2002-01-01,10,Belgium,7.397,3.219,4.178,7.359,-19.763,1999-06-01,Ecologists
2003-01-01,10,Belgium,10.782,1.903,13.953,3.06,-17.336,2003-05-01,Ecologists
2004-01-01,10,Belgium,10.782,1.903,13.953,3.06,-17.336,2003-05-01,Ecologists
2005-01-01,10,Belgium,10.782,1.903,13.953,3.06,-17.336,2003-05-01,Ecologists
2006-01-01,10,Belgium,10.782,1.903,13.953,3.06,-17.336,2003-05-01,Ecologists
2007-01-01,10,Belgium,4.342000000000001,2.867,7.7360000000000015,5.102,-20.32,2007-06-01,Ecologists
2008-01-01,10,Belgium,4.342000000000001,2.867,7.7360000000000015,5.102,-20.32,2007-06-01,Ecologists
2009-01-01,10,Belgium,4.342000000000001,2.867,7.7360000000000015,5.102,-20.32,2007-06-01,Ecologists
2010-01-01,10,Belgium,3.192,0.626,5.102,4.796,-31.299,2010-06-01,Ecologists
2011-01-01,10,Belgium,3.192,0.626,5.102,4.796,-31.299,2010-06-01,Ecologists
2012-01-01,10,Belgium,3.192,0.626,5.102,4.796,-31.299,2010-06-01,Ecologists
2013-01-01,10,Belgium,3.192,0.626,5.102,4.796,-31.299,2010-06-01,Ecologists
2014-01-01,10,Belgium,8.654,5.602,15.494000000000002,5.322,-18.063,2014-05-01,Green!
2015-01-01,10,Belgium,8.654,5.602,15.494000000000002,5.322,-18.063,2014-05-01,Green!
2016-01-01,10,Belgium,8.654,5.602,15.494000000000002,5.322,-18.063,2014-05-01,Green!
2017-01-01,10,Belgium,8.654,5.602,15.494000000000002,5.322,-18.063,2014-05-01,Green!
2018-01-01,10,Belgium,8.654,5.602,15.494000000000002,5.322,-18.063,2014-05-01,Green!
2019-01-01,10,Belgium,8.048,2.162,15.697,6.103,-21.849,2019-05-01,Green!
2020-01-01,10,Belgium,8.048,2.162,15.697,6.103,-21.849,2019-05-01,Green!
1981-01-01,10,Belgium,0.28,4.482,0.56,2.299,-3.922,1981-11-01,Live Differently
1985-01-01,10,Belgium,0.28,4.482,0.56,3.739,-3.922,1985-10-01,Live Differently
1987-01-01,10,Belgium,0.28,4.482,0.56,4.4830000000000005,-3.922,1987-12-01,Live Differently
1991-01-01,10,Belgium,0.28,4.482,0.56,4.8610000000000015,-3.922,1991-11-01,Live Differently
1995-01-01,10,Belgium,0.525,4.462,0.787,4.431,-2.887,1995-05-01,Live Differently
1999-01-01,10,Belgium,11.511,3.132,3.72,6.991000000000001,-16.68,1999-06-01,Live Differently
2003-01-01,10,Belgium,12.065,0.0,5.521,2.47,-21.575,2003-05-01,Live Differently
2007-01-01,10,Belgium,9.787,0.03,7.715,3.985,-3.753,2007-06-01,Green!
2010-01-01,10,Belgium,3.972,0.0,12.167,4.381,-0.855,2010-06-01,Green!
2014-01-01,20,Belgium,2.679,0.048,22.512,1.971,-34.785,2014-05-01,Workers' Party of Belgium
2015-01-01,20,Belgium,2.679,0.048,22.512,1.971,-34.785,2014-05-01,Workers' Party of Belgium
2016-01-01,20,Belgium,2.679,0.048,22.512,1.971,-34.785,2014-05-01,Workers' Party of Belgium
