index,parfam,countryname,environ,culture,equality,pervote,rile,electionDate,partyname
1990-01-01,10,Croatia,75.41,1.639,1.639,,-1.639,1990-04-01,Green Alliance of Croatia
1991-01-01,10,Croatia,75.41,1.639,1.639,,-1.639,1990-04-01,Green Alliance of Croatia
1992-01-01,10,Croatia,75.41,1.639,1.639,,-1.639,1990-04-01,Green Alliance of Croatia
1993-01-01,10,Croatia,75.41,1.639,1.639,,-1.639,1990-04-01,Green Alliance of Croatia
1994-01-01,10,Croatia,75.41,1.639,1.639,,-1.639,1990-04-01,Green Alliance of Croatia
1995-01-01,10,Croatia,75.41,1.639,1.639,,-1.639,1990-04-01,Green Alliance of Croatia
1996-01-01,10,Croatia,75.41,1.639,1.639,,-1.639,1990-04-01,Green Alliance of Croatia
1997-01-01,10,Croatia,75.41,1.639,1.639,,-1.639,1990-04-01,Green Alliance of Croatia
1998-01-01,10,Croatia,75.41,1.639,1.639,,-1.639,1990-04-01,Green Alliance of Croatia
1999-01-01,10,Croatia,75.41,1.639,1.639,,-1.639,1990-04-01,Green Alliance of Croatia
2000-01-01,10,Croatia,75.41,1.639,1.639,,-1.639,1990-04-01,Green Alliance of Croatia
2001-01-01,10,Croatia,75.41,1.639,1.639,,-1.639,1990-04-01,Green Alliance of Croatia
2002-01-01,10,Croatia,75.41,1.639,1.639,,-1.639,1990-04-01,Green Alliance of Croatia
2003-01-01,10,Croatia,75.41,1.639,1.639,,-1.639,1990-04-01,Green Alliance of Croatia
2004-01-01,10,Croatia,75.41,1.639,1.639,,-1.639,1990-04-01,Green Alliance of Croatia
2005-01-01,10,Croatia,75.41,1.639,1.639,,-1.639,1990-04-01,Green Alliance of Croatia
2006-01-01,10,Croatia,75.41,1.639,1.639,,-1.639,1990-04-01,Green Alliance of Croatia
2007-01-01,10,Croatia,75.41,1.639,1.639,,-1.639,1990-04-01,Green Alliance of Croatia
2008-01-01,10,Croatia,75.41,1.639,1.639,,-1.639,1990-04-01,Green Alliance of Croatia
2009-01-01,10,Croatia,75.41,1.639,1.639,,-1.639,1990-04-01,Green Alliance of Croatia
2010-01-01,10,Croatia,75.41,1.639,1.639,,-1.639,1990-04-01,Green Alliance of Croatia
2011-01-01,10,Croatia,75.41,1.639,1.639,,-1.639,1990-04-01,Green Alliance of Croatia
2012-01-01,10,Croatia,75.41,1.639,1.639,,-1.639,1990-04-01,Green Alliance of Croatia
2013-01-01,10,Croatia,75.41,1.639,1.639,,-1.639,1990-04-01,Green Alliance of Croatia
2014-01-01,10,Croatia,75.41,1.639,1.639,,-1.639,1990-04-01,Green Alliance of Croatia
2015-01-01,10,Croatia,75.41,1.639,1.639,,-1.639,1990-04-01,Green Alliance of Croatia
2016-01-01,10,Croatia,75.41,1.639,1.639,,-1.639,1990-04-01,Green Alliance of Croatia
2017-01-01,10,Croatia,75.41,1.639,1.639,,-1.639,1990-04-01,Green Alliance of Croatia
2018-01-01,10,Croatia,75.41,1.639,1.639,,-1.639,1990-04-01,Green Alliance of Croatia
2019-01-01,10,Croatia,75.41,1.639,1.639,,-1.639,1990-04-01,Green Alliance of Croatia
2020-01-01,10,Croatia,75.41,1.639,1.639,,-1.639,1990-04-01,Green Alliance of Croatia
1990-01-01,10,Croatia,72.414,5.1720000000000015,0.0,,5.1720000000000015,1990-04-01,Green Action of Split
1990-01-01,20,Croatia,6.225000000000001,0.8029999999999999,4.016,,-5.221,1990-04-01,League of Communists of Croatia - Party of Democratic Changes
1991-01-01,20,Croatia,6.225000000000001,0.8029999999999999,4.016,,-5.221,1990-04-01,League of Communists of Croatia - Party of Democratic Changes
1992-01-01,20,Croatia,5.533,0.0,7.582000000000002,5.526,-1.025,1992-08-01,Social Democratic Party of Croatia - Party of Democratic Changes
1993-01-01,20,Croatia,5.533,0.0,7.582000000000002,5.526,-1.025,1992-08-01,Social Democratic Party of Croatia - Party of Democratic Changes
1994-01-01,20,Croatia,5.533,0.0,7.582000000000002,5.526,-1.025,1992-08-01,Social Democratic Party of Croatia - Party of Democratic Changes
1995-01-01,20,Croatia,0.752,0.0,14.286,8.93,3.008,1995-10-01,Social Democratic Party of Croatia
1996-01-01,20,Croatia,0.752,0.0,14.286,8.93,3.008,1995-10-01,Social Democratic Party of Croatia
1997-01-01,20,Croatia,0.752,0.0,14.286,8.93,3.008,1995-10-01,Social Democratic Party of Croatia
1998-01-01,20,Croatia,0.752,0.0,14.286,8.93,3.008,1995-10-01,Social Democratic Party of Croatia
1999-01-01,20,Croatia,0.752,0.0,14.286,8.93,3.008,1995-10-01,Social Democratic Party of Croatia
2000-01-01,20,Croatia,0.249,0.249,2.985,,-7.213999999999999,2000-01-01,Social Democratic Party of Croatia
2001-01-01,20,Croatia,0.249,0.249,2.985,,-7.213999999999999,2000-01-01,Social Democratic Party of Croatia
2002-01-01,20,Croatia,0.249,0.249,2.985,,-7.213999999999999,2000-01-01,Social Democratic Party of Croatia
2003-01-01,20,Croatia,1.818,2.424,4.242,22.6,-14.545,2003-11-01,Social Democratic Party of Croatia
