index,parfam,countryname,environ,culture,equality,pervote,rile,electionDate,partyname
2006-01-01,10,Cyprus,22.029,12.684,3.204,1.946,-6.409,2006-05-01,Ecological and Environmental Movement
2007-01-01,10,Cyprus,22.029,12.684,3.204,1.946,-6.409,2006-05-01,Ecological and Environmental Movement
2008-01-01,10,Cyprus,22.029,12.684,3.204,1.946,-6.409,2006-05-01,Ecological and Environmental Movement
2009-01-01,10,Cyprus,22.029,12.684,3.204,1.946,-6.409,2006-05-01,Ecological and Environmental Movement
2010-01-01,10,Cyprus,22.029,12.684,3.204,1.946,-6.409,2006-05-01,Ecological and Environmental Movement
2011-01-01,10,Cyprus,22.281,9.504,3.696,2.215,-7.075,2011-05-01,Ecological and Environmental Movement
2012-01-01,10,Cyprus,22.281,9.504,3.696,2.215,-7.075,2011-05-01,Ecological and Environmental Movement
2013-01-01,10,Cyprus,22.281,9.504,3.696,2.215,-7.075,2011-05-01,Ecological and Environmental Movement
2014-01-01,10,Cyprus,22.281,9.504,3.696,2.215,-7.075,2011-05-01,Ecological and Environmental Movement
2015-01-01,10,Cyprus,22.281,9.504,3.696,2.215,-7.075,2011-05-01,Ecological and Environmental Movement
2016-01-01,10,Cyprus,17.552,8.182,4.056,4.812,-8.252,2016-05-01,Movement of Ecologists - Citizens' Cooperation
2017-01-01,10,Cyprus,17.552,8.182,4.056,4.812,-8.252,2016-05-01,Movement of Ecologists - Citizens' Cooperation
2018-01-01,10,Cyprus,17.552,8.182,4.056,4.812,-8.252,2016-05-01,Movement of Ecologists - Citizens' Cooperation
2019-01-01,10,Cyprus,17.552,8.182,4.056,4.812,-8.252,2016-05-01,Movement of Ecologists - Citizens' Cooperation
2020-01-01,10,Cyprus,17.552,8.182,4.056,4.812,-8.252,2016-05-01,Movement of Ecologists - Citizens' Cooperation
1996-01-01,30,Cyprus,1.769,6.559,2.063,33.0,-0.737,1996-05-01,Progressive Party of the Working People
1997-01-01,30,Cyprus,1.769,6.559,2.063,33.0,-0.737,1996-05-01,Progressive Party of the Working People
1998-01-01,30,Cyprus,1.769,6.559,2.063,33.0,-0.737,1996-05-01,Progressive Party of the Working People
1999-01-01,30,Cyprus,1.769,6.559,2.063,33.0,-0.737,1996-05-01,Progressive Party of the Working People
2000-01-01,30,Cyprus,1.769,6.559,2.063,33.0,-0.737,1996-05-01,Progressive Party of the Working People
2001-01-01,30,Cyprus,3.893,7.104,3.347,35.2,-14.959,2001-05-01,Progressive Party of the Working People
2002-01-01,30,Cyprus,3.893,7.104,3.347,35.2,-14.959,2001-05-01,Progressive Party of the Working People
2003-01-01,30,Cyprus,3.893,7.104,3.347,35.2,-14.959,2001-05-01,Progressive Party of the Working People
2004-01-01,30,Cyprus,3.893,7.104,3.347,35.2,-14.959,2001-05-01,Progressive Party of the Working People
2005-01-01,30,Cyprus,3.893,7.104,3.347,35.2,-14.959,2001-05-01,Progressive Party of the Working People
2006-01-01,30,Cyprus,6.52,8.15,4.506,31.126,-9.684,2006-05-01,Progressive Party of the Working People
2007-01-01,30,Cyprus,6.52,8.15,4.506,31.126,-9.684,2006-05-01,Progressive Party of the Working People
2008-01-01,30,Cyprus,6.52,8.15,4.506,31.126,-9.684,2006-05-01,Progressive Party of the Working People
2009-01-01,30,Cyprus,6.52,8.15,4.506,31.126,-9.684,2006-05-01,Progressive Party of the Working People
2010-01-01,30,Cyprus,6.52,8.15,4.506,31.126,-9.684,2006-05-01,Progressive Party of the Working People
2011-01-01,30,Cyprus,9.057,0.377,3.019,32.669000000000004,-19.245,2011-05-01,Progressive Party of the Working People
2012-01-01,30,Cyprus,9.057,0.377,3.019,32.669000000000004,-19.245,2011-05-01,Progressive Party of the Working People
2013-01-01,30,Cyprus,9.057,0.377,3.019,32.669000000000004,-19.245,2011-05-01,Progressive Party of the Working People
