index,parfam,countryname,environ,culture,equality,pervote,rile,electionDate,partyname
1945-01-01,20,Denmark,0.0,0.0,8.6,12.455,-21.2,1945-10-01,Danish Communist Party
1946-01-01,20,Denmark,0.0,0.0,8.6,12.455,-21.2,1945-10-01,Danish Communist Party
1947-01-01,20,Denmark,0.0,0.0,12.3,6.77,-10.6,1947-10-01,Danish Communist Party
1948-01-01,20,Denmark,0.0,0.0,12.3,6.77,-10.6,1947-10-01,Danish Communist Party
1949-01-01,20,Denmark,0.0,0.0,12.3,6.77,-10.6,1947-10-01,Danish Communist Party
1950-01-01,20,Denmark,0.0,0.0,3.6,4.601,-26.9,1950-09-01,Danish Communist Party
1951-01-01,20,Denmark,0.0,0.0,3.6,4.601,-26.9,1950-09-01,Danish Communist Party
1952-01-01,20,Denmark,0.0,0.0,3.6,4.601,-26.9,1950-09-01,Danish Communist Party
1953-01-01,20,Denmark,0.0,0.0,5.3,4.7780000000000005,-15.8,1953-04-01,Danish Communist Party
1954-01-01,20,Denmark,0.0,0.0,5.3,4.7780000000000005,-15.8,1953-04-01,Danish Communist Party
1955-01-01,20,Denmark,0.0,0.0,5.3,4.7780000000000005,-15.8,1953-04-01,Danish Communist Party
1956-01-01,20,Denmark,0.0,0.0,5.3,4.7780000000000005,-15.8,1953-04-01,Danish Communist Party
1957-01-01,20,Denmark,0.0,1.0,6.7,3.13,-41.8,1957-05-01,Danish Communist Party
1958-01-01,20,Denmark,0.0,1.0,6.7,3.13,-41.8,1957-05-01,Danish Communist Party
1959-01-01,20,Denmark,0.0,1.0,6.7,3.13,-41.8,1957-05-01,Danish Communist Party
1960-01-01,20,Denmark,0.0,0.8,9.8,1.122,-43.2,1960-11-01,Danish Communist Party
1961-01-01,20,Denmark,0.0,0.8,9.8,1.122,-43.2,1960-11-01,Danish Communist Party
1962-01-01,20,Denmark,0.0,0.8,9.8,1.122,-43.2,1960-11-01,Danish Communist Party
1963-01-01,20,Denmark,0.0,0.8,9.8,1.122,-43.2,1960-11-01,Danish Communist Party
1964-01-01,20,Denmark,0.0,1.3,2.6,1.231,-24.9,1964-09-01,Danish Communist Party
1965-01-01,20,Denmark,0.0,1.3,2.6,1.231,-24.9,1964-09-01,Danish Communist Party
1966-01-01,20,Denmark,0.0,0.0,3.1,0.7709999999999999,-43.7,1966-11-01,Danish Communist Party
1967-01-01,20,Denmark,0.0,0.0,3.1,0.7709999999999999,-43.7,1966-11-01,Danish Communist Party
1968-01-01,20,Denmark,1.2,2.3,16.1,2.003,-44.8,1968-01-01,Left Socialist Party
1969-01-01,20,Denmark,1.2,2.3,16.1,2.003,-44.8,1968-01-01,Left Socialist Party
1970-01-01,20,Denmark,1.2,2.3,16.1,2.003,-44.8,1968-01-01,Left Socialist Party
1971-01-01,20,Denmark,0.0,0.0,0.0,1.594,-12.1,1971-09-01,Left Socialist Party
1972-01-01,20,Denmark,0.0,0.0,0.0,1.594,-12.1,1971-09-01,Left Socialist Party
1973-01-01,20,Denmark,0.9,0.0,0.9,1.469,-7.0,1973-12-01,Left Socialist Party
1974-01-01,20,Denmark,0.9,0.0,0.9,1.469,-7.0,1973-12-01,Left Socialist Party
1975-01-01,20,Denmark,1.7,0.0,6.8,2.085,-17.0,1975-01-01,Left Socialist Party
1976-01-01,20,Denmark,1.7,0.0,6.8,2.085,-17.0,1975-01-01,Left Socialist Party
