index,parfam,countryname,environ,culture,equality,pervote,rile,electionDate,partyname
2007-01-01,10,Estonia,17.273,0.909,1.364,7.1400000000000015,-14.545,2007-03-01,Estonian Greens
2008-01-01,10,Estonia,17.273,0.909,1.364,7.1400000000000015,-14.545,2007-03-01,Estonian Greens
2009-01-01,10,Estonia,17.273,0.909,1.364,7.1400000000000015,-14.545,2007-03-01,Estonian Greens
2010-01-01,10,Estonia,17.273,0.909,1.364,7.1400000000000015,-14.545,2007-03-01,Estonian Greens
2011-01-01,10,Estonia,8.960000000000003,7.225000000000001,1.734,3.795,-5.78,2011-03-01,Estonian Greens
2012-01-01,10,Estonia,8.960000000000003,7.225000000000001,1.734,3.795,-5.78,2011-03-01,Estonian Greens
2013-01-01,10,Estonia,8.960000000000003,7.225000000000001,1.734,3.795,-5.78,2011-03-01,Estonian Greens
2014-01-01,10,Estonia,8.960000000000003,7.225000000000001,1.734,3.795,-5.78,2011-03-01,Estonian Greens
2015-01-01,10,Estonia,8.960000000000003,7.225000000000001,1.734,3.795,-5.78,2011-03-01,Estonian Greens
2016-01-01,10,Estonia,8.960000000000003,7.225000000000001,1.734,3.795,-5.78,2011-03-01,Estonian Greens
2017-01-01,10,Estonia,8.960000000000003,7.225000000000001,1.734,3.795,-5.78,2011-03-01,Estonian Greens
2018-01-01,10,Estonia,8.960000000000003,7.225000000000001,1.734,3.795,-5.78,2011-03-01,Estonian Greens
2019-01-01,10,Estonia,8.960000000000003,7.225000000000001,1.734,3.795,-5.78,2011-03-01,Estonian Greens
2020-01-01,10,Estonia,8.960000000000003,7.225000000000001,1.734,3.795,-5.78,2011-03-01,Estonian Greens
1992-01-01,20,Estonia,0.0,1.515,0.0,13.602,31.818,1992-09-01,Electoral Union ‘Secure Home'
1993-01-01,20,Estonia,0.0,1.515,0.0,13.602,31.818,1992-09-01,Electoral Union ‘Secure Home'
1994-01-01,20,Estonia,0.0,1.515,0.0,13.602,31.818,1992-09-01,Electoral Union ‘Secure Home'
1995-01-01,20,Estonia,0.0,1.515,0.0,13.602,31.818,1992-09-01,Electoral Union ‘Secure Home'
1996-01-01,20,Estonia,0.0,1.515,0.0,13.602,31.818,1992-09-01,Electoral Union ‘Secure Home'
1997-01-01,20,Estonia,0.0,1.515,0.0,13.602,31.818,1992-09-01,Electoral Union ‘Secure Home'
1998-01-01,20,Estonia,0.0,1.515,0.0,13.602,31.818,1992-09-01,Electoral Union ‘Secure Home'
1999-01-01,20,Estonia,0.0,1.515,0.0,13.602,31.818,1992-09-01,Electoral Union ‘Secure Home'
