index,parfam,countryname,environ,culture,equality,pervote,rile,electionDate,partyname
1983-01-01,10,Finland,39.604,3.96,0.0,1.411,-38.614,1983-03-01,Green Union
1984-01-01,10,Finland,39.604,3.96,0.0,1.411,-38.614,1983-03-01,Green Union
1985-01-01,10,Finland,39.604,3.96,0.0,1.411,-38.614,1983-03-01,Green Union
1986-01-01,10,Finland,39.604,3.96,0.0,1.411,-38.614,1983-03-01,Green Union
1987-01-01,10,Finland,39.604,3.96,0.0,4.027,-38.614,1987-03-01,Green Union
1988-01-01,10,Finland,39.604,3.96,0.0,4.027,-38.614,1987-03-01,Green Union
1989-01-01,10,Finland,39.604,3.96,0.0,4.027,-38.614,1987-03-01,Green Union
1990-01-01,10,Finland,39.604,3.96,0.0,4.027,-38.614,1987-03-01,Green Union
1991-01-01,10,Finland,39.604,3.96,0.0,6.82,-38.614,1991-03-01,Green Union
1992-01-01,10,Finland,39.604,3.96,0.0,6.82,-38.614,1991-03-01,Green Union
1993-01-01,10,Finland,39.604,3.96,0.0,6.82,-38.614,1991-03-01,Green Union
1994-01-01,10,Finland,39.604,3.96,0.0,6.82,-38.614,1991-03-01,Green Union
1995-01-01,10,Finland,22.388,0.0,22.388,6.516,-13.433,1995-03-01,Green Union
1996-01-01,10,Finland,22.388,0.0,22.388,6.516,-13.433,1995-03-01,Green Union
1997-01-01,10,Finland,22.388,0.0,22.388,6.516,-13.433,1995-03-01,Green Union
1998-01-01,10,Finland,22.388,0.0,22.388,6.516,-13.433,1995-03-01,Green Union
1999-01-01,10,Finland,24.609,1.953,8.594,7.27,-6.25,1999-03-01,Green Union
2000-01-01,10,Finland,24.609,1.953,8.594,7.27,-6.25,1999-03-01,Green Union
2001-01-01,10,Finland,24.609,1.953,8.594,7.27,-6.25,1999-03-01,Green Union
2002-01-01,10,Finland,24.609,1.953,8.594,7.27,-6.25,1999-03-01,Green Union
2003-01-01,10,Finland,25.284,6.818000000000001,4.261,8.008000000000001,-33.523,2003-03-01,Green Union
2004-01-01,10,Finland,25.284,6.818000000000001,4.261,8.008000000000001,-33.523,2003-03-01,Green Union
2005-01-01,10,Finland,25.284,6.818000000000001,4.261,8.008000000000001,-33.523,2003-03-01,Green Union
2006-01-01,10,Finland,25.284,6.818000000000001,4.261,8.008000000000001,-33.523,2003-03-01,Green Union
2007-01-01,10,Finland,20.588,2.059,12.059,8.46,-21.471,2007-03-01,Green Union
2008-01-01,10,Finland,20.588,2.059,12.059,8.46,-21.471,2007-03-01,Green Union
2009-01-01,10,Finland,20.588,2.059,12.059,8.46,-21.471,2007-03-01,Green Union
2010-01-01,10,Finland,20.588,2.059,12.059,8.46,-21.471,2007-03-01,Green Union
2011-01-01,10,Finland,14.425,1.621,7.6179999999999986,7.252000000000002,-27.715,2011-04-01,Green Union
2012-01-01,10,Finland,14.425,1.621,7.6179999999999986,7.252000000000002,-27.715,2011-04-01,Green Union
2013-01-01,10,Finland,14.425,1.621,7.6179999999999986,7.252000000000002,-27.715,2011-04-01,Green Union
2014-01-01,10,Finland,14.425,1.621,7.6179999999999986,7.252000000000002,-27.715,2011-04-01,Green Union
2015-01-01,10,Finland,23.022,0.36,12.95,8.526,-37.05,2015-04-01,Green Union
2016-01-01,10,Finland,23.022,0.36,12.95,8.526,-37.05,2015-04-01,Green Union
2017-01-01,10,Finland,23.022,0.36,12.95,8.526,-37.05,2015-04-01,Green Union
2018-01-01,10,Finland,23.022,0.36,12.95,8.526,-37.05,2015-04-01,Green Union
2019-01-01,10,Finland,17.617,0.0,10.622,11.493,-38.601,2019-04-01,Green Union
2020-01-01,10,Finland,17.617,0.0,10.622,11.493,-38.601,2019-04-01,Green Union
1945-01-01,20,Finland,0.0,0.0,0.976,23.471,-42.927,1945-03-01,Finnish People’s Democratic Union
1946-01-01,20,Finland,0.0,0.0,0.976,23.471,-42.927,1945-03-01,Finnish People’s Democratic Union
1947-01-01,20,Finland,0.0,0.0,0.976,23.471,-42.927,1945-03-01,Finnish People’s Democratic Union
1948-01-01,20,Finland,0.0,0.76,0.38,19.991,12.548,1948-07-01,Finnish People’s Democratic Union
1949-01-01,20,Finland,0.0,0.76,0.38,19.991,12.548,1948-07-01,Finnish People’s Democratic Union
1950-01-01,20,Finland,0.0,0.76,0.38,19.991,12.548,1948-07-01,Finnish People’s Democratic Union
1951-01-01,20,Finland,0.0,3.571,4.464,21.589,-52.679,1951-07-01,Finnish People’s Democratic Union
1952-01-01,20,Finland,0.0,3.571,4.464,21.589,-52.679,1951-07-01,Finnish People’s Democratic Union
