index,parfam,countryname,environ,culture,equality,pervote,rile,electionDate,partyname
1993-01-01,10,France,15.385,3.077,6.154,7.84,-26.154,1993-03-01,The Greens
1994-01-01,10,France,15.385,3.077,6.154,7.84,-26.154,1993-03-01,The Greens
1995-01-01,10,France,15.385,3.077,6.154,7.84,-26.154,1993-03-01,The Greens
1996-01-01,10,France,15.385,3.077,6.154,7.84,-26.154,1993-03-01,The Greens
1997-01-01,10,France,25.0,0.0,12.5,3.592,-27.083,1997-05-01,The Greens
1998-01-01,10,France,25.0,0.0,12.5,3.592,-27.083,1997-05-01,The Greens
1999-01-01,10,France,25.0,0.0,12.5,3.592,-27.083,1997-05-01,The Greens
2000-01-01,10,France,25.0,0.0,12.5,3.592,-27.083,1997-05-01,The Greens
2001-01-01,10,France,25.0,0.0,12.5,3.592,-27.083,1997-05-01,The Greens
2002-01-01,10,France,20.677,0.0,11.278,4.44,-12.782,2002-06-01,The Greens
2003-01-01,10,France,20.677,0.0,11.278,4.44,-12.782,2002-06-01,The Greens
2004-01-01,10,France,20.677,0.0,11.278,4.44,-12.782,2002-06-01,The Greens
2005-01-01,10,France,20.677,0.0,11.278,4.44,-12.782,2002-06-01,The Greens
2006-01-01,10,France,20.677,0.0,11.278,4.44,-12.782,2002-06-01,The Greens
2007-01-01,10,France,13.783,4.5939999999999985,7.962999999999999,3.2510000000000003,-30.168000000000006,2007-06-01,The Greens
2008-01-01,10,France,13.783,4.5939999999999985,7.962999999999999,3.2510000000000003,-30.168000000000006,2007-06-01,The Greens
2009-01-01,10,France,13.783,4.5939999999999985,7.962999999999999,3.2510000000000003,-30.168000000000006,2007-06-01,The Greens
2010-01-01,10,France,13.783,4.5939999999999985,7.962999999999999,3.2510000000000003,-30.168000000000006,2007-06-01,The Greens
2011-01-01,10,France,13.783,4.5939999999999985,7.962999999999999,3.2510000000000003,-30.168000000000006,2007-06-01,The Greens
2012-01-01,10,France,14.071,3.363,5.132999999999999,5.465,-36.106,2012-06-01,Europe Ecology - The Greens
2013-01-01,10,France,14.071,3.363,5.132999999999999,5.465,-36.106,2012-06-01,Europe Ecology - The Greens
2014-01-01,10,France,14.071,3.363,5.132999999999999,5.465,-36.106,2012-06-01,Europe Ecology - The Greens
2015-01-01,10,France,14.071,3.363,5.132999999999999,5.465,-36.106,2012-06-01,Europe Ecology - The Greens
2016-01-01,10,France,14.071,3.363,5.132999999999999,5.465,-36.106,2012-06-01,Europe Ecology - The Greens
2017-01-01,10,France,15.0,2.273,6.818000000000001,4.297,-8.636000000000001,2017-06-01,Europe Ecology - The Greens
2018-01-01,10,France,15.0,2.273,6.818000000000001,4.297,-8.636000000000001,2017-06-01,Europe Ecology - The Greens
2019-01-01,10,France,15.0,2.273,6.818000000000001,4.297,-8.636000000000001,2017-06-01,Europe Ecology - The Greens
2020-01-01,10,France,15.0,2.273,6.818000000000001,4.297,-8.636000000000001,2017-06-01,Europe Ecology - The Greens
1997-01-01,10,France,13.821,1.626,4.878,2.674,0.0,1997-05-01,Ecology Generation
1946-01-01,20,France,0.0,0.0,4.878,28.585,18.902,1946-11-01,French Communist Party
1947-01-01,20,France,0.0,0.0,4.878,28.585,18.902,1946-11-01,French Communist Party
1948-01-01,20,France,0.0,0.0,4.878,28.585,18.902,1946-11-01,French Communist Party
1949-01-01,20,France,0.0,0.0,4.878,28.585,18.902,1946-11-01,French Communist Party
1950-01-01,20,France,0.0,0.0,4.878,28.585,18.902,1946-11-01,French Communist Party
1951-01-01,20,France,0.0,0.325,6.818000000000001,26.434,0.325,1951-06-01,French Communist Party
1952-01-01,20,France,0.0,0.325,6.818000000000001,26.434,0.325,1951-06-01,French Communist Party
1953-01-01,20,France,0.0,0.325,6.818000000000001,26.434,0.325,1951-06-01,French Communist Party
1954-01-01,20,France,0.0,0.325,6.818000000000001,26.434,0.325,1951-06-01,French Communist Party
1955-01-01,20,France,0.0,0.325,6.818000000000001,26.434,0.325,1951-06-01,French Communist Party
1956-01-01,20,France,0.0,0.5670000000000001,4.249,25.659,0.85,1956-01-01,French Communist Party
1957-01-01,20,France,0.0,0.5670000000000001,4.249,25.659,0.85,1956-01-01,French Communist Party
1958-01-01,20,France,0.0,2.8,0.0,18.886,-51.4,1958-11-01,French Communist Party
1959-01-01,20,France,0.0,2.8,0.0,18.886,-51.4,1958-11-01,French Communist Party
1960-01-01,20,France,0.0,2.8,0.0,18.886,-51.4,1958-11-01,French Communist Party
1961-01-01,20,France,0.0,2.8,0.0,18.886,-51.4,1958-11-01,French Communist Party
1962-01-01,20,France,0.7000000000000001,2.7,9.4,21.875,-35.6,1962-11-01,French Communist Party
1963-01-01,20,France,0.7000000000000001,2.7,9.4,21.875,-35.6,1962-11-01,French Communist Party
1964-01-01,20,France,0.7000000000000001,2.7,9.4,21.875,-35.6,1962-11-01,French Communist Party
1965-01-01,20,France,0.7000000000000001,2.7,9.4,21.875,-35.6,1962-11-01,French Communist Party
1966-01-01,20,France,0.7000000000000001,2.7,9.4,21.875,-35.6,1962-11-01,French Communist Party
1967-01-01,20,France,1.1,3.2,5.3,22.506,-50.2,1967-03-01,French Communist Party
1968-01-01,20,France,1.6,2.4,8.700000000000001,20.024,-46.1,1968-06-01,French Communist Party
1969-01-01,20,France,1.6,2.4,8.700000000000001,20.024,-46.1,1968-06-01,French Communist Party
1970-01-01,20,France,1.6,2.4,8.700000000000001,20.024,-46.1,1968-06-01,French Communist Party
1971-01-01,20,France,1.6,2.4,8.700000000000001,20.024,-46.1,1968-06-01,French Communist Party
1972-01-01,20,France,1.6,2.4,8.700000000000001,20.024,-46.1,1968-06-01,French Communist Party
1973-01-01,20,France,1.2,2.1,6.600000000000001,21.41,-31.4,1973-03-01,French Communist Party
1974-01-01,20,France,1.2,2.1,6.600000000000001,21.41,-31.4,1973-03-01,French Communist Party
1975-01-01,20,France,1.2,2.1,6.600000000000001,21.41,-31.4,1973-03-01,French Communist Party
1976-01-01,20,France,1.2,2.1,6.600000000000001,21.41,-31.4,1973-03-01,French Communist Party
1977-01-01,20,France,1.2,2.1,6.600000000000001,21.41,-31.4,1973-03-01,French Communist Party
1978-01-01,20,France,1.6,1.6,8.700000000000001,20.612,-39.9,1978-03-01,French Communist Party
1979-01-01,20,France,1.6,1.6,8.700000000000001,20.612,-39.9,1978-03-01,French Communist Party
1980-01-01,20,France,1.6,1.6,8.700000000000001,20.612,-39.9,1978-03-01,French Communist Party
1981-01-01,20,France,1.2,2.4,10.7,16.125999999999998,-32.3,1981-06-01,French Communist Party
1982-01-01,20,France,1.2,2.4,10.7,16.125999999999998,-32.3,1981-06-01,French Communist Party
1983-01-01,20,France,1.2,2.4,10.7,16.125999999999998,-32.3,1981-06-01,French Communist Party
1984-01-01,20,France,1.2,2.4,10.7,16.125999999999998,-32.3,1981-06-01,French Communist Party
1985-01-01,20,France,1.2,2.4,10.7,16.125999999999998,-32.3,1981-06-01,French Communist Party
