index,parfam,countryname,environ,culture,equality,pervote,rile,electionDate,partyname
1983-01-01,10,Germany,15.854,4.268,6.707000000000002,5.566,-24.39,1983-03-01,The Greens
1984-01-01,10,Germany,15.854,4.268,6.707000000000002,5.566,-24.39,1983-03-01,The Greens
1985-01-01,10,Germany,15.854,4.268,6.707000000000002,5.566,-24.39,1983-03-01,The Greens
1986-01-01,10,Germany,15.854,4.268,6.707000000000002,5.566,-24.39,1983-03-01,The Greens
1987-01-01,10,Germany,16.057000000000002,0.8130000000000001,5.894,8.256,-22.967,1987-01-01,The Greens
1988-01-01,10,Germany,16.057000000000002,0.8130000000000001,5.894,8.256,-22.967,1987-01-01,The Greens
1989-01-01,10,Germany,16.057000000000002,0.8130000000000001,5.894,8.256,-22.967,1987-01-01,The Greens
1990-01-01,10,Germany,17.361,3.472,2.083,1.203,-15.972,1990-12-01,Greens/Alliance‘90
1991-01-01,10,Germany,17.361,3.472,2.083,1.203,-15.972,1990-12-01,Greens/Alliance‘90
1992-01-01,10,Germany,17.361,3.472,2.083,1.203,-15.972,1990-12-01,Greens/Alliance‘90
1993-01-01,10,Germany,17.361,3.472,2.083,1.203,-15.972,1990-12-01,Greens/Alliance‘90
1994-01-01,10,Germany,18.86,2.778,6.725000000000001,7.27,-20.322,1994-10-01,Alliance‘90/Greens
1995-01-01,10,Germany,18.86,2.778,6.725000000000001,7.27,-20.322,1994-10-01,Alliance‘90/Greens
1996-01-01,10,Germany,18.86,2.778,6.725000000000001,7.27,-20.322,1994-10-01,Alliance‘90/Greens
1997-01-01,10,Germany,18.86,2.778,6.725000000000001,7.27,-20.322,1994-10-01,Alliance‘90/Greens
1998-01-01,10,Germany,4.83,0.604,8.453,6.6960000000000015,-16.256,1998-09-01,Alliance‘90/Greens
1999-01-01,10,Germany,4.83,0.604,8.453,6.6960000000000015,-16.256,1998-09-01,Alliance‘90/Greens
2000-01-01,10,Germany,4.83,0.604,8.453,6.6960000000000015,-16.256,1998-09-01,Alliance‘90/Greens
2001-01-01,10,Germany,4.83,0.604,8.453,6.6960000000000015,-16.256,1998-09-01,Alliance‘90/Greens
2002-01-01,10,Germany,8.735,1.6269999999999998,7.651,8.564,-13.434,2002-09-01,Alliance‘90/Greens
2003-01-01,10,Germany,8.735,1.6269999999999998,7.651,8.564,-13.434,2002-09-01,Alliance‘90/Greens
2004-01-01,10,Germany,8.735,1.6269999999999998,7.651,8.564,-13.434,2002-09-01,Alliance‘90/Greens
2005-01-01,10,Germany,9.106,1.875,12.48,8.117,-10.445,2005-09-01,Alliance‘90/Greens
2006-01-01,10,Germany,9.106,1.875,12.48,8.117,-10.445,2005-09-01,Alliance‘90/Greens
2007-01-01,10,Germany,9.106,1.875,12.48,8.117,-10.445,2005-09-01,Alliance‘90/Greens
2008-01-01,10,Germany,9.106,1.875,12.48,8.117,-10.445,2005-09-01,Alliance‘90/Greens
2009-01-01,10,Germany,10.651,2.8360000000000003,12.069,10.706,-13.571,2009-09-01,Alliance‘90/Greens
2010-01-01,10,Germany,10.651,2.8360000000000003,12.069,10.706,-13.571,2009-09-01,Alliance‘90/Greens
2011-01-01,10,Germany,10.651,2.8360000000000003,12.069,10.706,-13.571,2009-09-01,Alliance‘90/Greens
2012-01-01,10,Germany,10.651,2.8360000000000003,12.069,10.706,-13.571,2009-09-01,Alliance‘90/Greens
2013-01-01,10,Germany,10.515999999999998,2.818,11.326,8.443999999999999,-19.595,2013-09-01,Alliance‘90/Greens
2014-01-01,10,Germany,10.515999999999998,2.818,11.326,8.443999999999999,-19.595,2013-09-01,Alliance‘90/Greens
2015-01-01,10,Germany,10.515999999999998,2.818,11.326,8.443999999999999,-19.595,2013-09-01,Alliance‘90/Greens
2016-01-01,10,Germany,10.515999999999998,2.818,11.326,8.443999999999999,-19.595,2013-09-01,Alliance‘90/Greens
2017-01-01,10,Germany,8.902999999999997,1.161,13.445,8.94,-21.058000000000003,2017-09-01,Alliance‘90/Greens
2018-01-01,10,Germany,8.902999999999997,1.161,13.445,8.94,-21.058000000000003,2017-09-01,Alliance‘90/Greens
2019-01-01,10,Germany,8.902999999999997,1.161,13.445,8.94,-21.058000000000003,2017-09-01,Alliance‘90/Greens
2020-01-01,10,Germany,8.902999999999997,1.161,13.445,8.94,-21.058000000000003,2017-09-01,Alliance‘90/Greens
1949-01-01,20,Germany,0.0,0.0,14.773,5.738,-10.227,1949-08-01,Communist Party of Germany
1950-01-01,20,Germany,0.0,0.0,14.773,5.738,-10.227,1949-08-01,Communist Party of Germany
1951-01-01,20,Germany,0.0,0.0,14.773,5.738,-10.227,1949-08-01,Communist Party of Germany
1952-01-01,20,Germany,0.0,0.0,14.773,5.738,-10.227,1949-08-01,Communist Party of Germany
1953-01-01,20,Germany,0.0,0.0,14.773,5.738,-10.227,1949-08-01,Communist Party of Germany
