index,parfam,countryname,environ,culture,equality,pervote,rile,electionDate,partyname
1974-01-01,20,Greece,0.205,0.0,5.738,5.92,-28.689,1974-11-01,Communist Party of Greece
1975-01-01,20,Greece,0.205,0.0,5.738,5.92,-28.689,1974-11-01,Communist Party of Greece
1976-01-01,20,Greece,0.205,0.0,5.738,5.92,-28.689,1974-11-01,Communist Party of Greece
1977-01-01,20,Greece,1.22,0.0,6.098,9.362,-15.244000000000002,1977-11-01,Communist Party of Greece
1978-01-01,20,Greece,1.22,0.0,6.098,9.362,-15.244000000000002,1977-11-01,Communist Party of Greece
1979-01-01,20,Greece,1.22,0.0,6.098,9.362,-15.244000000000002,1977-11-01,Communist Party of Greece
1980-01-01,20,Greece,1.22,0.0,6.098,9.362,-15.244000000000002,1977-11-01,Communist Party of Greece
1981-01-01,20,Greece,0.0,0.0,2.439,10.938,-6.098,1981-10-01,Communist Party of Greece
1982-01-01,20,Greece,0.0,0.0,2.439,10.938,-6.098,1981-10-01,Communist Party of Greece
1983-01-01,20,Greece,0.0,0.0,2.439,10.938,-6.098,1981-10-01,Communist Party of Greece
1984-01-01,20,Greece,0.0,0.0,2.439,10.938,-6.098,1981-10-01,Communist Party of Greece
1985-01-01,20,Greece,1.969,0.0,5.47,9.89,3.5010000000000003,1985-06-01,Communist Party of Greece
1986-01-01,20,Greece,1.969,0.0,5.47,9.89,3.5010000000000003,1985-06-01,Communist Party of Greece
1987-01-01,20,Greece,1.969,0.0,5.47,9.89,3.5010000000000003,1985-06-01,Communist Party of Greece
1988-01-01,20,Greece,1.969,0.0,5.47,9.89,3.5010000000000003,1985-06-01,Communist Party of Greece
1989-01-01,20,Greece,7.345,1.695,2.825,13.126,-27.684,1989-06-01,Progressive Left Coalition
1990-01-01,20,Greece,4.688,2.131,6.392,10.28,-19.318,1990-04-01,Progressive Left Coalition
1991-01-01,20,Greece,4.688,2.131,6.392,10.28,-19.318,1990-04-01,Progressive Left Coalition
1992-01-01,20,Greece,4.688,2.131,6.392,10.28,-19.318,1990-04-01,Progressive Left Coalition
1993-01-01,20,Greece,0.858,0.858,10.3,4.54,1.931,1993-10-01,Communist Party of Greece
1994-01-01,20,Greece,0.858,0.858,10.3,4.54,1.931,1993-10-01,Communist Party of Greece
1995-01-01,20,Greece,0.858,0.858,10.3,4.54,1.931,1993-10-01,Communist Party of Greece
1996-01-01,20,Greece,0.0,0.6,4.796,5.61,-11.031,1996-09-01,Communist Party of Greece
1997-01-01,20,Greece,0.0,0.6,4.796,5.61,-11.031,1996-09-01,Communist Party of Greece
1998-01-01,20,Greece,0.0,0.6,4.796,5.61,-11.031,1996-09-01,Communist Party of Greece
1999-01-01,20,Greece,0.0,0.6,4.796,5.61,-11.031,1996-09-01,Communist Party of Greece
2000-01-01,20,Greece,0.233,1.86,8.14,5.53,-34.186,2000-04-01,Communist Party of Greece
2001-01-01,20,Greece,0.233,1.86,8.14,5.53,-34.186,2000-04-01,Communist Party of Greece
2002-01-01,20,Greece,0.233,1.86,8.14,5.53,-34.186,2000-04-01,Communist Party of Greece
2003-01-01,20,Greece,0.233,1.86,8.14,5.53,-34.186,2000-04-01,Communist Party of Greece
2004-01-01,20,Greece,4.375,1.25,6.875,3.262,-20.625,2004-03-01,Coalition of the Radical Left
2005-01-01,20,Greece,4.375,1.25,6.875,3.262,-20.625,2004-03-01,Coalition of the Radical Left
2006-01-01,20,Greece,4.375,1.25,6.875,3.262,-20.625,2004-03-01,Coalition of the Radical Left
2007-01-01,20,Greece,1.786,0.0,3.571,5.045,8.929,2007-09-01,Coalition of the Radical Left
2008-01-01,20,Greece,1.786,0.0,3.571,5.045,8.929,2007-09-01,Coalition of the Radical Left
2009-01-01,20,Greece,2.381,0.0,7.143,4.602,21.429,2009-10-01,Coalition of the Radical Left
2010-01-01,20,Greece,2.381,0.0,7.143,4.602,21.429,2009-10-01,Coalition of the Radical Left
2011-01-01,20,Greece,2.381,0.0,7.143,4.602,21.429,2009-10-01,Coalition of the Radical Left
2012-01-01,20,Greece,1.111,0.741,3.704,16.781,-35.556,2012-05-01,Coalition of the Radical Left
2013-01-01,20,Greece,1.111,0.741,3.704,16.781,-35.556,2012-05-01,Coalition of the Radical Left
2014-01-01,20,Greece,1.111,0.741,3.704,16.781,-35.556,2012-05-01,Coalition of the Radical Left
2015-01-01,20,Greece,0.0,0.0,3.2260000000000004,5.341,29.032,2015-01-01,Communist Party of Greece
2016-01-01,20,Greece,0.0,0.0,3.2260000000000004,5.341,29.032,2015-01-01,Communist Party of Greece
2017-01-01,20,Greece,0.0,0.0,3.2260000000000004,5.341,29.032,2015-01-01,Communist Party of Greece
2018-01-01,20,Greece,0.0,0.0,3.2260000000000004,5.341,29.032,2015-01-01,Communist Party of Greece
2019-01-01,20,Greece,0.0,0.0,3.2260000000000004,5.341,29.032,2015-01-01,Communist Party of Greece
2020-01-01,20,Greece,0.0,0.0,3.2260000000000004,5.341,29.032,2015-01-01,Communist Party of Greece
1989-01-01,20,Greece,0.525,1.226,3.152,10.968,5.604,1989-11-01,Progressive Left Coalition
1996-01-01,20,Greece,3.704,0.0,6.667000000000002,5.119,19.259,1996-09-01,Progressive Left Coalition
2000-01-01,20,Greece,4.386,2.729,9.259,3.2,-24.951,2000-04-01,Progressive Left Coalition
2004-01-01,20,Greece,0.862,0.862,1.724,5.896,8.621,2004-03-01,Communist Party of Greece
2007-01-01,20,Greece,0.763,0.0,3.053,8.154,-53.435,2007-09-01,Communist Party of Greece
2009-01-01,20,Greece,0.0,0.0,0.0,7.541,70.58800000000002,2009-10-01,Communist Party of Greece
2012-01-01,20,Greece,0.0,0.0,2.218,8.477,23.475,2012-05-01,Communist Party of Greece
2012-01-01,20,Greece,5.252999999999999,3.228,2.785,6.106,-6.709000000000001,2012-05-01,Democratic Left
2012-01-01,20,Greece,0.0,0.0,0.613,4.503,11.043,2012-06-01,Communist Party of Greece
2012-01-01,20,Greece,9.406,20.142,1.952,26.887,-25.732,2012-06-01,Coalition of the Radical Left - Unionist Social Front
2012-01-01,20,Greece,5.252999999999999,3.228,2.785,6.256,-6.709000000000001,2012-06-01,Democratic Left
2015-01-01,20,Greece,2.649,0.0,0.662,36.34,-41.722,2015-01-01,Coalition of the Radical Left
2015-01-01,20,Greece,0.0,0.0,0.0,5.417999999999998,-44.348,2015-09-01,Communist Party of Greece
2015-01-01,20,Greece,2.081,2.879,1.769,35.46,-22.234,2015-09-01,Coalition of the Radical Left
2015-01-01,20,Greece,,,,0.74,,2015-09-01,Democratic Left
2015-01-01,20,Greece,0.426,1.702,0.0,2.86,-40.426,2015-09-01,Popular Unity
1974-01-01,30,Greece,0.368,0.0,13.628,13.575,-37.569,1974-11-01,Panhellenic Socialist Movement
1975-01-01,30,Greece,0.368,0.0,13.628,13.575,-37.569,1974-11-01,Panhellenic Socialist Movement
1976-01-01,30,Greece,0.368,0.0,13.628,13.575,-37.569,1974-11-01,Panhellenic Socialist Movement
1977-01-01,30,Greece,5.917000000000002,4.253,4.771,25.343000000000004,-27.182,1977-11-01,Panhellenic Socialist Movement
1978-01-01,30,Greece,5.917000000000002,4.253,4.771,25.343000000000004,-27.182,1977-11-01,Panhellenic Socialist Movement
1979-01-01,30,Greece,5.917000000000002,4.253,4.771,25.343000000000004,-27.182,1977-11-01,Panhellenic Socialist Movement
1980-01-01,30,Greece,5.917000000000002,4.253,4.771,25.343000000000004,-27.182,1977-11-01,Panhellenic Socialist Movement
1981-01-01,30,Greece,3.2430000000000003,4.313,6.8870000000000005,48.074,-27.115,1981-10-01,Panhellenic Socialist Movement
1982-01-01,30,Greece,3.2430000000000003,4.313,6.8870000000000005,48.074,-27.115,1981-10-01,Panhellenic Socialist Movement
1983-01-01,30,Greece,3.2430000000000003,4.313,6.8870000000000005,48.074,-27.115,1981-10-01,Panhellenic Socialist Movement
1984-01-01,30,Greece,3.2430000000000003,4.313,6.8870000000000005,48.074,-27.115,1981-10-01,Panhellenic Socialist Movement
1985-01-01,30,Greece,3.545,4.809,4.285,45.824,-28.637,1985-06-01,Panhellenic Socialist Movement
1986-01-01,30,Greece,3.545,4.809,4.285,45.824,-28.637,1985-06-01,Panhellenic Socialist Movement
1987-01-01,30,Greece,3.545,4.809,4.285,45.824,-28.637,1985-06-01,Panhellenic Socialist Movement
1988-01-01,30,Greece,3.545,4.809,4.285,45.824,-28.637,1985-06-01,Panhellenic Socialist Movement
1989-01-01,30,Greece,3.837,6.4110000000000005,3.115,39.126,-20.677,1989-06-01,Panhellenic Socialist Movement
1990-01-01,30,Greece,3.305,5.895,4.109,38.613,-29.701,1990-04-01,Panhellenic Socialist Movement
1991-01-01,30,Greece,3.305,5.895,4.109,38.613,-29.701,1990-04-01,Panhellenic Socialist Movement
1992-01-01,30,Greece,3.305,5.895,4.109,38.613,-29.701,1990-04-01,Panhellenic Socialist Movement
1993-01-01,30,Greece,6.569,6.674,3.529,46.883,-18.763,1993-10-01,Panhellenic Socialist Movement
1994-01-01,30,Greece,6.569,6.674,3.529,46.883,-18.763,1993-10-01,Panhellenic Socialist Movement
1995-01-01,30,Greece,6.569,6.674,3.529,46.883,-18.763,1993-10-01,Panhellenic Socialist Movement
1996-01-01,30,Greece,4.023,10.754,3.912,41.495,-13.795,1996-09-01,Panhellenic Socialist Movement
1997-01-01,30,Greece,4.023,10.754,3.912,41.495,-13.795,1996-09-01,Panhellenic Socialist Movement
1998-01-01,30,Greece,4.023,10.754,3.912,41.495,-13.795,1996-09-01,Panhellenic Socialist Movement
1999-01-01,30,Greece,4.023,10.754,3.912,41.495,-13.795,1996-09-01,Panhellenic Socialist Movement
2000-01-01,30,Greece,5.937,8.734,1.847,43.79,-17.23,2000-04-01,Panhellenic Socialist Movement
2001-01-01,30,Greece,5.937,8.734,1.847,43.79,-17.23,2000-04-01,Panhellenic Socialist Movement
2002-01-01,30,Greece,5.937,8.734,1.847,43.79,-17.23,2000-04-01,Panhellenic Socialist Movement
2003-01-01,30,Greece,5.937,8.734,1.847,43.79,-17.23,2000-04-01,Panhellenic Socialist Movement
