index,parfam,countryname,environ,culture,equality,pervote,rile,electionDate,partyname
2010-01-01,10,Hungary,14.089,0.514,10.467,4.15,-19.883,2010-04-01,Politics Can Be Different
2011-01-01,10,Hungary,14.089,0.514,10.467,4.15,-19.883,2010-04-01,Politics Can Be Different
2012-01-01,10,Hungary,14.089,0.514,10.467,4.15,-19.883,2010-04-01,Politics Can Be Different
2013-01-01,10,Hungary,14.089,0.514,10.467,4.15,-19.883,2010-04-01,Politics Can Be Different
2014-01-01,10,Hungary,12.191,1.08,11.876,5.273,-10.706,2014-04-01,Politics Can Be Different
2015-01-01,10,Hungary,12.191,1.08,11.876,5.273,-10.706,2014-04-01,Politics Can Be Different
2016-01-01,10,Hungary,12.191,1.08,11.876,5.273,-10.706,2014-04-01,Politics Can Be Different
2017-01-01,10,Hungary,12.191,1.08,11.876,5.273,-10.706,2014-04-01,Politics Can Be Different
2018-01-01,10,Hungary,9.527000000000001,4.874,3.471,7.055,-20.089,2018-04-01,Politics Can Be Different
2019-01-01,10,Hungary,9.527000000000001,4.874,3.471,7.055,-20.089,2018-04-01,Politics Can Be Different
2020-01-01,10,Hungary,9.527000000000001,4.874,3.471,7.055,-20.089,2018-04-01,Politics Can Be Different
2014-01-01,20,Hungary,3.032,4.0280000000000005,9.225,2.742,-6.496,2014-04-01,Democratic Coalition
2015-01-01,20,Hungary,3.032,4.0280000000000005,9.225,2.742,-6.496,2014-04-01,Democratic Coalition
2016-01-01,20,Hungary,3.032,4.0280000000000005,9.225,2.742,-6.496,2014-04-01,Democratic Coalition
2017-01-01,20,Hungary,3.032,4.0280000000000005,9.225,2.742,-6.496,2014-04-01,Democratic Coalition
2018-01-01,20,Hungary,5.3679999999999986,0.596,13.055,1.787,-36.05,2018-04-01,Dialogue for Hungary
2019-01-01,20,Hungary,5.3679999999999986,0.596,13.055,1.787,-36.05,2018-04-01,Dialogue for Hungary
2020-01-01,20,Hungary,5.3679999999999986,0.596,13.055,1.787,-36.05,2018-04-01,Dialogue for Hungary
2014-01-01,20,Hungary,2.124,1.699,11.226,2.057,0.607,2014-04-01,Together 2014 -Dialogue for Hungary Electoral Alliance
2018-01-01,20,Hungary,2.364,3.704,7.4860000000000015,5.376,-12.648,2018-04-01,Democratic Coalition
2018-01-01,20,Hungary,2.8960000000000004,3.934,4.973,0.655,-15.628,2018-04-01,Together 2014 -Dialogue for Hungary Electoral Alliance
