index,parfam,countryname,environ,culture,equality,pervote,rile,electionDate,partyname
1989-01-01,10,Ireland,25.373,1.99,8.458,1.4980000000000002,-10.945,1989-06-01,Green Party
1990-01-01,10,Ireland,25.373,1.99,8.458,1.4980000000000002,-10.945,1989-06-01,Green Party
1991-01-01,10,Ireland,25.373,1.99,8.458,1.4980000000000002,-10.945,1989-06-01,Green Party
1992-01-01,10,Ireland,25.373,1.99,8.458,1.398,-10.945,1992-11-01,Green Party
1993-01-01,10,Ireland,25.373,1.99,8.458,1.398,-10.945,1992-11-01,Green Party
1994-01-01,10,Ireland,25.373,1.99,8.458,1.398,-10.945,1992-11-01,Green Party
1995-01-01,10,Ireland,25.373,1.99,8.458,1.398,-10.945,1992-11-01,Green Party
1996-01-01,10,Ireland,25.373,1.99,8.458,1.398,-10.945,1992-11-01,Green Party
1997-01-01,10,Ireland,14.195,1.271,7.2029999999999985,2.757,-14.195,1997-06-01,Green Party
1998-01-01,10,Ireland,14.195,1.271,7.2029999999999985,2.757,-14.195,1997-06-01,Green Party
1999-01-01,10,Ireland,14.195,1.271,7.2029999999999985,2.757,-14.195,1997-06-01,Green Party
2000-01-01,10,Ireland,14.195,1.271,7.2029999999999985,2.757,-14.195,1997-06-01,Green Party
2001-01-01,10,Ireland,14.195,1.271,7.2029999999999985,2.757,-14.195,1997-06-01,Green Party
2002-01-01,10,Ireland,7.961,7.572999999999999,8.932,3.847,-30.485,2002-05-01,Green Party
2003-01-01,10,Ireland,7.961,7.572999999999999,8.932,3.847,-30.485,2002-05-01,Green Party
2004-01-01,10,Ireland,7.961,7.572999999999999,8.932,3.847,-30.485,2002-05-01,Green Party
2005-01-01,10,Ireland,7.961,7.572999999999999,8.932,3.847,-30.485,2002-05-01,Green Party
2006-01-01,10,Ireland,7.961,7.572999999999999,8.932,3.847,-30.485,2002-05-01,Green Party
2007-01-01,10,Ireland,7.11,2.124,4.801,4.692,-20.129,2007-05-01,Green Party
2008-01-01,10,Ireland,7.11,2.124,4.801,4.692,-20.129,2007-05-01,Green Party
2009-01-01,10,Ireland,7.11,2.124,4.801,4.692,-20.129,2007-05-01,Green Party
2010-01-01,10,Ireland,7.11,2.124,4.801,4.692,-20.129,2007-05-01,Green Party
2011-01-01,10,Ireland,15.789,4.174,3.63,1.8,-14.882,2011-02-01,Green Party
2012-01-01,10,Ireland,15.789,4.174,3.63,1.8,-14.882,2011-02-01,Green Party
2013-01-01,10,Ireland,15.789,4.174,3.63,1.8,-14.882,2011-02-01,Green Party
2014-01-01,10,Ireland,15.789,4.174,3.63,1.8,-14.882,2011-02-01,Green Party
2015-01-01,10,Ireland,15.789,4.174,3.63,1.8,-14.882,2011-02-01,Green Party
2016-01-01,10,Ireland,20.24,2.7960000000000003,4.527,2.719,-32.091,2016-02-01,Green Party
2017-01-01,10,Ireland,20.24,2.7960000000000003,4.527,2.719,-32.091,2016-02-01,Green Party
2018-01-01,10,Ireland,20.24,2.7960000000000003,4.527,2.719,-32.091,2016-02-01,Green Party
2019-01-01,10,Ireland,20.24,2.7960000000000003,4.527,2.719,-32.091,2016-02-01,Green Party
2020-01-01,10,Ireland,20.24,2.7960000000000003,4.527,2.719,-32.091,2016-02-01,Green Party
1981-01-01,20,Ireland,1.955,8.939,10.056,1.72,-37.43,1981-06-01,Workers’ Party
1982-01-01,20,Ireland,1.955,8.939,10.056,2.178,-37.43,1982-02-01,Workers’ Party
1983-01-01,20,Ireland,1.955,8.939,10.056,2.178,-37.43,1982-02-01,Workers’ Party
1984-01-01,20,Ireland,1.955,8.939,10.056,2.178,-37.43,1982-02-01,Workers’ Party
1985-01-01,20,Ireland,1.955,8.939,10.056,2.178,-37.43,1982-02-01,Workers’ Party
1986-01-01,20,Ireland,1.955,8.939,10.056,2.178,-37.43,1982-02-01,Workers’ Party
1987-01-01,20,Ireland,4.202,7.422999999999999,7.7029999999999985,3.785,-28.011,1987-02-01,Workers’ Party
1988-01-01,20,Ireland,4.202,7.422999999999999,7.7029999999999985,3.785,-28.011,1987-02-01,Workers’ Party
1989-01-01,20,Ireland,4.246,5.857,6.296,4.965,-32.357,1989-06-01,Workers’ Party
1990-01-01,20,Ireland,4.246,5.857,6.296,4.965,-32.357,1989-06-01,Workers’ Party
1991-01-01,20,Ireland,4.246,5.857,6.296,4.965,-32.357,1989-06-01,Workers’ Party
1992-01-01,20,Ireland,7.877000000000002,5.822,18.493,2.78,-26.712,1992-11-01,Democratic Left Party
1993-01-01,20,Ireland,7.877000000000002,5.822,18.493,2.78,-26.712,1992-11-01,Democratic Left Party
1994-01-01,20,Ireland,7.877000000000002,5.822,18.493,2.78,-26.712,1992-11-01,Democratic Left Party
1995-01-01,20,Ireland,7.877000000000002,5.822,18.493,2.78,-26.712,1992-11-01,Democratic Left Party
1996-01-01,20,Ireland,7.877000000000002,5.822,18.493,2.78,-26.712,1992-11-01,Democratic Left Party
1997-01-01,20,Ireland,4.926,1.4780000000000002,23.153,2.51,-12.315,1997-06-01,Democratic Left Party
1998-01-01,20,Ireland,4.926,1.4780000000000002,23.153,2.51,-12.315,1997-06-01,Democratic Left Party
1999-01-01,20,Ireland,4.926,1.4780000000000002,23.153,2.51,-12.315,1997-06-01,Democratic Left Party
2000-01-01,20,Ireland,4.926,1.4780000000000002,23.153,2.51,-12.315,1997-06-01,Democratic Left Party
2001-01-01,20,Ireland,4.926,1.4780000000000002,23.153,2.51,-12.315,1997-06-01,Democratic Left Party
2002-01-01,20,Ireland,4.926,1.4780000000000002,23.153,2.51,-12.315,1997-06-01,Democratic Left Party
2003-01-01,20,Ireland,4.926,1.4780000000000002,23.153,2.51,-12.315,1997-06-01,Democratic Left Party
2004-01-01,20,Ireland,4.926,1.4780000000000002,23.153,2.51,-12.315,1997-06-01,Democratic Left Party
2005-01-01,20,Ireland,4.926,1.4780000000000002,23.153,2.51,-12.315,1997-06-01,Democratic Left Party
2006-01-01,20,Ireland,4.926,1.4780000000000002,23.153,2.51,-12.315,1997-06-01,Democratic Left Party
2007-01-01,20,Ireland,4.926,1.4780000000000002,23.153,2.51,-12.315,1997-06-01,Democratic Left Party
2008-01-01,20,Ireland,4.926,1.4780000000000002,23.153,2.51,-12.315,1997-06-01,Democratic Left Party
2009-01-01,20,Ireland,4.926,1.4780000000000002,23.153,2.51,-12.315,1997-06-01,Democratic Left Party
2010-01-01,20,Ireland,4.926,1.4780000000000002,23.153,2.51,-12.315,1997-06-01,Democratic Left Party
2011-01-01,20,Ireland,5.155,0.0,1.031,2.7,-30.928,2011-02-01,United Left Alliance
2012-01-01,20,Ireland,5.155,0.0,1.031,2.7,-30.928,2011-02-01,United Left Alliance
2013-01-01,20,Ireland,5.155,0.0,1.031,2.7,-30.928,2011-02-01,United Left Alliance
2014-01-01,20,Ireland,5.155,0.0,1.031,2.7,-30.928,2011-02-01,United Left Alliance
2015-01-01,20,Ireland,5.155,0.0,1.031,2.7,-30.928,2011-02-01,United Left Alliance
2016-01-01,20,Ireland,6.845,3.274,8.631,1.977,-47.917,2016-02-01,People Before Profit Alliance
2017-01-01,20,Ireland,6.845,3.274,8.631,1.977,-47.917,2016-02-01,People Before Profit Alliance
2018-01-01,20,Ireland,6.845,3.274,8.631,1.977,-47.917,2016-02-01,People Before Profit Alliance
2019-01-01,20,Ireland,6.845,3.274,8.631,1.977,-47.917,2016-02-01,People Before Profit Alliance
2020-01-01,20,Ireland,6.845,3.274,8.631,1.977,-47.917,2016-02-01,People Before Profit Alliance
1982-01-01,20,Ireland,1.955,8.939,10.056,3.25,-37.43,1982-11-01,Workers’ Party
2011-01-01,20,Ireland,0.0,0.0,0.0,,-16.901,2011-02-01,Socialist Party
2016-01-01,20,Ireland,3.084,0.0,20.705,1.969,-32.159,2016-02-01,Anti-Austerity Alliance
2016-01-01,20,Ireland,2.362,0.0,16.535,0.349,-18.11,2016-02-01,Workers and Unemployment Action
1948-01-01,30,Ireland,0.0,0.0,15.0,8.695,-19.2,1948-02-01,Labour Party
1949-01-01,30,Ireland,0.0,0.0,15.0,8.695,-19.2,1948-02-01,Labour Party
1950-01-01,30,Ireland,0.0,0.0,15.0,8.695,-19.2,1948-02-01,Labour Party
1951-01-01,30,Ireland,0.0,0.0,3.2,11.402,-42.0,1951-05-01,Labour Party
1952-01-01,30,Ireland,0.0,0.0,3.2,11.402,-42.0,1951-05-01,Labour Party
1953-01-01,30,Ireland,0.0,0.0,3.2,11.402,-42.0,1951-05-01,Labour Party
1954-01-01,30,Ireland,0.0,0.0,22.5,12.061,-17.5,1954-05-01,Labour Party
1955-01-01,30,Ireland,0.0,0.0,22.5,12.061,-17.5,1954-05-01,Labour Party
1956-01-01,30,Ireland,0.0,0.0,22.5,12.061,-17.5,1954-05-01,Labour Party
1957-01-01,30,Ireland,0.0,0.0,2.8,9.107000000000001,-31.9,1957-03-01,Labour Party
1958-01-01,30,Ireland,0.0,0.0,2.8,9.107000000000001,-31.9,1957-03-01,Labour Party
1959-01-01,30,Ireland,0.0,0.0,2.8,9.107000000000001,-31.9,1957-03-01,Labour Party
1960-01-01,30,Ireland,0.0,0.0,2.8,9.107000000000001,-31.9,1957-03-01,Labour Party
1961-01-01,30,Ireland,0.0,0.0,4.9,11.649,-34.4,1961-10-01,Labour Party
1962-01-01,30,Ireland,0.0,0.0,4.9,11.649,-34.4,1961-10-01,Labour Party
1963-01-01,30,Ireland,0.0,0.0,4.9,11.649,-34.4,1961-10-01,Labour Party
1964-01-01,30,Ireland,0.0,0.0,4.9,11.649,-34.4,1961-10-01,Labour Party
1965-01-01,30,Ireland,12.1,12.9,0.0,15.380999999999998,-15.8,1965-04-01,Labour Party
1966-01-01,30,Ireland,12.1,12.9,0.0,15.380999999999998,-15.8,1965-04-01,Labour Party
1967-01-01,30,Ireland,12.1,12.9,0.0,15.380999999999998,-15.8,1965-04-01,Labour Party
1968-01-01,30,Ireland,12.1,12.9,0.0,15.380999999999998,-15.8,1965-04-01,Labour Party
1969-01-01,30,Ireland,0.0,0.0,7.8,17.021,-16.6,1969-06-01,Labour Party
1970-01-01,30,Ireland,0.0,0.0,7.8,17.021,-16.6,1969-06-01,Labour Party
1971-01-01,30,Ireland,0.0,0.0,7.8,17.021,-16.6,1969-06-01,Labour Party
1972-01-01,30,Ireland,0.0,0.0,7.8,17.021,-16.6,1969-06-01,Labour Party
1973-01-01,30,Ireland,3.4,0.0,13.5,13.673,-19.1,1973-02-01,Labour Party
1974-01-01,30,Ireland,3.4,0.0,13.5,13.673,-19.1,1973-02-01,Labour Party
1975-01-01,30,Ireland,3.4,0.0,13.5,13.673,-19.1,1973-02-01,Labour Party
1976-01-01,30,Ireland,3.4,0.0,13.5,13.673,-19.1,1973-02-01,Labour Party
1977-01-01,30,Ireland,1.2,2.8,0.6,11.629,-16.0,1977-06-01,Labour Party
1978-01-01,30,Ireland,1.2,2.8,0.6,11.629,-16.0,1977-06-01,Labour Party
1979-01-01,30,Ireland,1.2,2.8,0.6,11.629,-16.0,1977-06-01,Labour Party
1980-01-01,30,Ireland,1.2,2.8,0.6,11.629,-16.0,1977-06-01,Labour Party
1981-01-01,30,Ireland,1.9,1.9,13.3,9.892999999999999,-8.700000000000001,1981-06-01,Labour Party
1982-01-01,30,Ireland,0.0,0.0,20.69,9.121,-20.69,1982-02-01,Labour Party
1983-01-01,30,Ireland,0.0,0.0,20.69,9.121,-20.69,1982-02-01,Labour Party
1984-01-01,30,Ireland,0.0,0.0,20.69,9.121,-20.69,1982-02-01,Labour Party
1985-01-01,30,Ireland,0.0,0.0,20.69,9.121,-20.69,1982-02-01,Labour Party
1986-01-01,30,Ireland,0.0,0.0,20.69,9.121,-20.69,1982-02-01,Labour Party
1987-01-01,30,Ireland,2.062,2.062,18.557,6.4460000000000015,-21.306,1987-02-01,Labour Party
1988-01-01,30,Ireland,2.062,2.062,18.557,6.4460000000000015,-21.306,1987-02-01,Labour Party
1989-01-01,30,Ireland,1.105,0.0,16.022000000000002,9.475,-29.282,1989-06-01,Labour Party
