index,parfam,countryname,environ,culture,equality,pervote,rile,electionDate,partyname
1993-01-01,20,Latvia,0.0,2.273,0.0,12.008,20.455,1993-06-01,Harmony for Latvia - Rebirth of the Economy
1994-01-01,20,Latvia,0.0,2.273,0.0,12.008,20.455,1993-06-01,Harmony for Latvia - Rebirth of the Economy
1995-01-01,20,Latvia,1.695,3.39,1.695,7.182,-16.949,1995-09-01,Latvian Unity Party
1996-01-01,20,Latvia,1.695,3.39,1.695,7.182,-16.949,1995-09-01,Latvian Unity Party
1997-01-01,20,Latvia,1.695,3.39,1.695,7.182,-16.949,1995-09-01,Latvian Unity Party
1998-01-01,20,Latvia,2.521,3.361,5.042,14.201,-17.647000000000006,1998-10-01,National Harmony Party
1999-01-01,20,Latvia,2.521,3.361,5.042,14.201,-17.647000000000006,1998-10-01,National Harmony Party
2000-01-01,20,Latvia,2.521,3.361,5.042,14.201,-17.647000000000006,1998-10-01,National Harmony Party
2001-01-01,20,Latvia,2.521,3.361,5.042,14.201,-17.647000000000006,1998-10-01,National Harmony Party
2002-01-01,20,Latvia,2.521,3.361,5.042,14.201,-17.647000000000006,1998-10-01,National Harmony Party
2003-01-01,20,Latvia,2.521,3.361,5.042,14.201,-17.647000000000006,1998-10-01,National Harmony Party
2004-01-01,20,Latvia,2.521,3.361,5.042,14.201,-17.647000000000006,1998-10-01,National Harmony Party
2005-01-01,20,Latvia,2.521,3.361,5.042,14.201,-17.647000000000006,1998-10-01,National Harmony Party
2006-01-01,20,Latvia,0.0,0.0,14.474,14.423,-26.316,2006-10-01,Concord Centre
2007-01-01,20,Latvia,0.0,0.0,14.474,14.423,-26.316,2006-10-01,Concord Centre
2008-01-01,20,Latvia,0.0,0.0,14.474,14.423,-26.316,2006-10-01,Concord Centre
2009-01-01,20,Latvia,0.0,0.0,14.474,14.423,-26.316,2006-10-01,Concord Centre
2010-01-01,20,Latvia,0.0,0.0,4.412,26.608,13.235,2010-10-01,Concord Centre
2011-01-01,20,Latvia,0.0,0.0,14.634,28.62,17.073,2011-09-01,Concord Centre
2012-01-01,20,Latvia,0.0,0.0,14.634,28.62,17.073,2011-09-01,Concord Centre
2013-01-01,20,Latvia,0.0,0.0,14.634,28.62,17.073,2011-09-01,Concord Centre
2014-01-01,20,Latvia,0.0,0.0,14.634,28.62,17.073,2011-09-01,Concord Centre
2015-01-01,20,Latvia,0.0,0.0,14.634,28.62,17.073,2011-09-01,Concord Centre
2016-01-01,20,Latvia,0.0,0.0,14.634,28.62,17.073,2011-09-01,Concord Centre
2017-01-01,20,Latvia,0.0,0.0,14.634,28.62,17.073,2011-09-01,Concord Centre
2018-01-01,20,Latvia,0.0,0.0,14.634,28.62,17.073,2011-09-01,Concord Centre
2019-01-01,20,Latvia,0.0,0.0,14.634,28.62,17.073,2011-09-01,Concord Centre
2020-01-01,20,Latvia,0.0,0.0,14.634,28.62,17.073,2011-09-01,Concord Centre
1995-01-01,20,Latvia,0.0,2.174,2.174,5.577000000000001,-19.565,1995-09-01,National Harmony Party
1995-01-01,30,Latvia,0.0,0.0,4.651,5.607,-39.535,1995-09-01,Latvian Socialist Party
1996-01-01,30,Latvia,0.0,0.0,4.651,5.607,-39.535,1995-09-01,Latvian Socialist Party
1997-01-01,30,Latvia,0.0,0.0,4.651,5.607,-39.535,1995-09-01,Latvian Socialist Party
1998-01-01,30,Latvia,2.229,5.497999999999998,2.675,12.878,-1.932,1998-10-01,Latvian Social Democratic Alliance
1999-01-01,30,Latvia,2.229,5.497999999999998,2.675,12.878,-1.932,1998-10-01,Latvian Social Democratic Alliance
2000-01-01,30,Latvia,2.229,5.497999999999998,2.675,12.878,-1.932,1998-10-01,Latvian Social Democratic Alliance
2001-01-01,30,Latvia,2.229,5.497999999999998,2.675,12.878,-1.932,1998-10-01,Latvian Social Democratic Alliance
2002-01-01,30,Latvia,0.0,1.6130000000000002,4.839,19.095,1.6130000000000002,2002-10-01,For Human Rights in a United Latvia
2003-01-01,30,Latvia,0.0,1.6130000000000002,4.839,19.095,1.6130000000000002,2002-10-01,For Human Rights in a United Latvia
2004-01-01,30,Latvia,0.0,1.6130000000000002,4.839,19.095,1.6130000000000002,2002-10-01,For Human Rights in a United Latvia
2005-01-01,30,Latvia,0.0,1.6130000000000002,4.839,19.095,1.6130000000000002,2002-10-01,For Human Rights in a United Latvia
2006-01-01,30,Latvia,1.695,0.0,8.475,6.026,-22.034,2006-10-01,For Human Rights in a United Latvia
2007-01-01,30,Latvia,1.695,0.0,8.475,6.026,-22.034,2006-10-01,For Human Rights in a United Latvia
2008-01-01,30,Latvia,1.695,0.0,8.475,6.026,-22.034,2006-10-01,For Human Rights in a United Latvia
2009-01-01,30,Latvia,1.695,0.0,8.475,6.026,-22.034,2006-10-01,For Human Rights in a United Latvia
2010-01-01,30,Latvia,1.695,0.0,8.475,6.026,-22.034,2006-10-01,For Human Rights in a United Latvia
2011-01-01,30,Latvia,1.695,0.0,8.475,6.026,-22.034,2006-10-01,For Human Rights in a United Latvia
2012-01-01,30,Latvia,1.695,0.0,8.475,6.026,-22.034,2006-10-01,For Human Rights in a United Latvia
2013-01-01,30,Latvia,1.695,0.0,8.475,6.026,-22.034,2006-10-01,For Human Rights in a United Latvia
2014-01-01,30,Latvia,0.0,4.255,29.787,23.153,12.765999999999998,2014-10-01,Social Democartic Party Harmony
2015-01-01,30,Latvia,0.0,4.255,29.787,23.153,12.765999999999998,2014-10-01,Social Democartic Party Harmony
2016-01-01,30,Latvia,0.0,4.255,29.787,23.153,12.765999999999998,2014-10-01,Social Democartic Party Harmony
2017-01-01,30,Latvia,0.0,4.255,29.787,23.153,12.765999999999998,2014-10-01,Social Democartic Party Harmony
2018-01-01,30,Latvia,0.0,0.0,7.042000000000002,19.919,-9.859,2018-10-01,Social Democartic Party Harmony
2019-01-01,30,Latvia,0.0,0.0,7.042000000000002,19.919,-9.859,2018-10-01,Social Democartic Party Harmony
2020-01-01,30,Latvia,0.0,0.0,7.042000000000002,19.919,-9.859,2018-10-01,Social Democartic Party Harmony
1993-01-01,40,Latvia,0.0,0.0,0.448,32.412,15.695,1993-06-01,Latvian Way Union
1994-01-01,40,Latvia,0.0,0.0,0.448,32.412,15.695,1993-06-01,Latvian Way Union
1995-01-01,40,Latvia,0.0,7.143,2.381,14.714,28.571,1995-09-01,Latvian Way Union
1996-01-01,40,Latvia,0.0,7.143,2.381,14.714,28.571,1995-09-01,Latvian Way Union
1997-01-01,40,Latvia,0.0,7.143,2.381,14.714,28.571,1995-09-01,Latvian Way Union
1998-01-01,40,Latvia,6.595,3.903,1.211,18.148,4.441,1998-10-01,Latvian Way Union
1999-01-01,40,Latvia,6.595,3.903,1.211,18.148,4.441,1998-10-01,Latvian Way Union
2000-01-01,40,Latvia,6.595,3.903,1.211,18.148,4.441,1998-10-01,Latvian Way Union
2001-01-01,40,Latvia,6.595,3.903,1.211,18.148,4.441,1998-10-01,Latvian Way Union
2002-01-01,40,Latvia,0.0,9.375,0.0,4.89,-1.5619999999999998,2002-10-01,Latvian Way Union
2003-01-01,40,Latvia,0.0,9.375,0.0,4.89,-1.5619999999999998,2002-10-01,Latvian Way Union
2004-01-01,40,Latvia,0.0,9.375,0.0,4.89,-1.5619999999999998,2002-10-01,Latvian Way Union
2005-01-01,40,Latvia,0.0,9.375,0.0,4.89,-1.5619999999999998,2002-10-01,Latvian Way Union
2006-01-01,40,Latvia,1.493,4.478,0.0,8.581,8.955,2006-10-01,‘Latvia's First Party' and ‘Latvian Way' Union
2007-01-01,40,Latvia,1.493,4.478,0.0,8.581,8.955,2006-10-01,‘Latvia's First Party' and ‘Latvian Way' Union
2008-01-01,40,Latvia,1.493,4.478,0.0,8.581,8.955,2006-10-01,‘Latvia's First Party' and ‘Latvian Way' Union
2009-01-01,40,Latvia,1.493,4.478,0.0,8.581,8.955,2006-10-01,‘Latvia's First Party' and ‘Latvian Way' Union
2010-01-01,40,Latvia,0.0,0.0,0.0,7.819,33.333,2010-10-01,For a Good Latvia
2011-01-01,40,Latvia,0.0,0.0,0.0,7.819,33.333,2010-10-01,For a Good Latvia
2012-01-01,40,Latvia,0.0,0.0,0.0,7.819,33.333,2010-10-01,For a Good Latvia
2013-01-01,40,Latvia,0.0,0.0,0.0,7.819,33.333,2010-10-01,For a Good Latvia
2014-01-01,40,Latvia,0.0,0.0,0.0,7.819,33.333,2010-10-01,For a Good Latvia
2015-01-01,40,Latvia,0.0,0.0,0.0,7.819,33.333,2010-10-01,For a Good Latvia
2016-01-01,40,Latvia,0.0,0.0,0.0,7.819,33.333,2010-10-01,For a Good Latvia
2017-01-01,40,Latvia,0.0,0.0,0.0,7.819,33.333,2010-10-01,For a Good Latvia
2018-01-01,40,Latvia,2.083,1.042,17.708,12.12,-16.667,2018-10-01,Development/For!
2019-01-01,40,Latvia,2.083,1.042,17.708,12.12,-16.667,2018-10-01,Development/For!
2020-01-01,40,Latvia,2.083,1.042,17.708,12.12,-16.667,2018-10-01,Development/For!
1993-01-01,40,Latvia,5.65,9.605,1.695,0.136,20.904,1993-06-01,Latvian Liberal Party
1993-01-01,40,Latvia,3.704,6.79,3.704,4.766,4.3210000000000015,1993-06-01,Democratic Centre Party
1995-01-01,40,Latvia,0.0,1.754,3.509,15.222,-26.316,1995-09-01,Democratic Party ‘Saimnieks’
1998-01-01,40,Latvia,1.163,3.488,0.0,7.348,19.767,1998-10-01,New Party
1993-01-01,50,Latvia,1.923,3.846,1.923,5.013,5.769,1993-06-01,Christian Democratic Union
1994-01-01,50,Latvia,1.923,3.846,1.923,5.013,5.769,1993-06-01,Christian Democratic Union
1995-01-01,50,Latvia,1.923,3.846,1.923,5.013,5.769,1993-06-01,Christian Democratic Union
1996-01-01,50,Latvia,1.923,3.846,1.923,5.013,5.769,1993-06-01,Christian Democratic Union
1997-01-01,50,Latvia,1.923,3.846,1.923,5.013,5.769,1993-06-01,Christian Democratic Union
1998-01-01,50,Latvia,1.923,3.846,1.923,5.013,5.769,1993-06-01,Christian Democratic Union
1999-01-01,50,Latvia,1.923,3.846,1.923,5.013,5.769,1993-06-01,Christian Democratic Union
2000-01-01,50,Latvia,1.923,3.846,1.923,5.013,5.769,1993-06-01,Christian Democratic Union
2001-01-01,50,Latvia,1.923,3.846,1.923,5.013,5.769,1993-06-01,Christian Democratic Union
2002-01-01,50,Latvia,0.0,6.349,0.0,9.568999999999999,4.762,2002-10-01,Latvia’s First Party
2003-01-01,50,Latvia,0.0,6.349,0.0,9.568999999999999,4.762,2002-10-01,Latvia’s First Party
2004-01-01,50,Latvia,0.0,6.349,0.0,9.568999999999999,4.762,2002-10-01,Latvia’s First Party
2005-01-01,50,Latvia,0.0,6.349,0.0,9.568999999999999,4.762,2002-10-01,Latvia’s First Party
2006-01-01,50,Latvia,0.0,6.349,0.0,9.568999999999999,4.762,2002-10-01,Latvia’s First Party
2007-01-01,50,Latvia,0.0,6.349,0.0,9.568999999999999,4.762,2002-10-01,Latvia’s First Party
2008-01-01,50,Latvia,0.0,6.349,0.0,9.568999999999999,4.762,2002-10-01,Latvia’s First Party
2009-01-01,50,Latvia,0.0,6.349,0.0,9.568999999999999,4.762,2002-10-01,Latvia’s First Party
2010-01-01,50,Latvia,0.0,6.349,0.0,9.568999999999999,4.762,2002-10-01,Latvia’s First Party
2011-01-01,50,Latvia,0.0,6.349,0.0,9.568999999999999,4.762,2002-10-01,Latvia’s First Party
2012-01-01,50,Latvia,0.0,6.349,0.0,9.568999999999999,4.762,2002-10-01,Latvia’s First Party
2013-01-01,50,Latvia,0.0,6.349,0.0,9.568999999999999,4.762,2002-10-01,Latvia’s First Party
2014-01-01,50,Latvia,0.0,6.349,0.0,9.568999999999999,4.762,2002-10-01,Latvia’s First Party
2015-01-01,50,Latvia,0.0,6.349,0.0,9.568999999999999,4.762,2002-10-01,Latvia’s First Party
2016-01-01,50,Latvia,0.0,6.349,0.0,9.568999999999999,4.762,2002-10-01,Latvia’s First Party
2017-01-01,50,Latvia,0.0,6.349,0.0,9.568999999999999,4.762,2002-10-01,Latvia’s First Party
2018-01-01,50,Latvia,0.0,6.349,0.0,9.568999999999999,4.762,2002-10-01,Latvia’s First Party
2019-01-01,50,Latvia,0.0,6.349,0.0,9.568999999999999,4.762,2002-10-01,Latvia’s First Party
2020-01-01,50,Latvia,0.0,6.349,0.0,9.568999999999999,4.762,2002-10-01,Latvia’s First Party
1993-01-01,60,Latvia,4.819,13.855,0.0,13.355,19.88,1993-06-01,Latvian National Independence Movement
1994-01-01,60,Latvia,4.819,13.855,0.0,13.355,19.88,1993-06-01,Latvian National Independence Movement
1995-01-01,60,Latvia,12.765999999999998,2.128,0.0,6.346,12.765999999999998,1995-09-01,Coalition Latvian National Conservative Party and Latvian Green Party
1996-01-01,60,Latvia,12.765999999999998,2.128,0.0,6.346,12.765999999999998,1995-09-01,Coalition Latvian National Conservative Party and Latvian Green Party
1997-01-01,60,Latvia,12.765999999999998,2.128,0.0,6.346,12.765999999999998,1995-09-01,Coalition Latvian National Conservative Party and Latvian Green Party
1998-01-01,60,Latvia,1.844,3.484,0.615,21.305,4.918,1998-10-01,People’s Party
1999-01-01,60,Latvia,1.844,3.484,0.615,21.305,4.918,1998-10-01,People’s Party
2000-01-01,60,Latvia,1.844,3.484,0.615,21.305,4.918,1998-10-01,People’s Party
2001-01-01,60,Latvia,1.844,3.484,0.615,21.305,4.918,1998-10-01,People’s Party
2002-01-01,60,Latvia,2.985,4.478,4.478,23.979,-8.955,2002-10-01,New Era
2003-01-01,60,Latvia,2.985,4.478,4.478,23.979,-8.955,2002-10-01,New Era
2004-01-01,60,Latvia,2.985,4.478,4.478,23.979,-8.955,2002-10-01,New Era
2005-01-01,60,Latvia,2.985,4.478,4.478,23.979,-8.955,2002-10-01,New Era
2006-01-01,60,Latvia,1.493,0.0,2.985,16.375999999999998,-7.462999999999999,2006-10-01,New Era
2007-01-01,60,Latvia,1.493,0.0,2.985,16.375999999999998,-7.462999999999999,2006-10-01,New Era
2008-01-01,60,Latvia,1.493,0.0,2.985,16.375999999999998,-7.462999999999999,2006-10-01,New Era
2009-01-01,60,Latvia,1.493,0.0,2.985,16.375999999999998,-7.462999999999999,2006-10-01,New Era
2010-01-01,60,Latvia,0.0,2.857,4.2860000000000005,31.903,5.714,2010-10-01,Unity
2011-01-01,60,Latvia,3.333,11.667,3.333,19.0,-8.333,2011-09-01,Unity
2012-01-01,60,Latvia,3.333,11.667,3.333,19.0,-8.333,2011-09-01,Unity
2013-01-01,60,Latvia,3.333,11.667,3.333,19.0,-8.333,2011-09-01,Unity
2014-01-01,60,Latvia,0.0,1.818,5.455,22.011,5.455,2014-10-01,Unity
2015-01-01,60,Latvia,0.0,1.818,5.455,22.011,5.455,2014-10-01,Unity
2016-01-01,60,Latvia,0.0,1.818,5.455,22.011,5.455,2014-10-01,Unity
2017-01-01,60,Latvia,0.0,1.818,5.455,22.011,5.455,2014-10-01,Unity
2018-01-01,60,Latvia,0.0,0.0,5.332999999999998,6.739,4.0,2018-10-01,Unity
2019-01-01,60,Latvia,0.0,0.0,5.332999999999998,6.739,4.0,2018-10-01,Unity
2020-01-01,60,Latvia,0.0,0.0,5.332999999999998,6.739,4.0,2018-10-01,Unity
2002-01-01,60,Latvia,0.0,0.0,0.0,16.687,5.0,2002-10-01,People’s Party
2006-01-01,60,Latvia,0.0,0.0,0.0,19.558,19.444000000000006,2006-10-01,People’s Party
2011-01-01,60,Latvia,0.0,6.349,4.762,21.014,-1.587,2011-09-01,Zatlers' Reform Party
2014-01-01,60,Latvia,2.0,2.0,4.0,6.897,6.0,2014-10-01,For Latvia from the Heart
2018-01-01,60,Latvia,0.0,2.857,1.429,13.67,20.0,2018-10-01,New Conservative Party
1993-01-01,70,Latvia,0.0,5.8820000000000014,0.0,5.352,11.765,1993-06-01,For Fatherland and Freedom
1994-01-01,70,Latvia,0.0,5.8820000000000014,0.0,5.352,11.765,1993-06-01,For Fatherland and Freedom
1995-01-01,70,Latvia,0.0,1.724,0.0,11.993,1.724,1995-09-01,For Fatherland and Freedom
1996-01-01,70,Latvia,0.0,1.724,0.0,11.993,1.724,1995-09-01,For Fatherland and Freedom
1997-01-01,70,Latvia,0.0,1.724,0.0,11.993,1.724,1995-09-01,For Fatherland and Freedom
1998-01-01,70,Latvia,2.481,3.883,2.481,14.732,0.971,1998-10-01,For Fatherland and Freedom - Latvian National Independence Movement
1999-01-01,70,Latvia,2.481,3.883,2.481,14.732,0.971,1998-10-01,For Fatherland and Freedom - Latvian National Independence Movement
2000-01-01,70,Latvia,2.481,3.883,2.481,14.732,0.971,1998-10-01,For Fatherland and Freedom - Latvian National Independence Movement
2001-01-01,70,Latvia,2.481,3.883,2.481,14.732,0.971,1998-10-01,For Fatherland and Freedom - Latvian National Independence Movement
2002-01-01,70,Latvia,2.667,2.667,1.3330000000000002,5.392,8.0,2002-10-01,For Fatherland and Freedom - Latvian National Independence Movement
2003-01-01,70,Latvia,2.667,2.667,1.3330000000000002,5.392,8.0,2002-10-01,For Fatherland and Freedom - Latvian National Independence Movement
2004-01-01,70,Latvia,2.667,2.667,1.3330000000000002,5.392,8.0,2002-10-01,For Fatherland and Freedom - Latvian National Independence Movement
2005-01-01,70,Latvia,2.667,2.667,1.3330000000000002,5.392,8.0,2002-10-01,For Fatherland and Freedom - Latvian National Independence Movement
2006-01-01,70,Latvia,1.961,1.961,35.29400000000001,6.941,7.843,2006-10-01,For Fatherland and Freedom - Latvian National Independence Movement
2007-01-01,70,Latvia,1.961,1.961,35.29400000000001,6.941,7.843,2006-10-01,For Fatherland and Freedom - Latvian National Independence Movement
2008-01-01,70,Latvia,1.961,1.961,35.29400000000001,6.941,7.843,2006-10-01,For Fatherland and Freedom - Latvian National Independence Movement
2009-01-01,70,Latvia,1.961,1.961,35.29400000000001,6.941,7.843,2006-10-01,For Fatherland and Freedom - Latvian National Independence Movement
2010-01-01,70,Latvia,0.0,0.0,1.724,7.835,31.034,2010-10-01,National Alliance ‘All For Latvia!' – ‘For Fatherland and Freedom - Latvian National Independence Movement'
2011-01-01,70,Latvia,3.922,0.0,7.843,14.005999999999998,41.176,2011-09-01,National Alliance ‘All For Latvia!' – ‘For Fatherland and Freedom - Latvian National Independence Movement'
2012-01-01,70,Latvia,3.922,0.0,7.843,14.005999999999998,41.176,2011-09-01,National Alliance ‘All For Latvia!' – ‘For Fatherland and Freedom - Latvian National Independence Movement'
