index,parfam,countryname,environ,culture,equality,pervote,rile,electionDate,partyname
1992-01-01,20,Lithuania,1.695,3.39,1.695,43.976000000000006,28.814,1992-10-01,Lithuanian Democratic Labour Party
1993-01-01,20,Lithuania,1.695,3.39,1.695,43.976000000000006,28.814,1992-10-01,Lithuanian Democratic Labour Party
1994-01-01,20,Lithuania,1.695,3.39,1.695,43.976000000000006,28.814,1992-10-01,Lithuanian Democratic Labour Party
1995-01-01,20,Lithuania,1.695,3.39,1.695,43.976000000000006,28.814,1992-10-01,Lithuanian Democratic Labour Party
1996-01-01,20,Lithuania,0.0,1.596,2.394,10.011,-0.266,1996-10-01,Lithuanian Democratic Labour Party
1997-01-01,20,Lithuania,0.0,1.596,2.394,10.011,-0.266,1996-10-01,Lithuanian Democratic Labour Party
1998-01-01,20,Lithuania,0.0,1.596,2.394,10.011,-0.266,1996-10-01,Lithuanian Democratic Labour Party
1999-01-01,20,Lithuania,0.0,1.596,2.394,10.011,-0.266,1996-10-01,Lithuanian Democratic Labour Party
2000-01-01,20,Lithuania,0.0,1.596,2.394,10.011,-0.266,1996-10-01,Lithuanian Democratic Labour Party
2001-01-01,20,Lithuania,0.0,1.596,2.394,10.011,-0.266,1996-10-01,Lithuanian Democratic Labour Party
2002-01-01,20,Lithuania,0.0,1.596,2.394,10.011,-0.266,1996-10-01,Lithuanian Democratic Labour Party
2003-01-01,20,Lithuania,0.0,1.596,2.394,10.011,-0.266,1996-10-01,Lithuanian Democratic Labour Party
2004-01-01,20,Lithuania,0.0,1.596,2.394,10.011,-0.266,1996-10-01,Lithuanian Democratic Labour Party
2005-01-01,20,Lithuania,0.0,1.596,2.394,10.011,-0.266,1996-10-01,Lithuanian Democratic Labour Party
2006-01-01,20,Lithuania,0.0,1.596,2.394,10.011,-0.266,1996-10-01,Lithuanian Democratic Labour Party
2007-01-01,20,Lithuania,0.0,1.596,2.394,10.011,-0.266,1996-10-01,Lithuanian Democratic Labour Party
2008-01-01,20,Lithuania,0.0,1.596,2.394,10.011,-0.266,1996-10-01,Lithuanian Democratic Labour Party
2009-01-01,20,Lithuania,0.0,1.596,2.394,10.011,-0.266,1996-10-01,Lithuanian Democratic Labour Party
2010-01-01,20,Lithuania,0.0,1.596,2.394,10.011,-0.266,1996-10-01,Lithuanian Democratic Labour Party
2011-01-01,20,Lithuania,0.0,1.596,2.394,10.011,-0.266,1996-10-01,Lithuanian Democratic Labour Party
2012-01-01,20,Lithuania,0.0,1.596,2.394,10.011,-0.266,1996-10-01,Lithuanian Democratic Labour Party
2013-01-01,20,Lithuania,0.0,1.596,2.394,10.011,-0.266,1996-10-01,Lithuanian Democratic Labour Party
2014-01-01,20,Lithuania,0.0,1.596,2.394,10.011,-0.266,1996-10-01,Lithuanian Democratic Labour Party
2015-01-01,20,Lithuania,0.0,1.596,2.394,10.011,-0.266,1996-10-01,Lithuanian Democratic Labour Party
2016-01-01,20,Lithuania,0.0,1.596,2.394,10.011,-0.266,1996-10-01,Lithuanian Democratic Labour Party
2017-01-01,20,Lithuania,0.0,1.596,2.394,10.011,-0.266,1996-10-01,Lithuanian Democratic Labour Party
2018-01-01,20,Lithuania,0.0,1.596,2.394,10.011,-0.266,1996-10-01,Lithuanian Democratic Labour Party
2019-01-01,20,Lithuania,0.0,1.596,2.394,10.011,-0.266,1996-10-01,Lithuanian Democratic Labour Party
2020-01-01,20,Lithuania,0.0,1.596,2.394,10.011,-0.266,1996-10-01,Lithuanian Democratic Labour Party
1992-01-01,30,Lithuania,2.445,1.222,1.4509999999999998,6.047999999999999,0.993,1992-10-01,Lithuanian Social Democratic Party
1993-01-01,30,Lithuania,2.445,1.222,1.4509999999999998,6.047999999999999,0.993,1992-10-01,Lithuanian Social Democratic Party
1994-01-01,30,Lithuania,2.445,1.222,1.4509999999999998,6.047999999999999,0.993,1992-10-01,Lithuanian Social Democratic Party
1995-01-01,30,Lithuania,2.445,1.222,1.4509999999999998,6.047999999999999,0.993,1992-10-01,Lithuanian Social Democratic Party
1996-01-01,30,Lithuania,1.954,2.487,3.02,6.944,-9.325,1996-10-01,Lithuanian Social Democratic Party
1997-01-01,30,Lithuania,1.954,2.487,3.02,6.944,-9.325,1996-10-01,Lithuanian Social Democratic Party
1998-01-01,30,Lithuania,1.954,2.487,3.02,6.944,-9.325,1996-10-01,Lithuanian Social Democratic Party
1999-01-01,30,Lithuania,1.954,2.487,3.02,6.944,-9.325,1996-10-01,Lithuanian Social Democratic Party
2000-01-01,30,Lithuania,5.728,8.234,5.012,31.082,-9.068999999999999,2000-10-01,A. Brazauskas Social Democratic Coalition
2001-01-01,30,Lithuania,5.728,8.234,5.012,31.082,-9.068999999999999,2000-10-01,A. Brazauskas Social Democratic Coalition
2002-01-01,30,Lithuania,5.728,8.234,5.012,31.082,-9.068999999999999,2000-10-01,A. Brazauskas Social Democratic Coalition
2003-01-01,30,Lithuania,5.728,8.234,5.012,31.082,-9.068999999999999,2000-10-01,A. Brazauskas Social Democratic Coalition
2004-01-01,30,Lithuania,6.104,6.752999999999999,3.117,20.646,-14.286,2004-10-01,Working for Lithuania
2005-01-01,30,Lithuania,6.104,6.752999999999999,3.117,20.646,-14.286,2004-10-01,Working for Lithuania
2006-01-01,30,Lithuania,6.104,6.752999999999999,3.117,20.646,-14.286,2004-10-01,Working for Lithuania
2007-01-01,30,Lithuania,6.104,6.752999999999999,3.117,20.646,-14.286,2004-10-01,Working for Lithuania
2008-01-01,30,Lithuania,2.283,4.0939999999999985,6.299,11.716,-7.402,2008-10-01,Lithuanian Social Democratic Party
2009-01-01,30,Lithuania,2.283,4.0939999999999985,6.299,11.716,-7.402,2008-10-01,Lithuanian Social Democratic Party
2010-01-01,30,Lithuania,2.283,4.0939999999999985,6.299,11.716,-7.402,2008-10-01,Lithuanian Social Democratic Party
2011-01-01,30,Lithuania,2.283,4.0939999999999985,6.299,11.716,-7.402,2008-10-01,Lithuanian Social Democratic Party
2012-01-01,30,Lithuania,6.592000000000001,6.667000000000002,6.217000000000001,19.176,-10.412,2012-10-01,Lithuanian Social Democratic Party
