index,parfam,countryname,environ,culture,equality,pervote,rile,electionDate,partyname
1984-01-01,10,Luxembourg,12.5,5.100000000000001,4.1,4.2,-29.6,1984-06-01,Green Alternative
1985-01-01,10,Luxembourg,12.5,5.100000000000001,4.1,4.2,-29.6,1984-06-01,Green Alternative
1986-01-01,10,Luxembourg,12.5,5.100000000000001,4.1,4.2,-29.6,1984-06-01,Green Alternative
1987-01-01,10,Luxembourg,12.5,5.100000000000001,4.1,4.2,-29.6,1984-06-01,Green Alternative
1988-01-01,10,Luxembourg,12.5,5.100000000000001,4.1,4.2,-29.6,1984-06-01,Green Alternative
1989-01-01,10,Luxembourg,50.9,0.6,0.6,3.7,-17.5,1989-06-01,Green Left Ecological Initiative
1990-01-01,10,Luxembourg,50.9,0.6,0.6,3.7,-17.5,1989-06-01,Green Left Ecological Initiative
1991-01-01,10,Luxembourg,50.9,0.6,0.6,3.7,-17.5,1989-06-01,Green Left Ecological Initiative
1992-01-01,10,Luxembourg,50.9,0.6,0.6,3.7,-17.5,1989-06-01,Green Left Ecological Initiative
1993-01-01,10,Luxembourg,50.9,0.6,0.6,3.7,-17.5,1989-06-01,Green Left Ecological Initiative
1994-01-01,10,Luxembourg,24.529,4.294,1.235,9.9,-21.765,1994-06-01,Green Left Ecological Initiative - Green Alternative
1995-01-01,10,Luxembourg,24.529,4.294,1.235,9.9,-21.765,1994-06-01,Green Left Ecological Initiative - Green Alternative
1996-01-01,10,Luxembourg,24.529,4.294,1.235,9.9,-21.765,1994-06-01,Green Left Ecological Initiative - Green Alternative
1997-01-01,10,Luxembourg,24.529,4.294,1.235,9.9,-21.765,1994-06-01,Green Left Ecological Initiative - Green Alternative
1998-01-01,10,Luxembourg,24.529,4.294,1.235,9.9,-21.765,1994-06-01,Green Left Ecological Initiative - Green Alternative
1999-01-01,10,Luxembourg,11.459,2.521,7.6389999999999985,9.6,-4.8889999999999985,1999-06-01,Green Left Ecological Initiative - Green Alternative
2000-01-01,10,Luxembourg,11.459,2.521,7.6389999999999985,9.6,-4.8889999999999985,1999-06-01,Green Left Ecological Initiative - Green Alternative
2001-01-01,10,Luxembourg,11.459,2.521,7.6389999999999985,9.6,-4.8889999999999985,1999-06-01,Green Left Ecological Initiative - Green Alternative
2002-01-01,10,Luxembourg,11.459,2.521,7.6389999999999985,9.6,-4.8889999999999985,1999-06-01,Green Left Ecological Initiative - Green Alternative
2003-01-01,10,Luxembourg,11.459,2.521,7.6389999999999985,9.6,-4.8889999999999985,1999-06-01,Green Left Ecological Initiative - Green Alternative
2004-01-01,10,Luxembourg,6.215,3.814,5.791,11.58,-29.52,2004-06-01,The Greens
2005-01-01,10,Luxembourg,6.215,3.814,5.791,11.58,-29.52,2004-06-01,The Greens
2006-01-01,10,Luxembourg,6.215,3.814,5.791,11.58,-29.52,2004-06-01,The Greens
2007-01-01,10,Luxembourg,6.215,3.814,5.791,11.58,-29.52,2004-06-01,The Greens
2008-01-01,10,Luxembourg,6.215,3.814,5.791,11.58,-29.52,2004-06-01,The Greens
2009-01-01,10,Luxembourg,11.843,4.634,3.811,11.704,-23.996,2009-06-01,The Greens
2010-01-01,10,Luxembourg,11.843,4.634,3.811,11.704,-23.996,2009-06-01,The Greens
2011-01-01,10,Luxembourg,11.843,4.634,3.811,11.704,-23.996,2009-06-01,The Greens
2012-01-01,10,Luxembourg,11.843,4.634,3.811,11.704,-23.996,2009-06-01,The Greens
2013-01-01,10,Luxembourg,8.139,3.722,5.174,10.13,-30.726,2013-10-01,The Greens
2014-01-01,10,Luxembourg,8.139,3.722,5.174,10.13,-30.726,2013-10-01,The Greens
2015-01-01,10,Luxembourg,8.139,3.722,5.174,10.13,-30.726,2013-10-01,The Greens
2016-01-01,10,Luxembourg,8.139,3.722,5.174,10.13,-30.726,2013-10-01,The Greens
2017-01-01,10,Luxembourg,8.139,3.722,5.174,10.13,-30.726,2013-10-01,The Greens
2018-01-01,10,Luxembourg,8.139,3.722,5.174,10.13,-30.726,2013-10-01,The Greens
2019-01-01,10,Luxembourg,8.139,3.722,5.174,10.13,-30.726,2013-10-01,The Greens
2020-01-01,10,Luxembourg,8.139,3.722,5.174,10.13,-30.726,2013-10-01,The Greens
1989-01-01,10,Luxembourg,23.1,4.5,8.0,3.7,-22.5,1989-06-01,Green Alternative
1945-01-01,20,Luxembourg,0.0,0.0,6.122000000000001,11.1,-42.857,1945-10-01,Communist Party of Luxembourg
1946-01-01,20,Luxembourg,0.0,0.0,6.122000000000001,11.1,-42.857,1945-10-01,Communist Party of Luxembourg
1947-01-01,20,Luxembourg,0.0,0.0,6.122000000000001,11.1,-42.857,1945-10-01,Communist Party of Luxembourg
1948-01-01,20,Luxembourg,0.0,0.0,6.122000000000001,14.3,-42.857,1948-06-01,Communist Party of Luxembourg
1949-01-01,20,Luxembourg,0.0,0.0,6.122000000000001,14.3,-42.857,1948-06-01,Communist Party of Luxembourg
1950-01-01,20,Luxembourg,0.0,0.0,6.122000000000001,14.3,-42.857,1948-06-01,Communist Party of Luxembourg
1951-01-01,20,Luxembourg,0.0,1.111,8.888999999999998,3.2,-37.778,1951-06-01,Communist Party of Luxembourg
1952-01-01,20,Luxembourg,0.0,1.111,8.888999999999998,3.2,-37.778,1951-06-01,Communist Party of Luxembourg
1953-01-01,20,Luxembourg,0.0,1.111,8.888999999999998,3.2,-37.778,1951-06-01,Communist Party of Luxembourg
1954-01-01,20,Luxembourg,0.0,0.0,8.696,7.3,-43.478,1954-05-01,Communist Party of Luxembourg
1955-01-01,20,Luxembourg,0.0,0.0,8.696,7.3,-43.478,1954-05-01,Communist Party of Luxembourg
1956-01-01,20,Luxembourg,0.0,0.0,8.696,7.3,-43.478,1954-05-01,Communist Party of Luxembourg
1957-01-01,20,Luxembourg,0.0,0.0,8.696,7.3,-43.478,1954-05-01,Communist Party of Luxembourg
1958-01-01,20,Luxembourg,0.0,0.0,8.696,7.3,-43.478,1954-05-01,Communist Party of Luxembourg
1959-01-01,20,Luxembourg,0.0,0.0,7.859,7.2,-34.959,1959-02-01,Communist Party of Luxembourg
1960-01-01,20,Luxembourg,0.0,0.0,7.859,7.2,-34.959,1959-02-01,Communist Party of Luxembourg
1961-01-01,20,Luxembourg,0.0,0.0,7.859,7.2,-34.959,1959-02-01,Communist Party of Luxembourg
1962-01-01,20,Luxembourg,0.0,0.0,7.859,7.2,-34.959,1959-02-01,Communist Party of Luxembourg
