index,parfam,countryname,environ,culture,equality,pervote,rile,electionDate,partyname
1996-01-01,30,Malta,5.421,3.178,6.916,50.73,-22.617,1996-10-01,Labour Party
1997-01-01,30,Malta,5.421,3.178,6.916,50.73,-22.617,1996-10-01,Labour Party
1998-01-01,30,Malta,4.145,2.91,4.409,46.966,-18.519,1998-09-01,Labour Party
1999-01-01,30,Malta,4.145,2.91,4.409,46.966,-18.519,1998-09-01,Labour Party
2000-01-01,30,Malta,4.145,2.91,4.409,46.966,-18.519,1998-09-01,Labour Party
2001-01-01,30,Malta,4.145,2.91,4.409,46.966,-18.519,1998-09-01,Labour Party
2002-01-01,30,Malta,4.145,2.91,4.409,46.966,-18.519,1998-09-01,Labour Party
2003-01-01,30,Malta,4.145,2.91,4.409,46.966,-18.519,1998-09-01,Labour Party
2004-01-01,30,Malta,4.145,2.91,4.409,46.966,-18.519,1998-09-01,Labour Party
2005-01-01,30,Malta,4.145,2.91,4.409,46.966,-18.519,1998-09-01,Labour Party
2006-01-01,30,Malta,4.145,2.91,4.409,46.966,-18.519,1998-09-01,Labour Party
2007-01-01,30,Malta,4.145,2.91,4.409,46.966,-18.519,1998-09-01,Labour Party
2008-01-01,30,Malta,4.145,2.91,4.409,46.966,-18.519,1998-09-01,Labour Party
2009-01-01,30,Malta,4.145,2.91,4.409,46.966,-18.519,1998-09-01,Labour Party
2010-01-01,30,Malta,4.145,2.91,4.409,46.966,-18.519,1998-09-01,Labour Party
2011-01-01,30,Malta,4.145,2.91,4.409,46.966,-18.519,1998-09-01,Labour Party
2012-01-01,30,Malta,4.145,2.91,4.409,46.966,-18.519,1998-09-01,Labour Party
2013-01-01,30,Malta,4.145,2.91,4.409,46.966,-18.519,1998-09-01,Labour Party
2014-01-01,30,Malta,4.145,2.91,4.409,46.966,-18.519,1998-09-01,Labour Party
2015-01-01,30,Malta,4.145,2.91,4.409,46.966,-18.519,1998-09-01,Labour Party
2016-01-01,30,Malta,4.145,2.91,4.409,46.966,-18.519,1998-09-01,Labour Party
2017-01-01,30,Malta,4.145,2.91,4.409,46.966,-18.519,1998-09-01,Labour Party
2018-01-01,30,Malta,4.145,2.91,4.409,46.966,-18.519,1998-09-01,Labour Party
2019-01-01,30,Malta,4.145,2.91,4.409,46.966,-18.519,1998-09-01,Labour Party
2020-01-01,30,Malta,4.145,2.91,4.409,46.966,-18.519,1998-09-01,Labour Party
1996-01-01,60,Malta,3.584,3.925,7.508999999999999,47.807,-9.499,1996-10-01,Nationalist Party
1997-01-01,60,Malta,3.584,3.925,7.508999999999999,47.807,-9.499,1996-10-01,Nationalist Party
1998-01-01,60,Malta,3.215,4.738,1.692,51.81100000000001,-18.105,1998-09-01,Nationalist Party
1999-01-01,60,Malta,3.215,4.738,1.692,51.81100000000001,-18.105,1998-09-01,Nationalist Party
2000-01-01,60,Malta,3.215,4.738,1.692,51.81100000000001,-18.105,1998-09-01,Nationalist Party
2001-01-01,60,Malta,3.215,4.738,1.692,51.81100000000001,-18.105,1998-09-01,Nationalist Party
2002-01-01,60,Malta,3.215,4.738,1.692,51.81100000000001,-18.105,1998-09-01,Nationalist Party
2003-01-01,60,Malta,3.215,4.738,1.692,51.81100000000001,-18.105,1998-09-01,Nationalist Party
2004-01-01,60,Malta,3.215,4.738,1.692,51.81100000000001,-18.105,1998-09-01,Nationalist Party
2005-01-01,60,Malta,3.215,4.738,1.692,51.81100000000001,-18.105,1998-09-01,Nationalist Party
2006-01-01,60,Malta,3.215,4.738,1.692,51.81100000000001,-18.105,1998-09-01,Nationalist Party
2007-01-01,60,Malta,3.215,4.738,1.692,51.81100000000001,-18.105,1998-09-01,Nationalist Party
2008-01-01,60,Malta,3.215,4.738,1.692,51.81100000000001,-18.105,1998-09-01,Nationalist Party
2009-01-01,60,Malta,3.215,4.738,1.692,51.81100000000001,-18.105,1998-09-01,Nationalist Party
2010-01-01,60,Malta,3.215,4.738,1.692,51.81100000000001,-18.105,1998-09-01,Nationalist Party
2011-01-01,60,Malta,3.215,4.738,1.692,51.81100000000001,-18.105,1998-09-01,Nationalist Party
2012-01-01,60,Malta,3.215,4.738,1.692,51.81100000000001,-18.105,1998-09-01,Nationalist Party
2013-01-01,60,Malta,3.215,4.738,1.692,51.81100000000001,-18.105,1998-09-01,Nationalist Party
2014-01-01,60,Malta,3.215,4.738,1.692,51.81100000000001,-18.105,1998-09-01,Nationalist Party
2015-01-01,60,Malta,3.215,4.738,1.692,51.81100000000001,-18.105,1998-09-01,Nationalist Party
2016-01-01,60,Malta,3.215,4.738,1.692,51.81100000000001,-18.105,1998-09-01,Nationalist Party
2017-01-01,60,Malta,3.215,4.738,1.692,51.81100000000001,-18.105,1998-09-01,Nationalist Party
2018-01-01,60,Malta,3.215,4.738,1.692,51.81100000000001,-18.105,1998-09-01,Nationalist Party
2019-01-01,60,Malta,3.215,4.738,1.692,51.81100000000001,-18.105,1998-09-01,Nationalist Party
2020-01-01,60,Malta,3.215,4.738,1.692,51.81100000000001,-18.105,1998-09-01,Nationalist Party
