index,parfam,countryname,environ,culture,equality,pervote,rile,electionDate,partyname
1989-01-01,10,Netherlands,8.700000000000001,3.4,6.100000000000001,4.074,-15.0,1989-09-01,Green Left
1990-01-01,10,Netherlands,8.700000000000001,3.4,6.100000000000001,4.074,-15.0,1989-09-01,Green Left
1991-01-01,10,Netherlands,8.700000000000001,3.4,6.100000000000001,4.074,-15.0,1989-09-01,Green Left
1992-01-01,10,Netherlands,8.700000000000001,3.4,6.100000000000001,4.074,-15.0,1989-09-01,Green Left
1993-01-01,10,Netherlands,8.700000000000001,3.4,6.100000000000001,4.074,-15.0,1989-09-01,Green Left
1994-01-01,10,Netherlands,7.797999999999999,1.5119999999999998,2.883,3.467,-15.69,1994-05-01,Green Left
1995-01-01,10,Netherlands,7.797999999999999,1.5119999999999998,2.883,3.467,-15.69,1994-05-01,Green Left
1996-01-01,10,Netherlands,7.797999999999999,1.5119999999999998,2.883,3.467,-15.69,1994-05-01,Green Left
1997-01-01,10,Netherlands,7.797999999999999,1.5119999999999998,2.883,3.467,-15.69,1994-05-01,Green Left
1998-01-01,10,Netherlands,10.31,1.875,13.265999999999998,7.27,-22.783,1998-05-01,Green Left
1999-01-01,10,Netherlands,10.31,1.875,13.265999999999998,7.27,-22.783,1998-05-01,Green Left
2000-01-01,10,Netherlands,10.31,1.875,13.265999999999998,7.27,-22.783,1998-05-01,Green Left
2001-01-01,10,Netherlands,10.31,1.875,13.265999999999998,7.27,-22.783,1998-05-01,Green Left
2002-01-01,10,Netherlands,10.455,2.573,2.012,6.95,-9.136000000000001,2002-05-01,Green Left
2003-01-01,10,Netherlands,6.537000000000001,0.177,6.184,5.13,19.965,2003-01-01,Green Left
2004-01-01,10,Netherlands,6.537000000000001,0.177,6.184,5.13,19.965,2003-01-01,Green Left
2005-01-01,10,Netherlands,6.537000000000001,0.177,6.184,5.13,19.965,2003-01-01,Green Left
2006-01-01,10,Netherlands,9.274,2.537,6.649,4.605,-12.423,2006-11-01,Green Left
2007-01-01,10,Netherlands,9.274,2.537,6.649,4.605,-12.423,2006-11-01,Green Left
2008-01-01,10,Netherlands,9.274,2.537,6.649,4.605,-12.423,2006-11-01,Green Left
2009-01-01,10,Netherlands,9.274,2.537,6.649,4.605,-12.423,2006-11-01,Green Left
2010-01-01,10,Netherlands,7.322,0.642,14.836,6.67,1.606,2010-06-01,Green Left
2011-01-01,10,Netherlands,7.322,0.642,14.836,6.67,1.606,2010-06-01,Green Left
2012-01-01,10,Netherlands,10.311,1.785,7.204,2.333,-9.584,2012-09-01,Green Left
2013-01-01,10,Netherlands,10.311,1.785,7.204,2.333,-9.584,2012-09-01,Green Left
2014-01-01,10,Netherlands,10.311,1.785,7.204,2.333,-9.584,2012-09-01,Green Left
2015-01-01,10,Netherlands,10.311,1.785,7.204,2.333,-9.584,2012-09-01,Green Left
2016-01-01,10,Netherlands,10.311,1.785,7.204,2.333,-9.584,2012-09-01,Green Left
2017-01-01,10,Netherlands,7.584000000000001,2.822,9.877,9.125,-9.347,2017-03-01,Green Left
2018-01-01,10,Netherlands,7.584000000000001,2.822,9.877,9.125,-9.347,2017-03-01,Green Left
2019-01-01,10,Netherlands,7.584000000000001,2.822,9.877,9.125,-9.347,2017-03-01,Green Left
2020-01-01,10,Netherlands,7.584000000000001,2.822,9.877,9.125,-9.347,2017-03-01,Green Left
1946-01-01,20,Netherlands,0.8,4.0,4.0,10.6,-34.4,1946-05-01,Communist Party of the Netherlands
1947-01-01,20,Netherlands,0.8,4.0,4.0,10.6,-34.4,1946-05-01,Communist Party of the Netherlands
1948-01-01,20,Netherlands,0.0,3.947,13.158,7.744,-31.579,1948-07-01,Communist Party of the Netherlands
1949-01-01,20,Netherlands,0.0,3.947,13.158,7.744,-31.579,1948-07-01,Communist Party of the Netherlands
1950-01-01,20,Netherlands,0.0,3.947,13.158,7.744,-31.579,1948-07-01,Communist Party of the Netherlands
1951-01-01,20,Netherlands,0.0,3.947,13.158,7.744,-31.579,1948-07-01,Communist Party of the Netherlands
1952-01-01,20,Netherlands,0.0,3.947,13.158,7.744,-31.579,1948-07-01,Communist Party of the Netherlands
1953-01-01,20,Netherlands,0.0,3.947,13.158,7.744,-31.579,1948-07-01,Communist Party of the Netherlands
1954-01-01,20,Netherlands,0.0,3.947,13.158,7.744,-31.579,1948-07-01,Communist Party of the Netherlands
1955-01-01,20,Netherlands,0.0,3.947,13.158,7.744,-31.579,1948-07-01,Communist Party of the Netherlands
1956-01-01,20,Netherlands,0.0,3.947,13.158,7.744,-31.579,1948-07-01,Communist Party of the Netherlands
1957-01-01,20,Netherlands,0.0,3.947,13.158,7.744,-31.579,1948-07-01,Communist Party of the Netherlands
1958-01-01,20,Netherlands,0.0,3.947,13.158,7.744,-31.579,1948-07-01,Communist Party of the Netherlands
1959-01-01,20,Netherlands,0.0,3.947,13.158,7.744,-31.579,1948-07-01,Communist Party of the Netherlands
1960-01-01,20,Netherlands,0.0,3.947,13.158,7.744,-31.579,1948-07-01,Communist Party of the Netherlands
1961-01-01,20,Netherlands,0.0,3.947,13.158,7.744,-31.579,1948-07-01,Communist Party of the Netherlands
1962-01-01,20,Netherlands,0.0,3.947,13.158,7.744,-31.579,1948-07-01,Communist Party of the Netherlands
