index,parfam,countryname,environ,culture,equality,pervote,rile,electionDate,partyname
1991-01-01,30,Poland,0.8440000000000001,0.8440000000000001,4.641,11.312,-3.3760000000000003,1991-10-01,Democratic Left Alliance
1992-01-01,30,Poland,0.8440000000000001,0.8440000000000001,4.641,11.312,-3.3760000000000003,1991-10-01,Democratic Left Alliance
1993-01-01,30,Poland,0.0,1.053,5.263,20.405,-10.526,1993-09-01,Democratic Left Alliance
1994-01-01,30,Poland,0.0,1.053,5.263,20.405,-10.526,1993-09-01,Democratic Left Alliance
1995-01-01,30,Poland,0.0,1.053,5.263,20.405,-10.526,1993-09-01,Democratic Left Alliance
1996-01-01,30,Poland,0.0,1.053,5.263,20.405,-10.526,1993-09-01,Democratic Left Alliance
1997-01-01,30,Poland,0.735,0.735,0.735,27.133000000000006,9.191,1997-09-01,Democratic Left Alliance
1998-01-01,30,Poland,0.735,0.735,0.735,27.133000000000006,9.191,1997-09-01,Democratic Left Alliance
1999-01-01,30,Poland,0.735,0.735,0.735,27.133000000000006,9.191,1997-09-01,Democratic Left Alliance
2000-01-01,30,Poland,0.735,0.735,0.735,27.133000000000006,9.191,1997-09-01,Democratic Left Alliance
2001-01-01,30,Poland,1.509,5.819,5.388,41.04,-4.31,2001-09-01,Coalion of the Democratic Left Alliance and the Union of Labour
2002-01-01,30,Poland,1.509,5.819,5.388,41.04,-4.31,2001-09-01,Coalion of the Democratic Left Alliance and the Union of Labour
2003-01-01,30,Poland,1.509,5.819,5.388,41.04,-4.31,2001-09-01,Coalion of the Democratic Left Alliance and the Union of Labour
2004-01-01,30,Poland,1.509,5.819,5.388,41.04,-4.31,2001-09-01,Coalion of the Democratic Left Alliance and the Union of Labour
2005-01-01,30,Poland,1.176,0.0,10.0,11.311,-0.588,2005-09-01,Democratic Left Alliance
2006-01-01,30,Poland,1.176,0.0,10.0,11.311,-0.588,2005-09-01,Democratic Left Alliance
2007-01-01,30,Poland,8.452,11.855,0.988,13.152,-0.329,2007-10-01,Left and Democrats
2008-01-01,30,Poland,8.452,11.855,0.988,13.152,-0.329,2007-10-01,Left and Democrats
2009-01-01,30,Poland,8.452,11.855,0.988,13.152,-0.329,2007-10-01,Left and Democrats
2010-01-01,30,Poland,8.452,11.855,0.988,13.152,-0.329,2007-10-01,Left and Democrats
2011-01-01,30,Poland,3.936,7.171,5.339,8.242,-0.8959999999999999,2011-10-01,Democratic Left Alliance
2012-01-01,30,Poland,3.936,7.171,5.339,8.242,-0.8959999999999999,2011-10-01,Democratic Left Alliance
2013-01-01,30,Poland,3.936,7.171,5.339,8.242,-0.8959999999999999,2011-10-01,Democratic Left Alliance
2014-01-01,30,Poland,3.936,7.171,5.339,8.242,-0.8959999999999999,2011-10-01,Democratic Left Alliance
2015-01-01,30,Poland,3.936,7.171,5.339,8.242,-0.8959999999999999,2011-10-01,Democratic Left Alliance
2016-01-01,30,Poland,3.936,7.171,5.339,8.242,-0.8959999999999999,2011-10-01,Democratic Left Alliance
2017-01-01,30,Poland,3.936,7.171,5.339,8.242,-0.8959999999999999,2011-10-01,Democratic Left Alliance
2018-01-01,30,Poland,3.936,7.171,5.339,8.242,-0.8959999999999999,2011-10-01,Democratic Left Alliance
2019-01-01,30,Poland,3.936,7.171,5.339,8.242,-0.8959999999999999,2011-10-01,Democratic Left Alliance
2020-01-01,30,Poland,3.936,7.171,5.339,8.242,-0.8959999999999999,2011-10-01,Democratic Left Alliance
1991-01-01,30,Poland,0.645,5.806,0.645,,-14.194,1991-10-01,Democratic Party
1991-01-01,30,Poland,0.8130000000000001,0.8130000000000001,4.878,4.766,-26.016,1991-10-01,Independent Self-governing Trade Union ‘Solidarity’
1991-01-01,30,Poland,1.646,1.097,2.195,1.943,3.292,1991-10-01,Labour Solidarity
1991-01-01,30,Poland,3.0380000000000003,1.519,1.013,11.626,20.506,1991-10-01,Democratic Union
1993-01-01,30,Poland,0.935,0.935,3.738,7.285,-14.953,1993-09-01,Union of Labour
1993-01-01,30,Poland,7.407,1.852,0.0,10.59,9.259,1993-09-01,Democratic Union
1997-01-01,30,Poland,0.0,4.737,1.579,4.742,-13.158,1997-09-01,Union of Labour
1991-01-01,40,Poland,0.0,0.0,0.0,7.066,17.188,1991-10-01,Liberal-Democratic Congress
1992-01-01,40,Poland,0.0,0.0,0.0,7.066,17.188,1991-10-01,Liberal-Democratic Congress
1993-01-01,40,Poland,0.0,0.0,0.0,7.066,17.188,1991-10-01,Liberal-Democratic Congress
1994-01-01,40,Poland,0.0,0.0,0.0,7.066,17.188,1991-10-01,Liberal-Democratic Congress
1995-01-01,40,Poland,0.0,0.0,0.0,7.066,17.188,1991-10-01,Liberal-Democratic Congress
1996-01-01,40,Poland,0.0,0.0,0.0,7.066,17.188,1991-10-01,Liberal-Democratic Congress
1997-01-01,40,Poland,3.317,4.643,0.166,13.367,-1.99,1997-09-01,Freedom Union
1998-01-01,40,Poland,3.317,4.643,0.166,13.367,-1.99,1997-09-01,Freedom Union
1999-01-01,40,Poland,3.317,4.643,0.166,13.367,-1.99,1997-09-01,Freedom Union
2000-01-01,40,Poland,3.317,4.643,0.166,13.367,-1.99,1997-09-01,Freedom Union
2001-01-01,40,Poland,0.0,0.0,1.711,12.683,-10.575,2001-09-01,Civic Platform
2002-01-01,40,Poland,0.0,0.0,1.711,12.683,-10.575,2001-09-01,Civic Platform
2003-01-01,40,Poland,0.0,0.0,1.711,12.683,-10.575,2001-09-01,Civic Platform
2004-01-01,40,Poland,0.0,0.0,1.711,12.683,-10.575,2001-09-01,Civic Platform
2005-01-01,40,Poland,0.0,0.0,6.205,24.137,1.01,2005-09-01,Civic Platform
2006-01-01,40,Poland,0.0,0.0,6.205,24.137,1.01,2005-09-01,Civic Platform
2007-01-01,40,Poland,0.545,9.969,1.09,41.512,5.997000000000001,2007-10-01,Civic Platform
2008-01-01,40,Poland,0.545,9.969,1.09,41.512,5.997000000000001,2007-10-01,Civic Platform
2009-01-01,40,Poland,0.545,9.969,1.09,41.512,5.997000000000001,2007-10-01,Civic Platform
2010-01-01,40,Poland,0.545,9.969,1.09,41.512,5.997000000000001,2007-10-01,Civic Platform
2011-01-01,40,Poland,3.247,5.412000000000001,0.833,39.179,-4.413,2011-10-01,Civic Platform
2012-01-01,40,Poland,3.247,5.412000000000001,0.833,39.179,-4.413,2011-10-01,Civic Platform
2013-01-01,40,Poland,3.247,5.412000000000001,0.833,39.179,-4.413,2011-10-01,Civic Platform
2014-01-01,40,Poland,3.247,5.412000000000001,0.833,39.179,-4.413,2011-10-01,Civic Platform
2015-01-01,40,Poland,0.547,2.552,2.461,24.088,-13.309,2015-10-01,Civic Platform
2016-01-01,40,Poland,0.547,2.552,2.461,24.088,-13.309,2015-10-01,Civic Platform
2017-01-01,40,Poland,0.547,2.552,2.461,24.088,-13.309,2015-10-01,Civic Platform
2018-01-01,40,Poland,0.547,2.552,2.461,24.088,-13.309,2015-10-01,Civic Platform
2019-01-01,40,Poland,0.547,2.552,2.461,24.088,-13.309,2015-10-01,Civic Platform
2020-01-01,40,Poland,0.547,2.552,2.461,24.088,-13.309,2015-10-01,Civic Platform
1991-01-01,40,Poland,13.3,0.0,0.0,3.088,18.227,1991-10-01,Polish Beer-Lovers' Party
1991-01-01,40,Poland,1.307,0.0,0.0,2.128,51.96100000000001,1991-10-01,Union of Real Politics
1991-01-01,40,Poland,0.0,0.0,0.0,,24.242,1991-10-01,Polish Economic Program (Large Beer)
1997-01-01,40,Poland,0.974,1.2990000000000002,0.325,5.555,8.117,1997-09-01,Movement for the Reconstruction of Poland
2011-01-01,40,Poland,0.0,2.041,1.224,10.018,6.122000000000001,2011-10-01,Palikot's Movement
2015-01-01,40,Poland,2.698,3.916,1.48,7.601,4.352,2015-10-01,Modern
