index,parfam,countryname,environ,culture,equality,pervote,rile,electionDate,partyname
1983-01-01,10,Portugal,46.875,6.25,6.25,0.42,15.625,1983-04-01,Ecologist Party ‘The Greens'
1984-01-01,10,Portugal,46.875,6.25,6.25,0.42,15.625,1983-04-01,Ecologist Party ‘The Greens'
1985-01-01,10,Portugal,34.549,3.125,3.125,0.42,30.961,1985-10-01,Ecologist Party ‘The Greens'
1986-01-01,10,Portugal,34.549,3.125,3.125,0.42,30.961,1985-10-01,Ecologist Party ‘The Greens'
1987-01-01,10,Portugal,22.222,0.0,0.0,0.402,46.29600000000001,1987-07-01,Ecologist Party ‘The Greens'
1988-01-01,10,Portugal,22.222,0.0,0.0,0.402,46.29600000000001,1987-07-01,Ecologist Party ‘The Greens'
1989-01-01,10,Portugal,22.222,0.0,0.0,0.402,46.29600000000001,1987-07-01,Ecologist Party ‘The Greens'
1990-01-01,10,Portugal,22.222,0.0,0.0,0.402,46.29600000000001,1987-07-01,Ecologist Party ‘The Greens'
1991-01-01,10,Portugal,22.222,0.0,0.0,0.402,46.29600000000001,1987-07-01,Ecologist Party ‘The Greens'
1992-01-01,10,Portugal,22.222,0.0,0.0,0.402,46.29600000000001,1987-07-01,Ecologist Party ‘The Greens'
1993-01-01,10,Portugal,22.222,0.0,0.0,0.402,46.29600000000001,1987-07-01,Ecologist Party ‘The Greens'
1994-01-01,10,Portugal,22.222,0.0,0.0,0.402,46.29600000000001,1987-07-01,Ecologist Party ‘The Greens'
1995-01-01,10,Portugal,22.222,0.0,0.0,0.402,46.29600000000001,1987-07-01,Ecologist Party ‘The Greens'
1996-01-01,10,Portugal,22.222,0.0,0.0,0.402,46.29600000000001,1987-07-01,Ecologist Party ‘The Greens'
1997-01-01,10,Portugal,22.222,0.0,0.0,0.402,46.29600000000001,1987-07-01,Ecologist Party ‘The Greens'
1998-01-01,10,Portugal,22.222,0.0,0.0,0.402,46.29600000000001,1987-07-01,Ecologist Party ‘The Greens'
1999-01-01,10,Portugal,22.222,0.0,0.0,0.402,46.29600000000001,1987-07-01,Ecologist Party ‘The Greens'
2000-01-01,10,Portugal,22.222,0.0,0.0,0.402,46.29600000000001,1987-07-01,Ecologist Party ‘The Greens'
2001-01-01,10,Portugal,22.222,0.0,0.0,0.402,46.29600000000001,1987-07-01,Ecologist Party ‘The Greens'
2002-01-01,10,Portugal,53.488,0.0,10.078,1.167,9.302,2002-03-01,Ecologist Party ‘The Greens'
2003-01-01,10,Portugal,53.488,0.0,10.078,1.167,9.302,2002-03-01,Ecologist Party ‘The Greens'
2004-01-01,10,Portugal,53.488,0.0,10.078,1.167,9.302,2002-03-01,Ecologist Party ‘The Greens'
2005-01-01,10,Portugal,43.04600000000001,0.0,5.96,1.086,-27.815,2005-02-01,Ecologist Party ‘The Greens'
2006-01-01,10,Portugal,43.04600000000001,0.0,5.96,1.086,-27.815,2005-02-01,Ecologist Party ‘The Greens'
2007-01-01,10,Portugal,43.04600000000001,0.0,5.96,1.086,-27.815,2005-02-01,Ecologist Party ‘The Greens'
2008-01-01,10,Portugal,43.04600000000001,0.0,5.96,1.086,-27.815,2005-02-01,Ecologist Party ‘The Greens'
2009-01-01,10,Portugal,33.33,0.0,8.33,1.089,-25.0,2009-09-01,Ecologist Party ‘The Greens'
2010-01-01,10,Portugal,33.33,0.0,8.33,1.089,-25.0,2009-09-01,Ecologist Party ‘The Greens'
2011-01-01,10,Portugal,11.811,0.0,9.449,1.029,-14.173,2011-06-01,Ecologist Party ‘The Greens'
2012-01-01,10,Portugal,11.811,0.0,9.449,1.029,-14.173,2011-06-01,Ecologist Party ‘The Greens'
2013-01-01,10,Portugal,11.811,0.0,9.449,1.029,-14.173,2011-06-01,Ecologist Party ‘The Greens'
2014-01-01,10,Portugal,11.811,0.0,9.449,1.029,-14.173,2011-06-01,Ecologist Party ‘The Greens'
2015-01-01,10,Portugal,16.968,3.971,7.22,1.008,-14.079,2015-10-01,Ecologist Party ‘The Greens'
2016-01-01,10,Portugal,16.968,3.971,7.22,1.008,-14.079,2015-10-01,Ecologist Party ‘The Greens'
2017-01-01,10,Portugal,16.968,3.971,7.22,1.008,-14.079,2015-10-01,Ecologist Party ‘The Greens'
2018-01-01,10,Portugal,16.968,3.971,7.22,1.008,-14.079,2015-10-01,Ecologist Party ‘The Greens'
2019-01-01,10,Portugal,23.697,0.474,7.109,1.057,-31.28,2019-10-01,Ecologist Party ‘The Greens'
2020-01-01,10,Portugal,23.697,0.474,7.109,1.057,-31.28,2019-10-01,Ecologist Party ‘The Greens'
2015-01-01,10,Portugal,33.791,1.58,4.121,1.443,-19.368,2015-10-01,People-Animals-Nature
2019-01-01,10,Portugal,21.586,3.204,8.981,3.4930000000000003,-25.473000000000006,2019-10-01,People-Animals-Nature
2019-01-01,10,Portugal,16.095,2.571,9.524,1.144,-24.095,2019-10-01,Free
1975-01-01,20,Portugal,0.0,0.0,4.959000000000001,0.84,-55.372,1975-04-01,Popular Democratic Union
1976-01-01,20,Portugal,0.0,0.0,1.176,1.779,-34.118,1976-04-01,Popular Democratic Union
1977-01-01,20,Portugal,0.0,0.0,1.176,1.779,-34.118,1976-04-01,Popular Democratic Union
1978-01-01,20,Portugal,0.0,0.0,1.176,1.779,-34.118,1976-04-01,Popular Democratic Union
1979-01-01,20,Portugal,1.379,0.0,2.759,2.225,-15.172,1979-12-01,Popular Democratic Union
1980-01-01,20,Portugal,0.0,0.722,6.859,1.418,-2.166,1980-10-01,Popular Democratic Union
1981-01-01,20,Portugal,0.0,0.722,6.859,1.418,-2.166,1980-10-01,Popular Democratic Union
1982-01-01,20,Portugal,0.0,0.722,6.859,1.418,-2.166,1980-10-01,Popular Democratic Union
1983-01-01,20,Portugal,0.0,0.0,0.0,0.4970000000000001,28.571,1983-04-01,Popular Democratic Union
1984-01-01,20,Portugal,0.0,0.0,0.0,0.4970000000000001,28.571,1983-04-01,Popular Democratic Union
1985-01-01,20,Portugal,1.183,0.5920000000000001,2.959,1.304,-7.692,1985-10-01,Popular Democratic Union
1986-01-01,20,Portugal,1.183,0.5920000000000001,2.959,1.304,-7.692,1985-10-01,Popular Democratic Union
1987-01-01,20,Portugal,1.887,1.887,7.5470000000000015,0.924,12.264,1987-07-01,Popular Democratic Union
1988-01-01,20,Portugal,1.887,1.887,7.5470000000000015,0.924,12.264,1987-07-01,Popular Democratic Union
1989-01-01,20,Portugal,1.887,1.887,7.5470000000000015,0.924,12.264,1987-07-01,Popular Democratic Union
1990-01-01,20,Portugal,1.887,1.887,7.5470000000000015,0.924,12.264,1987-07-01,Popular Democratic Union
1991-01-01,20,Portugal,3.899,7.903,8.957000000000003,,-15.121,1991-10-01,Portuguese Communist Party
1992-01-01,20,Portugal,3.899,7.903,8.957000000000003,,-15.121,1991-10-01,Portuguese Communist Party
1993-01-01,20,Portugal,3.899,7.903,8.957000000000003,,-15.121,1991-10-01,Portuguese Communist Party
1994-01-01,20,Portugal,3.899,7.903,8.957000000000003,,-15.121,1991-10-01,Portuguese Communist Party
1995-01-01,20,Portugal,3.315,7.267,7.904,,-24.18,1995-10-01,Portuguese Communist Party
1996-01-01,20,Portugal,3.315,7.267,7.904,,-24.18,1995-10-01,Portuguese Communist Party
1997-01-01,20,Portugal,3.315,7.267,7.904,,-24.18,1995-10-01,Portuguese Communist Party
1998-01-01,20,Portugal,3.315,7.267,7.904,,-24.18,1995-10-01,Portuguese Communist Party
1999-01-01,20,Portugal,5.4689999999999985,3.646,15.365,2.481,-27.604,1999-10-01,Left Bloc
2000-01-01,20,Portugal,5.4689999999999985,3.646,15.365,2.481,-27.604,1999-10-01,Left Bloc
2001-01-01,20,Portugal,5.4689999999999985,3.646,15.365,2.481,-27.604,1999-10-01,Left Bloc
2002-01-01,20,Portugal,0.621,0.0,8.82,2.795,-20.248,2002-03-01,Left Bloc
2003-01-01,20,Portugal,0.621,0.0,8.82,2.795,-20.248,2002-03-01,Left Bloc
2004-01-01,20,Portugal,0.621,0.0,8.82,2.795,-20.248,2002-03-01,Left Bloc
2005-01-01,20,Portugal,6.967000000000001,3.689,12.602,6.542000000000002,-28.637,2005-02-01,Left Bloc
2006-01-01,20,Portugal,6.967000000000001,3.689,12.602,6.542000000000002,-28.637,2005-02-01,Left Bloc
2007-01-01,20,Portugal,6.967000000000001,3.689,12.602,6.542000000000002,-28.637,2005-02-01,Left Bloc
2008-01-01,20,Portugal,6.967000000000001,3.689,12.602,6.542000000000002,-28.637,2005-02-01,Left Bloc
2009-01-01,20,Portugal,9.84,2.96,6.44,10.134,-28.66,2009-09-01,Left Bloc
2010-01-01,20,Portugal,9.84,2.96,6.44,10.134,-28.66,2009-09-01,Left Bloc
2011-01-01,20,Portugal,4.25,2.602,5.551,5.393,-35.82,2011-06-01,Left Bloc
2012-01-01,20,Portugal,4.25,2.602,5.551,5.393,-35.82,2011-06-01,Left Bloc
2013-01-01,20,Portugal,4.25,2.602,5.551,5.393,-35.82,2011-06-01,Left Bloc
2014-01-01,20,Portugal,4.25,2.602,5.551,5.393,-35.82,2011-06-01,Left Bloc
2015-01-01,20,Portugal,8.439,4.809,6.987,10.581,-26.679,2015-10-01,Left Bloc
2016-01-01,20,Portugal,8.439,4.809,6.987,10.581,-26.679,2015-10-01,Left Bloc
2017-01-01,20,Portugal,8.439,4.809,6.987,10.581,-26.679,2015-10-01,Left Bloc
2018-01-01,20,Portugal,8.439,4.809,6.987,10.581,-26.679,2015-10-01,Left Bloc
2019-01-01,20,Portugal,3.904,2.967,14.055,10.009,-34.513000000000005,2019-10-01,Left Bloc
2020-01-01,20,Portugal,3.904,2.967,14.055,10.009,-34.513000000000005,2019-10-01,Left Bloc
1975-01-01,20,Portugal,0.0,0.0,0.0,13.46,-44.58600000000001,1975-04-01,Portuguese Communist Party
1976-01-01,20,Portugal,0.0,3.279,1.639,15.297,-16.393,1976-04-01,Portuguese Communist Party
1979-01-01,20,Portugal,0.0,4.098,3.279,18.27,6.557,1979-12-01,Portuguese Communist Party
1980-01-01,20,Portugal,0.361,1.083,0.0,16.48,38.267,1980-10-01,Portuguese Communist Party
1983-01-01,20,Portugal,0.469,0.9390000000000001,0.469,16.99,20.657,1983-04-01,Portuguese Communist Party
1985-01-01,20,Portugal,0.0,0.0,1.626,14.29,22.764,1985-10-01,Portuguese Communist Party
1987-01-01,20,Portugal,1.923,0.6409999999999999,3.205,11.254,30.128,1987-07-01,Portuguese Communist Party
1991-01-01,20,Portugal,3.899,7.903,8.957000000000003,8.961,-15.121,1991-10-01,Unified Democratic Coalition
1995-01-01,20,Portugal,3.315,7.267,7.904,8.738999999999999,-24.18,1995-10-01,Unified Democratic Coalition
1999-01-01,20,Portugal,3.439,7.121,7.395,,-29.063,1999-10-01,Portuguese Communist Party
1999-01-01,20,Portugal,3.505,7.223,7.4060000000000015,9.103,-28.924,1999-10-01,Unified Democratic Coalition
2002-01-01,20,Portugal,5.2029999999999985,3.991,7.021,5.832999999999998,-21.276,2002-03-01,Portuguese Communist Party
2002-01-01,20,Portugal,5.229,5.034,6.496,,-19.617,2002-03-01,Unified Democratic Coalition
2005-01-01,20,Portugal,4.9110000000000005,3.699,5.899,6.5139999999999985,-23.884,2005-02-01,Portuguese Communist Party
2005-01-01,20,Portugal,4.9110000000000005,3.699,5.899,,-23.884,2005-02-01,Unified Democratic Coalition
2009-01-01,20,Portugal,1.56,1.99,7.19,7.081,-21.82,2009-09-01,Portuguese Communist Party
2011-01-01,20,Portugal,0.0,0.0,9.0,7.201000000000001,-15.0,2011-06-01,Portuguese Communist Party
2015-01-01,20,Portugal,2.132,3.554,5.188,7.558,-20.682,2015-10-01,Portuguese Communist Party
2019-01-01,20,Portugal,1.722,2.8710000000000004,7.1770000000000005,5.283,-31.77,2019-10-01,Portuguese Communist Party
1975-01-01,30,Portugal,0.0,3.03,1.515,4.43,-37.879,1975-04-01,Popular Democratic Movement
1976-01-01,30,Portugal,0.0,0.474,1.896,36.741,31.28,1976-04-01,Socialist Party
1977-01-01,30,Portugal,0.0,0.474,1.896,36.741,31.28,1976-04-01,Socialist Party
1978-01-01,30,Portugal,0.0,0.474,1.896,36.741,31.28,1976-04-01,Socialist Party
1979-01-01,30,Portugal,0.0,4.098,3.279,1.25,6.557,1979-12-01,Popular Democratic Movement
1980-01-01,30,Portugal,0.361,1.083,0.0,0.85,38.267,1980-10-01,Popular Democratic Movement
1981-01-01,30,Portugal,0.361,1.083,0.0,0.85,38.267,1980-10-01,Popular Democratic Movement
1982-01-01,30,Portugal,0.361,1.083,0.0,0.85,38.267,1980-10-01,Popular Democratic Movement
1983-01-01,30,Portugal,0.61,0.61,1.22,1.27,15.854,1983-04-01,Popular Democratic Movement
1984-01-01,30,Portugal,0.61,0.61,1.22,1.27,15.854,1983-04-01,Popular Democratic Movement
1985-01-01,30,Portugal,1.961,0.0,2.9410000000000003,1.26,-30.392,1985-10-01,Popular Democratic Movement
1986-01-01,30,Portugal,1.961,0.0,2.9410000000000003,1.26,-30.392,1985-10-01,Popular Democratic Movement
1987-01-01,30,Portugal,0.0,0.0,6.061,22.81,-30.303,1987-07-01,Socialist Party
1988-01-01,30,Portugal,0.0,0.0,6.061,22.81,-30.303,1987-07-01,Socialist Party
1989-01-01,30,Portugal,0.0,0.0,6.061,22.81,-30.303,1987-07-01,Socialist Party
1990-01-01,30,Portugal,0.0,0.0,6.061,22.81,-30.303,1987-07-01,Socialist Party
1991-01-01,30,Portugal,5.6770000000000005,5.122000000000001,6.754,29.58,-11.778,1991-10-01,Socialist Party
1992-01-01,30,Portugal,5.6770000000000005,5.122000000000001,6.754,29.58,-11.778,1991-10-01,Socialist Party
1993-01-01,30,Portugal,5.6770000000000005,5.122000000000001,6.754,29.58,-11.778,1991-10-01,Socialist Party
1994-01-01,30,Portugal,5.6770000000000005,5.122000000000001,6.754,29.58,-11.778,1991-10-01,Socialist Party
1995-01-01,30,Portugal,4.627,3.731,5.148,44.611,-16.694000000000006,1995-10-01,Socialist Party
1996-01-01,30,Portugal,4.627,3.731,5.148,44.611,-16.694000000000006,1995-10-01,Socialist Party
1997-01-01,30,Portugal,4.627,3.731,5.148,44.611,-16.694000000000006,1995-10-01,Socialist Party
1998-01-01,30,Portugal,4.627,3.731,5.148,44.611,-16.694000000000006,1995-10-01,Socialist Party
1999-01-01,30,Portugal,1.464,6.848,5.34,44.41,-17.7,1999-10-01,Socialist Party
2000-01-01,30,Portugal,1.464,6.848,5.34,44.41,-17.7,1999-10-01,Socialist Party
2001-01-01,30,Portugal,1.464,6.848,5.34,44.41,-17.7,1999-10-01,Socialist Party
2002-01-01,30,Portugal,4.686,5.978,5.167999999999998,38.551,-9.897,2002-03-01,Socialist Party
2003-01-01,30,Portugal,4.686,5.978,5.167999999999998,38.551,-9.897,2002-03-01,Socialist Party
2004-01-01,30,Portugal,4.686,5.978,5.167999999999998,38.551,-9.897,2002-03-01,Socialist Party
2005-01-01,30,Portugal,4.213,5.9529999999999985,5.545,46.396,-10.22,2005-02-01,Socialist Party
2006-01-01,30,Portugal,4.213,5.9529999999999985,5.545,46.396,-10.22,2005-02-01,Socialist Party
2007-01-01,30,Portugal,4.213,5.9529999999999985,5.545,46.396,-10.22,2005-02-01,Socialist Party
2008-01-01,30,Portugal,4.213,5.9529999999999985,5.545,46.396,-10.22,2005-02-01,Socialist Party
2009-01-01,30,Portugal,4.593,6.316,7.751,37.73,-4.498,2009-09-01,Socialist Party
2010-01-01,30,Portugal,4.593,6.316,7.751,37.73,-4.498,2009-09-01,Socialist Party
2011-01-01,30,Portugal,4.222,8.203,4.9460000000000015,29.239,0.241,2011-06-01,Socialist Party
2012-01-01,30,Portugal,4.222,8.203,4.9460000000000015,29.239,0.241,2011-06-01,Socialist Party
2013-01-01,30,Portugal,4.222,8.203,4.9460000000000015,29.239,0.241,2011-06-01,Socialist Party
2014-01-01,30,Portugal,4.222,8.203,4.9460000000000015,29.239,0.241,2011-06-01,Socialist Party
2015-01-01,30,Portugal,6.858000000000001,6.115,7.635,33.568000000000005,-4.525,2015-10-01,Socialist Party
2016-01-01,30,Portugal,6.858000000000001,6.115,7.635,33.568000000000005,-4.525,2015-10-01,Socialist Party
2017-01-01,30,Portugal,6.858000000000001,6.115,7.635,33.568000000000005,-4.525,2015-10-01,Socialist Party
2018-01-01,30,Portugal,6.858000000000001,6.115,7.635,33.568000000000005,-4.525,2015-10-01,Socialist Party
2019-01-01,30,Portugal,5.825,3.208,7.725000000000001,38.195,-12.621,2019-10-01,Socialist Party
2020-01-01,30,Portugal,5.825,3.208,7.725000000000001,38.195,-12.621,2019-10-01,Socialist Party
1975-01-01,30,Portugal,0.0,0.0,0.0,40.69,-58.108,1975-04-01,Socialist Party
1979-01-01,30,Portugal,0.3670000000000001,0.0,1.651,28.236,6.606,1979-12-01,Socialist Party
1980-01-01,30,Portugal,1.775,6.509,1.183,25.6,4.734,1980-10-01,Socialist Party
1980-01-01,30,Portugal,1.775,6.509,1.183,1.55,4.734,1980-10-01,Association of Independent Social Democrats
1980-01-01,30,Portugal,1.775,6.509,1.183,1.55,4.734,1980-10-01,Leftwing Union for the Socialist Democracy
1983-01-01,30,Portugal,0.8,0.0,0.8,37.338,-12.0,1983-04-01,Socialist Party
1985-01-01,30,Portugal,0.0,1.37,1.37,21.375,17.808,1985-10-01,Socialist Party
1985-01-01,30,Portugal,0.0,1.786,7.143,18.526,17.857,1985-10-01,Democratic Renewal Party
1987-01-01,30,Portugal,0.0,1.786,7.143,5.046,17.857,1987-07-01,Democratic Renewal Party
1987-01-01,30,Portugal,0.0,3.125,5.207999999999998,0.804,32.292,1987-07-01,Democratic Intervention
2019-01-01,40,Portugal,1.154,0.253,1.515,1.355,13.853,2019-10-01,Liberal Iniciative
2020-01-01,40,Portugal,1.154,0.253,1.515,1.355,13.853,2019-10-01,Liberal Iniciative
1975-01-01,50,Portugal,0.98,0.98,0.98,8.22,-3.922,1975-04-01,Social Democratic Center Party
1976-01-01,50,Portugal,0.521,0.0,0.521,16.69,-3.646,1976-04-01,Social Democratic Center Party
1977-01-01,50,Portugal,0.521,0.0,0.521,16.69,-3.646,1976-04-01,Social Democratic Center Party
1978-01-01,50,Portugal,0.521,0.0,0.521,16.69,-3.646,1976-04-01,Social Democratic Center Party
1979-01-01,50,Portugal,5.652,4.638,2.029,15.21,9.42,1979-12-01,Social Democratic Center Party
1980-01-01,50,Portugal,2.37,2.37,10.19,16.57,19.431,1980-10-01,Social Democratic Center Party
1981-01-01,50,Portugal,2.37,2.37,10.19,16.57,19.431,1980-10-01,Social Democratic Center Party
1982-01-01,50,Portugal,2.37,2.37,10.19,16.57,19.431,1980-10-01,Social Democratic Center Party
1983-01-01,50,Portugal,0.0,0.0,0.0,12.718,38.393,1983-04-01,Social Democratic Center Party
1984-01-01,50,Portugal,0.0,0.0,0.0,12.718,38.393,1983-04-01,Social Democratic Center Party
1985-01-01,50,Portugal,0.0,0.0,1.25,10.002,22.5,1985-10-01,Social Democratic Center Party
1986-01-01,50,Portugal,0.0,0.0,1.25,10.002,22.5,1985-10-01,Social Democratic Center Party
1987-01-01,50,Portugal,4.04,4.04,6.061,4.439,4.04,1987-07-01,Social Democratic Center Party
1988-01-01,50,Portugal,4.04,4.04,6.061,4.439,4.04,1987-07-01,Social Democratic Center Party
1989-01-01,50,Portugal,4.04,4.04,6.061,4.439,4.04,1987-07-01,Social Democratic Center Party
1990-01-01,50,Portugal,4.04,4.04,6.061,4.439,4.04,1987-07-01,Social Democratic Center Party
1991-01-01,50,Portugal,7.641,5.98,6.645,4.433,-10.630999999999998,1991-10-01,Social Democratic Center Party
1992-01-01,50,Portugal,7.641,5.98,6.645,4.433,-10.630999999999998,1991-10-01,Social Democratic Center Party
1993-01-01,50,Portugal,7.641,5.98,6.645,4.433,-10.630999999999998,1991-10-01,Social Democratic Center Party
1994-01-01,50,Portugal,7.641,5.98,6.645,4.433,-10.630999999999998,1991-10-01,Social Democratic Center Party
1995-01-01,50,Portugal,5.492000000000001,4.301,5.3370000000000015,9.228,-0.674,1995-10-01,Social Democratic Center-Popular Party
1996-01-01,50,Portugal,5.492000000000001,4.301,5.3370000000000015,9.228,-0.674,1995-10-01,Social Democratic Center-Popular Party
1997-01-01,50,Portugal,5.492000000000001,4.301,5.3370000000000015,9.228,-0.674,1995-10-01,Social Democratic Center-Popular Party
1998-01-01,50,Portugal,5.492000000000001,4.301,5.3370000000000015,9.228,-0.674,1995-10-01,Social Democratic Center-Popular Party
1999-01-01,50,Portugal,5.575,4.0939999999999985,6.359,8.455,-14.199000000000002,1999-10-01,Social Democratic Center-Popular Party
2000-01-01,50,Portugal,5.575,4.0939999999999985,6.359,8.455,-14.199000000000002,1999-10-01,Social Democratic Center-Popular Party
2001-01-01,50,Portugal,5.575,4.0939999999999985,6.359,8.455,-14.199000000000002,1999-10-01,Social Democratic Center-Popular Party
2002-01-01,50,Portugal,3.062,3.062,2.055,8.896000000000003,16.197,2002-03-01,Social Democratic Center-Popular Party
2003-01-01,50,Portugal,3.062,3.062,2.055,8.896000000000003,16.197,2002-03-01,Social Democratic Center-Popular Party
2004-01-01,50,Portugal,3.062,3.062,2.055,8.896000000000003,16.197,2002-03-01,Social Democratic Center-Popular Party
2005-01-01,50,Portugal,7.803,7.59,3.503,7.463999999999999,9.607000000000001,2005-02-01,Social Democratic Center-Popular Party
2006-01-01,50,Portugal,7.803,7.59,3.503,7.463999999999999,9.607000000000001,2005-02-01,Social Democratic Center-Popular Party
2007-01-01,50,Portugal,7.803,7.59,3.503,7.463999999999999,9.607000000000001,2005-02-01,Social Democratic Center-Popular Party
2008-01-01,50,Portugal,7.803,7.59,3.503,7.463999999999999,9.607000000000001,2005-02-01,Social Democratic Center-Popular Party
2009-01-01,50,Portugal,5.62,2.39,3.1,10.4,8.950000000000003,2009-09-01,Social Democratic Center-Popular Party
2010-01-01,50,Portugal,5.62,2.39,3.1,10.4,8.950000000000003,2009-09-01,Social Democratic Center-Popular Party
2011-01-01,50,Portugal,0.7509999999999999,1.033,5.257999999999999,12.21,22.817,2011-06-01,Social Democratic Center-Popular Party
2012-01-01,50,Portugal,0.7509999999999999,1.033,5.257999999999999,12.21,22.817,2011-06-01,Social Democratic Center-Popular Party
2013-01-01,50,Portugal,0.7509999999999999,1.033,5.257999999999999,12.21,22.817,2011-06-01,Social Democratic Center-Popular Party
2014-01-01,50,Portugal,0.7509999999999999,1.033,5.257999999999999,12.21,22.817,2011-06-01,Social Democratic Center-Popular Party
2015-01-01,50,Portugal,0.7509999999999999,1.033,5.257999999999999,12.21,22.817,2011-06-01,Social Democratic Center-Popular Party
2016-01-01,50,Portugal,0.7509999999999999,1.033,5.257999999999999,12.21,22.817,2011-06-01,Social Democratic Center-Popular Party
2017-01-01,50,Portugal,0.7509999999999999,1.033,5.257999999999999,12.21,22.817,2011-06-01,Social Democratic Center-Popular Party
2018-01-01,50,Portugal,0.7509999999999999,1.033,5.257999999999999,12.21,22.817,2011-06-01,Social Democratic Center-Popular Party
2019-01-01,50,Portugal,3.63,2.764,2.764,4.439,10.767,2019-10-01,Social Democratic Center-Popular Party
2020-01-01,50,Portugal,3.63,2.764,2.764,4.439,10.767,2019-10-01,Social Democratic Center-Popular Party
1975-01-01,60,Portugal,0.0,1.887,18.868,28.35,-1.887,1975-04-01,Popular Democratic Party
1976-01-01,60,Portugal,0.0,0.0,7.143,25.24,-3.571,1976-04-01,Popular Democratic Party
1977-01-01,60,Portugal,0.0,0.0,7.143,25.24,-3.571,1976-04-01,Popular Democratic Party
1978-01-01,60,Portugal,0.0,0.0,7.143,25.24,-3.571,1976-04-01,Popular Democratic Party
1979-01-01,60,Portugal,5.652,4.638,2.029,27.51,9.42,1979-12-01,Social Democratic Party
1980-01-01,60,Portugal,2.37,2.37,10.19,29.53,19.431,1980-10-01,Social Democratic Party
1981-01-01,60,Portugal,2.37,2.37,10.19,29.53,19.431,1980-10-01,Social Democratic Party
1982-01-01,60,Portugal,2.37,2.37,10.19,29.53,19.431,1980-10-01,Social Democratic Party
1983-01-01,60,Portugal,1.325,7.285,0.883,27.769,-20.971,1983-04-01,Social Democratic Party
1984-01-01,60,Portugal,1.325,7.285,0.883,27.769,-20.971,1983-04-01,Social Democratic Party
1985-01-01,60,Portugal,1.087,2.174,2.174,30.586,26.087,1985-10-01,Social Democratic Party
1986-01-01,60,Portugal,1.087,2.174,2.174,30.586,26.087,1985-10-01,Social Democratic Party
1987-01-01,60,Portugal,0.0,0.0,5.8820000000000014,51.287,25.735,1987-07-01,Social Democratic Party
1988-01-01,60,Portugal,0.0,0.0,5.8820000000000014,51.287,25.735,1987-07-01,Social Democratic Party
1989-01-01,60,Portugal,0.0,0.0,5.8820000000000014,51.287,25.735,1987-07-01,Social Democratic Party
1990-01-01,60,Portugal,0.0,0.0,5.8820000000000014,51.287,25.735,1987-07-01,Social Democratic Party
1991-01-01,60,Portugal,7.876,6.879,5.085,50.993,-8.774000000000001,1991-10-01,Social Democratic Party
