index,parfam,countryname,environ,culture,equality,pervote,rile,electionDate,partyname
1990-01-01,10,Romania,19.178,4.11,0.0,2.6180000000000003,-13.699000000000002,1990-05-01,Ecological Movement of Romania
1991-01-01,10,Romania,19.178,4.11,0.0,2.6180000000000003,-13.699000000000002,1990-05-01,Ecological Movement of Romania
1992-01-01,10,Romania,19.178,4.11,0.0,2.6180000000000003,-13.699000000000002,1990-05-01,Ecological Movement of Romania
1993-01-01,10,Romania,19.178,4.11,0.0,2.6180000000000003,-13.699000000000002,1990-05-01,Ecological Movement of Romania
1994-01-01,10,Romania,19.178,4.11,0.0,2.6180000000000003,-13.699000000000002,1990-05-01,Ecological Movement of Romania
1995-01-01,10,Romania,19.178,4.11,0.0,2.6180000000000003,-13.699000000000002,1990-05-01,Ecological Movement of Romania
1996-01-01,10,Romania,19.178,4.11,0.0,2.6180000000000003,-13.699000000000002,1990-05-01,Ecological Movement of Romania
1997-01-01,10,Romania,19.178,4.11,0.0,2.6180000000000003,-13.699000000000002,1990-05-01,Ecological Movement of Romania
1998-01-01,10,Romania,19.178,4.11,0.0,2.6180000000000003,-13.699000000000002,1990-05-01,Ecological Movement of Romania
1999-01-01,10,Romania,19.178,4.11,0.0,2.6180000000000003,-13.699000000000002,1990-05-01,Ecological Movement of Romania
2000-01-01,10,Romania,19.178,4.11,0.0,2.6180000000000003,-13.699000000000002,1990-05-01,Ecological Movement of Romania
2001-01-01,10,Romania,19.178,4.11,0.0,2.6180000000000003,-13.699000000000002,1990-05-01,Ecological Movement of Romania
2002-01-01,10,Romania,19.178,4.11,0.0,2.6180000000000003,-13.699000000000002,1990-05-01,Ecological Movement of Romania
2003-01-01,10,Romania,19.178,4.11,0.0,2.6180000000000003,-13.699000000000002,1990-05-01,Ecological Movement of Romania
2004-01-01,10,Romania,19.178,4.11,0.0,2.6180000000000003,-13.699000000000002,1990-05-01,Ecological Movement of Romania
2005-01-01,10,Romania,19.178,4.11,0.0,2.6180000000000003,-13.699000000000002,1990-05-01,Ecological Movement of Romania
2006-01-01,10,Romania,19.178,4.11,0.0,2.6180000000000003,-13.699000000000002,1990-05-01,Ecological Movement of Romania
2007-01-01,10,Romania,19.178,4.11,0.0,2.6180000000000003,-13.699000000000002,1990-05-01,Ecological Movement of Romania
2008-01-01,10,Romania,19.178,4.11,0.0,2.6180000000000003,-13.699000000000002,1990-05-01,Ecological Movement of Romania
2009-01-01,10,Romania,19.178,4.11,0.0,2.6180000000000003,-13.699000000000002,1990-05-01,Ecological Movement of Romania
