index,parfam,countryname,environ,culture,equality,pervote,rile,electionDate,partyname
1990-01-01,10,Slovenia,29.939,3.462,2.24,8.839,-15.682,1990-04-01,Greens of Slovenia
1991-01-01,10,Slovenia,29.939,3.462,2.24,8.839,-15.682,1990-04-01,Greens of Slovenia
1992-01-01,10,Slovenia,29.939,3.462,2.24,3.704,-15.682,1992-12-01,Greens of Slovenia
1993-01-01,10,Slovenia,29.939,3.462,2.24,3.704,-15.682,1992-12-01,Greens of Slovenia
1994-01-01,10,Slovenia,29.939,3.462,2.24,3.704,-15.682,1992-12-01,Greens of Slovenia
1995-01-01,10,Slovenia,29.939,3.462,2.24,3.704,-15.682,1992-12-01,Greens of Slovenia
1996-01-01,10,Slovenia,29.939,3.462,2.24,3.704,-15.682,1992-12-01,Greens of Slovenia
1997-01-01,10,Slovenia,29.939,3.462,2.24,3.704,-15.682,1992-12-01,Greens of Slovenia
1998-01-01,10,Slovenia,29.939,3.462,2.24,3.704,-15.682,1992-12-01,Greens of Slovenia
1999-01-01,10,Slovenia,29.939,3.462,2.24,3.704,-15.682,1992-12-01,Greens of Slovenia
2000-01-01,10,Slovenia,29.939,3.462,2.24,3.704,-15.682,1992-12-01,Greens of Slovenia
2001-01-01,10,Slovenia,29.939,3.462,2.24,3.704,-15.682,1992-12-01,Greens of Slovenia
2002-01-01,10,Slovenia,29.939,3.462,2.24,3.704,-15.682,1992-12-01,Greens of Slovenia
2003-01-01,10,Slovenia,29.939,3.462,2.24,3.704,-15.682,1992-12-01,Greens of Slovenia
2004-01-01,10,Slovenia,29.939,3.462,2.24,3.704,-15.682,1992-12-01,Greens of Slovenia
2005-01-01,10,Slovenia,29.939,3.462,2.24,3.704,-15.682,1992-12-01,Greens of Slovenia
2006-01-01,10,Slovenia,29.939,3.462,2.24,3.704,-15.682,1992-12-01,Greens of Slovenia
2007-01-01,10,Slovenia,29.939,3.462,2.24,3.704,-15.682,1992-12-01,Greens of Slovenia
2008-01-01,10,Slovenia,29.939,3.462,2.24,3.704,-15.682,1992-12-01,Greens of Slovenia
2009-01-01,10,Slovenia,29.939,3.462,2.24,3.704,-15.682,1992-12-01,Greens of Slovenia
2010-01-01,10,Slovenia,29.939,3.462,2.24,3.704,-15.682,1992-12-01,Greens of Slovenia
2011-01-01,10,Slovenia,29.939,3.462,2.24,3.704,-15.682,1992-12-01,Greens of Slovenia
2012-01-01,10,Slovenia,29.939,3.462,2.24,3.704,-15.682,1992-12-01,Greens of Slovenia
2013-01-01,10,Slovenia,29.939,3.462,2.24,3.704,-15.682,1992-12-01,Greens of Slovenia
2014-01-01,10,Slovenia,29.939,3.462,2.24,3.704,-15.682,1992-12-01,Greens of Slovenia
2015-01-01,10,Slovenia,29.939,3.462,2.24,3.704,-15.682,1992-12-01,Greens of Slovenia
2016-01-01,10,Slovenia,29.939,3.462,2.24,3.704,-15.682,1992-12-01,Greens of Slovenia
2017-01-01,10,Slovenia,29.939,3.462,2.24,3.704,-15.682,1992-12-01,Greens of Slovenia
2018-01-01,10,Slovenia,29.939,3.462,2.24,3.704,-15.682,1992-12-01,Greens of Slovenia
2019-01-01,10,Slovenia,29.939,3.462,2.24,3.704,-15.682,1992-12-01,Greens of Slovenia
2020-01-01,10,Slovenia,29.939,3.462,2.24,3.704,-15.682,1992-12-01,Greens of Slovenia
1990-01-01,20,Slovenia,3.448,12.069,1.724,17.28,6.897,1990-04-01,League of Communists of Slovenia
1991-01-01,20,Slovenia,3.448,12.069,1.724,17.28,6.897,1990-04-01,League of Communists of Slovenia
1992-01-01,20,Slovenia,3.448,12.069,1.724,13.577,6.897,1992-12-01,"Unity, Asssociated List"
1993-01-01,20,Slovenia,3.448,12.069,1.724,13.577,6.897,1992-12-01,"Unity, Asssociated List"
1994-01-01,20,Slovenia,3.448,12.069,1.724,13.577,6.897,1992-12-01,"Unity, Asssociated List"
1995-01-01,20,Slovenia,3.448,12.069,1.724,13.577,6.897,1992-12-01,"Unity, Asssociated List"
1996-01-01,20,Slovenia,3.448,12.069,1.724,13.577,6.897,1992-12-01,"Unity, Asssociated List"
1997-01-01,20,Slovenia,3.448,12.069,1.724,13.577,6.897,1992-12-01,"Unity, Asssociated List"
