index,parfam,countryname,environ,culture,equality,pervote,rile,electionDate,partyname
1977-01-01,20,Spain,0.775,1.938,4.651,9.27,-13.953,1977-06-01,Communist Party of Spain
1978-01-01,20,Spain,0.775,1.938,4.651,9.27,-13.953,1977-06-01,Communist Party of Spain
1979-01-01,20,Spain,2.7960000000000003,5.099,1.809,10.797,-21.053,1979-03-01,Communist Party of Spain
1980-01-01,20,Spain,2.7960000000000003,5.099,1.809,10.797,-21.053,1979-03-01,Communist Party of Spain
1981-01-01,20,Spain,2.7960000000000003,5.099,1.809,10.797,-21.053,1979-03-01,Communist Party of Spain
1982-01-01,20,Spain,3.089,2.574,1.931,4.134,-31.403,1982-10-01,Communist Party of Spain
1983-01-01,20,Spain,3.089,2.574,1.931,4.134,-31.403,1982-10-01,Communist Party of Spain
1984-01-01,20,Spain,3.089,2.574,1.931,4.134,-31.403,1982-10-01,Communist Party of Spain
1985-01-01,20,Spain,3.089,2.574,1.931,4.134,-31.403,1982-10-01,Communist Party of Spain
1986-01-01,20,Spain,7.519,3.342,2.59,3.827,-25.313,1986-06-01,United Left
1987-01-01,20,Spain,7.519,3.342,2.59,3.827,-25.313,1986-06-01,United Left
1988-01-01,20,Spain,7.519,3.342,2.59,3.827,-25.313,1986-06-01,United Left
1989-01-01,20,Spain,5.372999999999998,2.657,4.159,9.133,-40.035,1989-10-01,United Left
1990-01-01,20,Spain,5.372999999999998,2.657,4.159,9.133,-40.035,1989-10-01,United Left
1991-01-01,20,Spain,5.372999999999998,2.657,4.159,9.133,-40.035,1989-10-01,United Left
1992-01-01,20,Spain,5.372999999999998,2.657,4.159,9.133,-40.035,1989-10-01,United Left
1993-01-01,20,Spain,6.076000000000001,2.41,4.06,9.63,-35.359,1993-06-01,United Left
1994-01-01,20,Spain,6.076000000000001,2.41,4.06,9.63,-35.359,1993-06-01,United Left
1995-01-01,20,Spain,6.076000000000001,2.41,4.06,9.63,-35.359,1993-06-01,United Left
1996-01-01,20,Spain,5.63,1.992,2.596,10.54,-26.485,1996-03-01,United Left
1997-01-01,20,Spain,5.63,1.992,2.596,10.54,-26.485,1996-03-01,United Left
1998-01-01,20,Spain,5.63,1.992,2.596,10.54,-26.485,1996-03-01,United Left
1999-01-01,20,Spain,5.63,1.992,2.596,10.54,-26.485,1996-03-01,United Left
2000-01-01,20,Spain,6.992000000000001,2.664,4.805,5.449,-27.214,2000-03-01,United Left
2001-01-01,20,Spain,6.992000000000001,2.664,4.805,5.449,-27.214,2000-03-01,United Left
2002-01-01,20,Spain,6.992000000000001,2.664,4.805,5.449,-27.214,2000-03-01,United Left
2003-01-01,20,Spain,6.992000000000001,2.664,4.805,5.449,-27.214,2000-03-01,United Left
2004-01-01,20,Spain,7.1480000000000015,5.1110000000000015,5.6110000000000015,4.96,-16.512,2004-03-01,United Left
2005-01-01,20,Spain,7.1480000000000015,5.1110000000000015,5.6110000000000015,4.96,-16.512,2004-03-01,United Left
2006-01-01,20,Spain,7.1480000000000015,5.1110000000000015,5.6110000000000015,4.96,-16.512,2004-03-01,United Left
2007-01-01,20,Spain,7.1480000000000015,5.1110000000000015,5.6110000000000015,4.96,-16.512,2004-03-01,United Left
