index,parfam,countryname,environ,culture,equality,pervote,rile,electionDate,partyname
1988-01-01,10,Sweden,38.0,0.0,1.4,5.526,-18.4,1988-09-01,Green Ecology Party
1989-01-01,10,Sweden,38.0,0.0,1.4,5.526,-18.4,1988-09-01,Green Ecology Party
1990-01-01,10,Sweden,38.0,0.0,1.4,5.526,-18.4,1988-09-01,Green Ecology Party
1991-01-01,10,Sweden,37.931,2.299,4.598,3.383,-12.644,1991-09-01,Green Ecology Party
1992-01-01,10,Sweden,37.931,2.299,4.598,3.383,-12.644,1991-09-01,Green Ecology Party
1993-01-01,10,Sweden,37.931,2.299,4.598,3.383,-12.644,1991-09-01,Green Ecology Party
1994-01-01,10,Sweden,33.75,0.0,16.25,5.023,-6.25,1994-09-01,Green Ecology Party
1995-01-01,10,Sweden,33.75,0.0,16.25,5.023,-6.25,1994-09-01,Green Ecology Party
1996-01-01,10,Sweden,33.75,0.0,16.25,5.023,-6.25,1994-09-01,Green Ecology Party
1997-01-01,10,Sweden,33.75,0.0,16.25,5.023,-6.25,1994-09-01,Green Ecology Party
1998-01-01,10,Sweden,30.556,2.778,8.333,4.5,-36.111,1998-09-01,Green Ecology Party
1999-01-01,10,Sweden,30.556,2.778,8.333,4.5,-36.111,1998-09-01,Green Ecology Party
2000-01-01,10,Sweden,30.556,2.778,8.333,4.5,-36.111,1998-09-01,Green Ecology Party
2001-01-01,10,Sweden,30.556,2.778,8.333,4.5,-36.111,1998-09-01,Green Ecology Party
2002-01-01,10,Sweden,27.95,2.484,11.18,4.646,-26.087,2002-09-01,Green Ecology Party
2003-01-01,10,Sweden,27.95,2.484,11.18,4.646,-26.087,2002-09-01,Green Ecology Party
2004-01-01,10,Sweden,27.95,2.484,11.18,4.646,-26.087,2002-09-01,Green Ecology Party
2005-01-01,10,Sweden,27.95,2.484,11.18,4.646,-26.087,2002-09-01,Green Ecology Party
2006-01-01,10,Sweden,17.172,3.535,13.130999999999998,5.244,-11.616,2006-09-01,Green Ecology Party
2007-01-01,10,Sweden,17.172,3.535,13.130999999999998,5.244,-11.616,2006-09-01,Green Ecology Party
2008-01-01,10,Sweden,17.172,3.535,13.130999999999998,5.244,-11.616,2006-09-01,Green Ecology Party
2009-01-01,10,Sweden,17.172,3.535,13.130999999999998,5.244,-11.616,2006-09-01,Green Ecology Party
2010-01-01,10,Sweden,23.282,3.053,7.633999999999999,7.34,-9.16,2010-09-01,Green Ecology Party
2011-01-01,10,Sweden,23.282,3.053,7.633999999999999,7.34,-9.16,2010-09-01,Green Ecology Party
2012-01-01,10,Sweden,23.282,3.053,7.633999999999999,7.34,-9.16,2010-09-01,Green Ecology Party
2013-01-01,10,Sweden,23.282,3.053,7.633999999999999,7.34,-9.16,2010-09-01,Green Ecology Party
2014-01-01,10,Sweden,14.085,5.03,7.042000000000002,6.8889999999999985,-26.157,2014-09-01,Green Ecology Party
2015-01-01,10,Sweden,14.085,5.03,7.042000000000002,6.8889999999999985,-26.157,2014-09-01,Green Ecology Party
2016-01-01,10,Sweden,14.085,5.03,7.042000000000002,6.8889999999999985,-26.157,2014-09-01,Green Ecology Party
2017-01-01,10,Sweden,14.085,5.03,7.042000000000002,6.8889999999999985,-26.157,2014-09-01,Green Ecology Party
2018-01-01,10,Sweden,25.21,4.706,7.731,4.414,-15.966,2018-09-01,Green Ecology Party
2019-01-01,10,Sweden,25.21,4.706,7.731,4.414,-15.966,2018-09-01,Green Ecology Party
2020-01-01,10,Sweden,25.21,4.706,7.731,4.414,-15.966,2018-09-01,Green Ecology Party
1944-01-01,20,Sweden,0.0,0.0,0.0,10.3,9.6,1944-09-01,Communist Party of Sweden
1945-01-01,20,Sweden,0.0,0.0,0.0,10.3,9.6,1944-09-01,Communist Party of Sweden
1946-01-01,20,Sweden,0.0,0.0,0.0,10.3,9.6,1944-09-01,Communist Party of Sweden
1947-01-01,20,Sweden,0.0,0.0,0.0,10.3,9.6,1944-09-01,Communist Party of Sweden
1948-01-01,20,Sweden,0.0,0.0,6.0,6.312,-44.0,1948-09-01,Communist Party of Sweden
1949-01-01,20,Sweden,0.0,0.0,6.0,6.312,-44.0,1948-09-01,Communist Party of Sweden
1950-01-01,20,Sweden,0.0,0.0,6.0,6.312,-44.0,1948-09-01,Communist Party of Sweden
1951-01-01,20,Sweden,0.0,0.0,6.0,6.312,-44.0,1948-09-01,Communist Party of Sweden
1952-01-01,20,Sweden,0.0,0.0,1.1,4.34,-40.7,1952-09-01,Communist Party of Sweden
1953-01-01,20,Sweden,0.0,0.0,1.1,4.34,-40.7,1952-09-01,Communist Party of Sweden
1954-01-01,20,Sweden,0.0,0.0,1.1,4.34,-40.7,1952-09-01,Communist Party of Sweden
1955-01-01,20,Sweden,0.0,0.0,1.1,4.34,-40.7,1952-09-01,Communist Party of Sweden
1956-01-01,20,Sweden,0.0,1.7,10.9,5.001,-46.2,1956-09-01,Communist Party of Sweden
1957-01-01,20,Sweden,0.0,1.7,10.9,5.001,-46.2,1956-09-01,Communist Party of Sweden
1958-01-01,20,Sweden,1.9,14.5,4.0,3.364,-41.7,1958-06-01,Communist Party of Sweden
1959-01-01,20,Sweden,1.9,14.5,4.0,3.364,-41.7,1958-06-01,Communist Party of Sweden
1960-01-01,20,Sweden,0.0,0.0,2.4,4.479,-40.5,1960-09-01,Communist Party of Sweden
1961-01-01,20,Sweden,0.0,0.0,2.4,4.479,-40.5,1960-09-01,Communist Party of Sweden
1962-01-01,20,Sweden,0.0,0.0,2.4,4.479,-40.5,1960-09-01,Communist Party of Sweden
1963-01-01,20,Sweden,0.0,0.0,2.4,4.479,-40.5,1960-09-01,Communist Party of Sweden
1964-01-01,20,Sweden,0.0,0.0,0.0,5.223,-50.0,1964-09-01,Communist Party of Sweden
1965-01-01,20,Sweden,0.0,0.0,0.0,5.223,-50.0,1964-09-01,Communist Party of Sweden
