,per501,per501,per501,per501,per501,per501,per501,per501,per501,per501,per501,per502,per502,per502,per502,per502,per502,per502,per502,per502,per502,per502,per503,per503,per503,per503,per503,per503,per503,per503,per503,per503,per503,pervote,pervote,pervote,pervote,pervote,pervote,pervote,pervote,pervote,pervote,pervote
parfam,10,20,30,40,50,60,70,80,90,95,98,10,20,30,40,50,60,70,80,90,95,98,10,20,30,40,50,60,70,80,90,95,98,10,20,30,40,50,60,70,80,90,95,98
countryname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,150.85199999999998,0.461,90.43900000000004,19.304000000000002,61.22899999999999,,101.38399999999999,,,3.479,,27.899,0.0,69.32400000000001,5.583,69.202,,47.56800000000001,,,4.854,,132.58,32.434000000000005,214.76900000000003,50.409,123.21799999999999,,139.113,,,5.178,,94.60400000000001,1.322,870.8130000000001,29.846000000000004,836.854,,290.3689999999999,,,5.725000000000001,
Belgium,127.842,7.927999999999999,102.26400000000001,98.51099999999998,112.76699999999998,,52.786,,130.406,,,54.179999999999986,1.993,92.19099999999997,107.14099999999999,168.48499999999996,,40.802,,104.17999999999998,,,105.21100000000001,43.593,292.509,130.66,157.604,,21.988,,96.22100000000002,,,86.09,10.593,615.313,404.6980000000001,692.7310000000002,,77.112,,215.001,,
Bulgaria,32.975,,19.868,27.157,15.752999999999998,12.21,7.301,9.053,15.892,,1.802,7.109999999999999,,52.142,30.19,20.894000000000002,27.633000000000003,7.337,7.442,10.291,,1.802,0.741,,60.166,11.559999999999999,5.221,13.530999999999999,7.782,2.541,16.684,,0.0,0.0,,290.508,241.95600000000005,142.339,39.795,44.888000000000005,11.215,76.02499999999999,,7.566
Croatia,147.824,40.13400000000001,11.674,38.57400000000001,,3.788,48.482,38.323,50.56300000000001,19.65,1.714,6.811000000000002,14.494000000000002,10.399,35.204,,2.778,30.456000000000003,7.329000000000001,43.649,9.940999999999999,3.0040000000000004,1.639,61.25,9.029,51.943,,2.02,39.80800000000001,12.38,68.22099999999999,36.128,1.29,0.0,108.44000000000001,104.91600000000001,104.89699999999999,,32.592,307.285,24.395000000000003,30.425,17.189999999999998,45.038000000000004
Cyprus,61.862,,52.242,27.931000000000004,,0.6729999999999999,22.548000000000002,,,,,30.369999999999997,,59.778000000000006,42.074,,1.347,15.381,,,,,10.956,,58.169,49.253,,5.051,13.943,,,,,8.972999999999999,,202.43900000000002,92.971,,5.2429999999999986,167.968,,,,
Czech Republic,38.451,50.88,44.55,20.644000000000002,71.938,59.52400000000001,19.247,,18.273,7.023,,8.048,33.464,25.561999999999998,19.801000000000002,34.794999999999995,36.301,10.931999999999999,,23.081,9.209,,17.402,38.662,46.39699999999999,14.828,25.31,23.636999999999997,10.658999999999999,,2.604,11.143,,11.93,113.86,177.624,116.43299999999999,89.96000000000001,214.215,36.373000000000005,,26.745000000000005,16.947000000000003,
Denmark,,252.119,87.089,178.911,55.47,71.26499999999999,63.434,,,16.19,,,29.416000000000004,23.750000000000004,42.538999999999994,11.808,44.967000000000006,4.271,,,1.429,,,405.87200000000007,234.765,270.385,56.984,84.12499999999999,45.717999999999996,,,78.432,,,299.5309999999999,947.017,796.4840000000002,37.444,444.62600000000003,187.60999999999996,,,52.312999999999995,
Estonia,26.233000000000004,0.0,34.771,49.35999999999999,,35.516000000000005,3.82,16.445,0.0,0.0,,8.134000000000002,1.515,36.148,67.653,,38.074,4.27,35.177,4.5440000000000005,0.0,,3.098,0.0,27.661,42.82900000000001,,13.581999999999997,1.124,25.036,7.107999999999999,0.0,,10.935000000000002,13.602,80.297,283.336,,152.43499999999997,8.146,76.28899999999999,12.004000000000001,7.122000000000001,
Finland,266.745,83.705,78.512,63.108000000000004,71.906,82.401,68.82700000000001,106.39399999999999,103.645,,,24.691,56.995,22.424000000000003,0.0,18.102,16.565,2.103,27.451999999999998,20.807,,,78.492,194.68000000000004,214.522,60.459,51.21,111.32,145.574,154.092,146.31200000000004,,,69.783,325.34000000000003,504.05600000000004,65.924,49.25200000000001,378.7019999999999,111.80000000000001,429.37000000000006,121.42700000000002,,
France,117.737,32.62800000000001,24.211000000000002,12.165,1.8,89.81599999999999,34.882999999999996,,,,,14.932999999999996,39.16,50.00500000000001,11.732000000000001,7.955,97.13800000000002,14.824,,,,,54.724000000000004,167.30800000000002,135.89800000000002,58.976,39.805,181.128,10.481000000000002,,,,,31.559,293.991,374.13,101.042,110.419,654.763,89.433,,,,
Germany,120.87299999999999,37.196,88.313,88.896,77.58899999999998,0.0,1.494,,0.0,5.7970000000000015,,22.252,22.054,44.919999999999995,51.08500000000001,29.445,0.0,0.1,,0.0,1.895,,86.833,110.98000000000002,123.156,55.372,67.26400000000001,16.191,19.919,,10.024999999999999,16.199,,73.762,60.085,667.2539999999999,171.689,802.6069999999999,10.582,22.018,,4.475,8.068999999999999,
Greece,,61.479,75.58900000000001,1.525,71.329,0.0,9.621,,,,,,45.131,86.339,0.862,35.28,0.0,7.690999999999999,,,,,,113.35600000000001,75.068,1.061,65.67999999999999,1.754,31.552,,,,,,283.41200000000003,551.8819999999998,3.352,694.3680000000002,6.823,49.477,,,,
Hungary,35.807,15.783999999999999,30.165,11.747,43.043,19.946,10.038,5.1720000000000015,,,,6.468,13.961000000000002,38.126999999999995,15.502,15.524000000000001,22.574,9.492999999999999,1.838,,,,25.814,45.965,93.098,28.211,17.582,18.594000000000005,11.616,11.257,,,,16.478,12.616999999999999,215.72,59.078,56.157000000000004,289.491,57.397,35.135000000000005,,,
Ireland,116.041,44.562000000000005,54.71899999999999,29.316000000000006,45.239,32.454,0.0,0.0,,8.668,,21.918,50.67100000000001,45.774,12.808,29.863999999999997,56.354,47.05800000000001,0.0,,14.709000000000001,,46.00900000000001,132.715,210.10499999999996,22.297,82.61200000000001,44.927000000000014,23.532,0.0,,61.708999999999996,,18.711000000000002,28.183000000000003,234.57799999999997,33.400999999999996,603.1320000000001,843.1570000000002,23.93,16.191000000000003,,44.00399999999999,
Italy,155.09,122.15500000000002,51.288000000000004,34.222,31.294999999999995,42.566,40.557,,23.467000000000002,100.111,4.73,18.794,95.79599999999999,52.813,21.091,34.663,45.53699999999999,42.052,,12.41,20.709000000000003,5.36,13.028,98.04800000000002,96.73400000000001,56.446,43.188,15.099999999999998,26.328,,8.369,29.591999999999995,1.65,14.726,409.98199999999997,332.1960000000001,106.64300000000003,504.812,175.13200000000003,179.064,,1.3560000000000003,75.803,0.0
